TotalRequired,  300
t_hold_target,  450
T_Hold_Lev,  1000


92,3 8
92,3 53 
278,68 100 
278,68 53 
304,26 1
304,26 2
304,26 2
304,26 60 
479,35 61 
1148,47 63 
1169,56 60 
16157,11 61 
16487,91 63 
16498,18 60 
30543,76 61 
31413,72 63 
31426,56 60 
52828,28 111 
54114,5 114 
54152,26 60 
54686,09 61 
55701,79 62 
57429,22 64 
65710,75 252 
65710,75 101 
65712,51 100 
65712,51 53 
65731,78 1
65731,78 2
65731,78 2
65731,78 60 
69121,99 111 
69930,74 114 
69964,59 60 
79704,37 111 
82412,21 114 
82459,37 60 
108710,18 61 
109732,58 62 
115396,78 64 
119741,18 252 
119741,18 101 
119742,82 100 
119742,82 53 
119763,96 1
119763,96 2
119763,96 2
119763,96 60 
119769,61 61 
120779,94 62 
121526,64 64 
130789,17 252 
130789,17 101 
130790,91 100 
130790,91 53 
130810,31 1
130810,31 2
130810,31 2
130810,31 60 
138699,92 61 
139708,27 62 
146040,89 64 
149714,43 252 
149714,43 101 
149716,34 100 
149716,34 53 
149737,21 1
149737,21 2
149737,21 2
149737,21 60 
156998,85 61 
158017,04 62 
158630,55 64 
168026,43 252 
168026,43 101 
168028,2 100 
168028,2 53 
168047,58 1
168047,58 2
168047,58 2
168047,58 60 
168449,12 112 
168537,94 114 
168600,74 60 
169358,12 112 
169455,67 114 
169482,09 60 
213308,39 61 
214331,33 62 
218026,6 64 
224340,26 252 
224340,26 101 
224342,03 100 
224342,03 53 
224362,36 1
224362,36 2
224362,36 2
224362,36 60 
225653,96 111 
226779,36 114 
226813,34 60 
233520,57 111 
233893,1 114 
233928,23 60 
234275,67 111 
234486,02 114 
234527,55 60 
237787,53 112 
237866,11 114 
237895,4 60 
238052,62 61 
239074,87 62 
239646,27 64 
249083,08 252 
249083,08 101 
249084,82 100 
249084,82 53 
249105,7 1
249105,7 2
249105,7 2
249105,7 60 
249696,76 111 
250410,56 114 
250453,8 60 
325459,4 111 
328513,78 114 
328561,49 60 
330984,24 61 
331994,41 62 
333091,39 64 
333378,26 121 
333901,37 125 
334423,76 66 
334902,54 144 
334905,33 144 
335545,94 144 
335559,95 101 
335561,34 100 
335561,34 53 
335608,56 1
335608,56 2
335608,56 1
335608,56 60 
335962,56 61 
336974,99 62 
340715,43 64 
341001,29 121 
341449,99 124 
351465,78 252 
351465,78 101 
351467,54 100 
351467,54 53 
351486,95 1
351486,95 2
351486,95 1
351486,95 60 
358835,94 111 
360104,02 114 
360151,18 60 
371225,79 111 
372278,34 114 
372330,28 60 
385709,43 61 
386725,76 62 
388010,13 64 
388335,09 123 
388871,38 125 
389388,79 65 
389844,4 144 
389846,51 144 
390316,69 101 
390317,93 100 
390317,93 53 
390341,86 1
390341,86 2
390341,86 2
390341,86 60 
390347,63 113 
391595,21 114 
391640,15 60 
392156,71 61 
393173,15 62 
393189,92 64 
393460,07 122 
393996,53 125 
394503,02 66 
394619,07 137 
394957,66 144 
394959,62 144 
394960,75 144 
395431,64 101 
395432,82 100 
395432,82 53 
395474,19 2
395474,19 2
395474,19 1
395474,19 60 
395510,99 61 
396543,02 62 
397396,4 64 
397689,11 122 
398236,2 125 
398751,62 66 
399232,3 144 
399233,82 144 
399251,17 144 
399696,44 101 
399697,68 100 
399697,68 53 
399737,95 2
399737,95 2
399737,95 2
399737,95 60 
399909,62 61 
400920,2 62 
402600,42 64 
402850,76 122 
403407,25 125 
403916,92 66 
404336,46 144 
404337,83 144 
404828,01 101 
404829,4 100 
404829,4 53 
404853,56 1
404853,56 1
404853,56 2
404853,56 60 
404858,94 112 
404998,39 114 
405035,81 60 
405341,81 61 
406352,1 62 
406792,89 64 
407120,38 121 
407675,93 125 
408038,87 137 
408199,74 66 
408650,09 144 
408651,41 144 
408652,37 144 
409127,24 101 
409128,43 100 
409128,43 53 
409168,05 1
409168,05 2
409168,05 2
409168,05 60 
409220,49 61 
410235,78 62 
410802,13 64 
411214,57 123 
411764,19 125 
412075,83 137 
412280,65 65 
412733,34 144 
412735,19 144 
412736,56 144 
413208,26 101 
413209,44 100 
413209,44 53 
413249,88 1
413249,88 1
413249,88 2
413249,88 60 
413465,99 61 
414483,68 62 
414594,31 64 
414888,06 123 
415408,08 125 
415900,69 137 
415968,45 65 
416382,49 144 
416384,22 144 
416390,41 144 
416685,17 143 
416776,59 144 
416778,86 144 
416786,69 144 
416859,6 101 
416861,11 100 
416861,11 53 
416883,15 1
416883,15 2
416883,15 2
416883,15 60 
417136,89 61 
418148,25 62 
418215,38 64 
418560,5 123 
419122,05 125 
419644,7 65 
420051,98 144 
420053,61 144 
420478,32 144 
420539,34 101 
420540,89 100 
420540,89 53 
420580,83 2
420580,83 1
420580,83 2
420580,83 60 
420893,8 61 
421895,46 63 
421914,53 60 
422233,06 113 
422637,13 114 
422679,9 60 
422929,74 61 
423946,19 62 
424145,15 64 
424419,62 123 
424982,64 125 
425492,31 66 
425896,5 144 
425897,8 144 
426084,59 144 
426386,93 101 
426388,13 100 
426388,13 53 
426429,08 1
426429,08 2
426429,08 1
426429,08 60 
426481,61 61 
427144,15 63 
427161,99 60 
428066,66 61 
429079,37 62 
429257,36 64 
429573,07 123 
430101,32 125 
430624,26 65 
431028,55 144 
431029,84 144 
431301,23 144 
431520,08 101 
431521,36 100 
431521,36 53 
431560,87 1
431560,87 2
431560,87 2
431560,87 60 
431714,32 61 
432726,5 62 
432838,75 64 
433160,76 123 
433698,45 125 
434206,77 65 
434610,11 144 
434611,42 144 
435075,3 144 
435101,36 101 
435102,76 100 
435102,76 53 
435143,87 2
435143,87 2
435143,87 2
435143,87 60 
435504,58 61 
435924,43 63 
435942,5 60 
438272,01 61 
439290,73 62 
439312,62 64 
439659,16 123 
440199,74 125 
440720,45 66 
440945 137 
441168,75 144 
441170,2 144 
441171,08 144 
441223,62 143 
441336,78 144 
441338,36 144 
441498,81 144 
441648,99 101 
441650,31 100 
441650,31 53 
441690,14 1
441690,14 1
441690,14 2
441690,14 60 
454730,21 61 
455751,62 62 
455997,93 64 
456251,47 121 
