TotalRequired,  250
t_hold_target,  450
T_Hold_Lev,  1000


91,48 8
91,48 52 
138,17 100 
138,17 52 
154,83 1
154,83 2
154,83 2
154,83 60 
10177,19 111 
10258,81 114 
10291,68 60 
29790,33 61 
30810,69 62 
34871,73 64 
40819,84 252 
40819,84 101 
40821,6 100 
40821,6 52 
40840,86 1
40840,86 2
40840,86 2
40840,86 60 
54621,96 61 
54649,72 63 
54669,43 60 
54673,08 61 
55128,56 63 
55135,96 60 
55138,52 61 
55154,49 63 
55171,43 60 
55174,59 61 
55392,24 63 
55402,18 60 
60126,46 61 
60237,66 63 
60250,4 60 
60889,86 61 
61826,03 63 
61834,55 60 
75952,91 61 
76964,57 62 
77896,2 64 
80300,45 121 
80665,27 124 
90668,29 252 
90668,29 101 
90670,12 100 
90670,12 52 
90690,92 1
90690,92 2
90690,92 2
90690,92 60 
97119,98 61 
98138,9 62 
100232,94 64 
108145,88 252 
108145,88 101 
108147,68 100 
108147,68 52 
108169,1 1
108169,1 2
108169,1 2
108169,1 60 
113070,35 61 
114082,9 62 
114980,19 64 
124091,95 252 
124091,95 101 
124093,71 100 
124093,71 52 
124113,25 1
124113,25 2
124113,25 2
124113,25 60 
130476,18 61 
131494,18 62 
132959,1 64 
141502,96 252 
141502,96 101 
141505,39 100 
141505,39 52 
141523,98 1
141523,98 2
141523,98 2
141523,98 60 
145251,36 111 
145345,11 114 
145395,16 60 
145891,2 111 
145985,13 114 
146008,2 60 
151470,75 61 
152392,53 63 
152404,69 60 
154517,2 61 
155003,2 63 
155019,65 60 
155547,29 61 
155990,61 63 
156002,42 60 
156543,93 61 
157552,96 62 
157934,44 64 
158188,78 121 
158756,03 125 
158885,61 137 
159265,35 66 
159516,12 144 
159517,85 144 
159521,83 144 
159994,08 101 
159995,72 100 
159995,72 52 
160034,54 1
160034,54 1
160034,54 2
160034,54 60 
160607,64 61 
160691,42 63 
160701,82 60 
161259,46 61 
162270,57 62 
162905,02 64 
172276,46 252 
172276,46 101 
172278,16 100 
172278,16 52 
172297,23 1
172297,23 1
172297,23 2
172297,23 60 
172859,02 112 
172937,03 114 
173000,03 60 
173022,57 61 
173190,82 63 
173213,17 60 
173478,3 61 
173626,64 63 
173647,18 60 
174077,07 112 
174158,75 114 
174215,32 60 
174506,63 61 
175529,27 62 
179935,5 64 
185538,01 252 
185538,01 101 
185539,89 100 
185539,89 52 
185559,37 1
185559,37 1
185559,37 2
185559,37 60 
197405,38 61 
198422,17 62 
198953,71 64 
204264,41 121 
204438,63 124 
214444,33 252 
214444,33 101 
214446,22 100 
214446,22 52 
214467,73 1
214467,73 1
214467,73 2
214467,73 60 
214601,52 61 
215617,09 62 
217190,1 64 
225623,87 252 
225623,87 101 
225625,7 100 
225625,7 52 
225646,46 1
225646,46 1
225646,46 2
225646,46 60 
235912,88 61 
236631,6 63 
236644,55 60 
238082,91 61 
239092,15 62 
241922,59 64 
249100,13 252 
249100,13 101 
249101,93 100 
249101,93 52 
249121,99 1
249121,99 1
249121,99 2
249121,99 60 
250492,2 61 
250794,77 63 
250804,8 60 
251518,09 113 
251849,61 114 
251889,58 60 
252059,76 61 
252435,99 63 
252453,98 60 
252827,97 61 
253454,63 63 
253470,82 60 
253727,18 111 
254165,62 114 
254203,75 60 
254235,73 112 
254518,69 114 
254570,06 60 
254958,21 61 
255674,96 63 
255687,04 60 
255967,87 61 
256273,58 63 
256286,37 60 
256789,18 61 
257802,38 62 
262079,81 64 
267810,54 252 
267810,54 101 
267812,42 100 
267812,42 52 
267833,49 1
267833,49 1
267833,49 2
267833,49 60 
269284,87 61 
270298,87 62 
272386,93 64 
280307,88 252 
280307,88 101 
280309,57 100 
280309,57 52 
280328,36 1
280328,36 1
280328,36 2
280328,36 60 
290531,55 61 
291541,89 62 
293725,02 64 
301549,2 252 
301549,2 101 
301551,02 100 
301551,02 52 
301571,17 1
301571,17 1
301571,17 2
301571,17 60 
317182,46 111 
317258,39 114 
317288,91 60 
320770,19 111 
321141,31 114 
321181,51 60 
322942,57 61 
322975,07 63 
322999,06 60 
344403,15 111 
344492,55 114 
344510,35 60 
345704,91 112 
345823,03 114 
345865,46 60 
358506,67 61 
359518,65 62 
363382,39 64 
369526,39 252 
369526,39 101 
369528,22 100 
369528,22 52 
369549,2 1
369549,2 1
369549,2 2
369549,2 60 
371997,68 111 
372223,41 114 
372264,59 60 
385383,06 111 
385453,68 114 
385498,26 60 
386945,61 112 
387030,71 114 
387062,84 60 
402004,77 61 
403020,5 62 
404961,56 64 
406798,95 122 
407209,57 124 
407272,87 123 
407328,6 124 
417345,75 252 
417345,75 101 
417347,38 100 
417347,38 52 
417366,62 1
417366,62 1
417366,62 2
417366,62 60 
423383,22 112 
427436,08 114 
427479,67 60 
428185,02 61 
429196,48 62 
431037,92 64 
439204,61 252 
439204,61 101 
439206,49 100 
439206,49 52 
439226,97 1
439226,97 1
439226,97 2
439226,97 60 
475897,44 61 
476190,98 63 
476213,5 60 
476932,74 112 
477152,18 114 
477197,58 60 
477759,48 112 
477853,8 114 
477899,7 60 
478524,83 61 
479546,36 62 
479849,48 64 
489553,83 252 
489553,83 101 
489555,77 100 
489555,77 52 
489577,02 1
489577,02 1
489577,02 2
489577,02 60 
492581,11 61 
492813,45 63 
492825,62 60 
493059,12 61 
493156,8 63 
493175,72 60 
493437,1 112 
493512,12 114 
493558,14 60 
493620,29 61 
494640,36 62 
495756,02 64 
504650,62 252 
504650,62 101 
504652,53 100 
504652,53 52 
504671,82 1
504671,82 1
504671,82 2
504671,82 60 
508753,19 61 
509770,39 62 
511374,31 64 
511654,86 121 
512196,57 125 
512396,87 137 
512715,77 66 
512967,72 144 
512969,26 144 
512970,79 144 
513443,51 101 
513444,75 100 
513444,75 52 
513484,75 1
513484,75 2
513484,75 2
513484,75 60 
525571,5 111 
527066,55 114 
527113,55 60 
527181,99 112 
527253,59 114 
527281,28 60 
527384,24 112 
527615,95 114 
527663,46 60 
527864,96 61 
528880,92 62 
532362,45 64 
538887,89 252 
538887,89 101 
538889,59 100 
538889,59 52 
