TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


146838,29 125 
147351,97 65 
147906,37 144 
147908,11 144 
148167,32 144 
148379,17 101 
148380,33 100 
148380,33 53 
148420,64 1
148420,64 2
148420,64 2
148420,64 60 
148541,95 61 
149555,18 62 
150135,89 64 
150389,82 123 
150908,82 125 
151416,38 65 
151937,36 144 
151938,82 144 
152076,78 144 
153680,29 101 
153681,52 100 
153681,52 53 
153719,13 2
153719,13 2
153719,13 2
153719,13 60 
154036,37 113 
154106,68 114 
154135,72 60 
154303,59 61 
155318,42 62 
155740,17 64 
156121,58 123 
156610,65 125 
157130,18 66 
157164,88 137 
157663,47 144 
157664,85 144 
157665,94 144 
157720,68 143 
157796,22 144 
157797,88 144 
157799,33 144 
159389,68 101 
159390,82 100 
159390,82 53 
159433,92 1
159433,92 2
159433,92 1
159433,92 60 
159735,87 113 
159855,58 114 
159885,37 60 
160099,97 61 
161115,74 62 
161700,31 64 
162109,48 123 
162635,87 125 
163146,05 65 
163666,26 144 
163667,64 144 
163822,15 144 
164157,19 101 
164158,6 100 
164158,6 53 
164200,2 1
164200,2 1
164200,2 2
164200,2 60 
164237,87 61 
165266,77 62 
165440,68 64 
165702,46 123 
166236,75 125 
166744,22 65 
167265,29 144 
167266,53 144 
167582,42 144 
167755,47 101 
167756,63 100 
167756,63 53 
167799,35 1
167799,35 1
167799,35 2
167799,35 60 
167920,2 61 
168932,61 62 
169077,75 64 
169351,77 123 
169890,3 125 
170366,91 137 
170411,46 65 
170959,79 144 
170961,57 144 
170962,87 144 
172531,21 101 
172532,34 100 
172532,34 53 
172579,45 1
172579,45 2
172579,45 2
172579,45 60 
172852,39 113 
172925,01 114 
172947,04 60 
173120,33 61 
174131,61 62 
174599,37 64 
174863,69 123 
175399,73 125 
175908,97 65 
176101,98 137 
176442,25 144 
176444,36 144 
176445,48 144 
176721,88 143 
176805,75 144 
176807,52 144 
176810,44 144 
176920,46 101 
176921,58 100 
176921,58 53 
176945,93 1
176945,93 1
176945,93 2
176945,93 60 
177178,13 61 
178194,07 62 
178281,83 64 
178610,72 123 
179132,76 125 
179641,8 65 
180161,4 144 
180162,8 144 
180650,98 101 
180652,15 100 
180652,15 53 
180676,88 1
180676,88 2
180676,88 2
180676,88 60 
180682,2 113 
181878,88 114 
181926,09 60 
182332,4 61 
183106,07 63 
183126,1 60 
183390,7 113 
183474,92 114 
183494,65 60 
184627,11 61 
185584,62 63 
185593,08 60 
185871,16 113 
185996,62 114 
186025,87 60 
186255,92 61 
187274,89 62 
187501,62 64 
187782,51 123 
188282,47 125 
188804,23 65 
189307,47 144 
189308,98 144 
189506,03 144 
189798,93 101 
189800,09 100 
189800,09 53 
189823,15 1
189823,15 2
189823,15 1
189823,15 60 
189972,9 61 
190989,18 62 
191333,28 64 
191626,22 123 
192131,56 125 
192651,89 65 
193157,94 144 
193159,35 144 
193394,32 144 
193648,29 101 
193649,43 100 
193649,43 53 
193672,51 1
193672,51 2
193672,51 2
193672,51 60 
193745,52 61 
194757,31 62 
194863,47 64 
195148,22 123 
195706,14 125 
196217,51 65 
196397,33 137 
196767,14 144 
196768,81 144 
196769,98 144 
197245,79 101 
197247,04 100 
197247,04 53 
197287,74 2
197287,74 2
197287,74 2
197287,74 60 
197329,02 61 
198354,8 62 
198625,28 64 
198887,69 123 
199410,56 125 
199934,83 66 
199988,86 137 
200482,69 144 
200484,15 144 
200485,65 144 
203549,91 101 
203551,91 100 
203551,91 53 
203585,94 2
203585,94 2
203585,94 2
203585,94 60 
204281,2 61 
205181,74 63 
205203,13 60 
205751,58 61 
206768,37 62 
207401,45 64 
207822,63 123 
208340,9 125 
208847,19 66 
209418,74 144 
209420,73 144 
209874,93 101 
209876,06 100 
209876,06 53 
209901,31 1
209901,31 1
209901,31 2
209901,31 60 
209906,29 113 
210899,57 114 
210950,16 60 
211191,15 61 
212202,52 62 
212473,48 64 
212921,92 123 
213439,7 125 
213963,18 65 
214466,32 144 
214467,62 144 
214728,47 144 
214957,92 101 
214959,14 100 
214959,14 53 
214998,57 1
214998,57 2
214998,57 1
214998,57 60 
215215,34 61 
216232,95 62 
216581,9 64 
216812,28 123 
217338,77 125 
217672,92 137 
217860,62 65 
218409,76 144 
218411,13 144 
218412,48 144 
218889,44 101 
218891,79 100 
218891,79 53 
218931,11 1
218931,11 2
218931,11 2
218931,11 60 
219258,29 61 
220245,55 63 
220263,97 60 
220546,81 113 
220770,95 114 
220813,46 60 
221181,3 61 
222196,33 62 
222814,35 64 
223071,67 123 
223602,58 125 
224126,84 65 
224377,73 137 
224658,83 144 
224660,35 144 
224661,59 144 
225137,06 101 
225138,27 100 
225138,27 53 
225178,84 1
225178,84 1
225178,84 1
225178,84 60 
225343,68 61 
226339,51 63 
226361,74 60 
226954,33 61 
227978,2 62 
228431,45 64 
228775,23 123 
229316,7 125 
229824,48 65 
230394,83 144 
230396,27 144 
230659,38 144 
230869,88 101 
230871,12 100 
230871,12 53 
230910,31 1
230910,31 1
230910,31 2
230910,31 60 
231981,65 61 
232939,54 63 
232961,23 60 
233191,02 113 
233410,99 114 
233459,57 60 
235336,24 61 
236358,48 62 
236397,32 64 
236735,01 123 
237261,33 125 
237742,69 137 
237773,43 65 
238303,29 144 
238305,33 144 
238307,06 144 
238783,51 101 
238784,71 100 
238784,71 53 
238824,13 2
238824,13 2
238824,13 2
238824,13 60 
238898,12 61 
239245,56 63 
239258,8 60 
239330,72 61 
239707,23 63 
239725,17 60 
240870,86 113 
240953,68 114 
240974,11 60 
241298,39 61 
242308,08 62 
242832,31 64 
243171,28 123 
243709,73 125 
244218,87 66 
244776,79 144 
244778,73 144 
244780,22 144 
245247,35 101 
245248,68 100 
245248,68 53 
245288,93 1
245288,93 1
245288,93 1
245288,93 60 
245634,9 113 
245922,88 114 
245973,31 60 
252770,3 111 
254194,27 114 
254236,7 60 
254473,34 61 
255484,88 62 
255961,56 64 
256343,51 121 
256875,7 125 
257105,71 137 
257400,06 65 
257946,22 144 
257948 144 
257949,93 144 
258426,58 101 
258428,66 100 
258428,66 53 
258468,05 2
258468,05 1
258468,05 2
258468,05 60 
258819,61 61 
259832,8 62 
260029,49 64 
260401,4 121 
260967,27 125 
261142,85 137 
261479,79 65 
262015,74 101 
262070,69 8
262070,69 51 
262142,05 100 
262142,05 51 
262166,81 1
262166,81 1
262166,81 1
262166,81 60 
262644,72 61 
263665,7 62 
263959,18 64 
264344,58 121 
264871,78 125 
265112,62 137 
265379,57 65 
265926,61 144 
265928,14 144 
265929,29 144 
266406,5 101 
266407,75 100 
266407,75 51 
266466,5 1
266466,5 2
266466,5 2
266466,5 60 
266515,48 61 
267532,05 62 
267638,89 64 
268080,13 121 
268649,26 125 
268773,98 137 
269160,4 65 
269713,38 144 
269715,11 144 
269716,16 144 
270191,64 101 
270192,86 100 
270192,86 51 
270230,78 2
270230,78 1
270230,78 2
270230,78 60 
270260,25 61 
271280,34 62 
271587,15 64 
271891,39 121 
272446,53 125 
272639,7 137 
272960,56 66 
273507,77 144 
273509,15 144 
273510,1 144 
276063,68 101 
276065,18 100 
276065,18 51 
276113,07 1
276113,07 2
276113,07 2
276113,07 60 
276430,48 111 
276806,65 114 
276844,85 60 
277075,83 61 
278095,55 62 
278608,31 64 
278979,88 121 
279529,95 125 
279862,49 137 
280040,79 65 
280588,89 144 
280590,33 144 
280591,62 144 
281068,85 101 
281069,98 100 
281069,98 51 
281110,89 1
281110,89 2
281110,89 1
281110,89 60 
281126,22 61 
282145,25 62 
282277,46 64 
282695,51 121 
283216,05 125 
283667,57 137 
283725,51 65 
284272,51 144 
284274,82 144 
284275,96 144 
284750,66 101 
284751,85 100 
284751,85 51 
284793,7 1
284793,7 2
284793,7 2
284793,7 60 
284907,22 61 
285926,32 62 
286253,5 64 
286599,67 121 
287156,87 125 
287248,57 137 
287671,79 65 
288221,07 144 
288222,98 144 
288223,92 144 
288701,17 101 
288702,29 100 
288702,29 51 
288741,25 2
288741,25 2
288741,25 2
288741,25 60 
288909,74 61 
289923,66 62 
290021,63 64 
290429,66 121 
290948,59 125 
291237,47 137 
291469,92 66 
292018,41 144 
292019,82 144 
292021,15 144 
294060,82 101 
294062,29 100 
294062,29 51 
294107,45 1
294107,45 2
294107,45 2
294107,45 60 
294493,52 111 
294904,46 114 
294940,19 60 
295170,64 61 
296188,62 62 
296623,05 64 
297006,91 121 
297569,46 125 
297780,06 137 
298085,71 65 
298639,97 144 
298641,33 144 
298642,51 144 
299113,36 101 
299114,56 100 
299114,56 51 
299154,45 1
299154,45 2
299154,45 2
299154,45 60 
299244,82 61 
300255,8 62 
300539,56 64 
300902,61 121 
301455,68 125 
301715,5 137 
301968,25 65 
302515,2 144 
302516,82 144 
302518,54 144 
302996,06 101 
302997,29 100 
302997,29 51 
303036,58 1
303036,58 2
303036,58 2
303036,58 60 
303101,77 61 
304119,95 62 
304364,48 64 
304631,05 121 
305128,59 125 
305413,79 137 
305649,19 65 
306197,87 144 
306199,49 144 
306200,44 144 
306678,04 101 
306679,32 100 
306679,32 51 
306720,12 1
306720,12 2
306720,12 2
306720,12 60 
306792,98 61 
307802,95 62 
307889,94 64 
308272,02 121 
308835,47 125 
309181,68 137 
309349,15 65 
309896,91 144 
309898,89 144 
309899,98 144 
310376,7 101 
310378,02 100 
310378,02 51 
310417,7 1
310417,7 2
310417,7 1
310417,7 60 
310974,9 61 
311985,11 62 
312109,84 64 
312447,8 121 
313001,64 125 
313512,35 65 
313630,24 137 
314061,65 144 
314062,95 144 
314063,85 144 
314541,57 101 
314542,7 100 
314542,7 51 
314583,83 1
314583,83 2
314583,83 2
314583,83 60 
314698,9 61 
315709,63 63 
315733,22 60 
316097,29 111 
316986,1 114 
317033,43 60 
318215,59 61 
319233,36 62 
319254,29 64 
319647,63 121 
320199,07 125 
320561,19 137 
320710,83 65 
321243,87 144 
321245,54 144 
321246,44 144 
321722,1 101 
321723,25 100 
321723,25 51 
321764,2 2
321764,2 1
321764,2 2
321764,2 60 
321791,69 61 
322813,25 62 
322953,63 64 
323258,97 121 
323787,4 125 
324047,96 137 
324308,88 66 
324857,38 144 
324858,85 144 
324859,71 144 
326305,48 101 
326306,85 100 
326306,85 51 
326345,34 1
326345,34 1
326345,34 2
326345,34 60 
326647,12 111 
327182,16 114 
327229,63 60 
327422,07 61 
328444,12 62 
329016,28 64 
329352,89 121 
329911,44 125 
330300,35 137 
330424,95 65 
330973,73 144 
330975,58 144 
330977,21 144 
331452,85 101 
331454,04 100 
331454,04 51 
331495,47 1
331495,47 2
331495,47 1
331495,47 60 
331628,21 61 
332645,66 62 
332786,24 64 
333205,6 121 
333768,95 125 
333975,8 137 
334289,86 65 
334837,77 144 
334839,42 144 
334840,78 144 
335317,79 101 
335319,05 100 
335319,05 51 
335360,05 1
335360,05 2
335360,05 2
335360,05 60 
335396,71 61 
336426,89 62 
336530,46 64 
336872,06 121 
337441,71 125 
337820,96 137 
337954,8 65 
338504,56 144 
338506,17 144 
338507,31 144 
338982,62 101 
338983,99 100 
338983,99 51 
339025,78 2
339025,78 2
339025,78 2
339025,78 60 
339142,83 61 
340157,31 62 
340377,41 64 
340692,36 121 
341214,86 125 
341655,77 137 
341738,46 66 
342285,91 144 
342288 144 
342289,57 144 
342764,97 101 
342766,09 100 
342766,09 51 
342806,84 1
342806,84 2
342806,84 2
342806,84 60 
343244,08 61 
344255,87 62 
344749,73 64 
345090,91 121 
345651,6 125 
346114,35 137 
346184,51 65 
346717,75 144 
346719,84 144 
