TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


313,24 8
313,24 51 
373,06 100 
373,06 51 
388,22 1
388,22 2
388,22 1
388,22 60 
718,87 61 
1736,06 62 
2076,79 64 
2408,44 121 
2953,54 125 
3468,55 65 
3850,26 137 
3927,88 131 
4055,15 144 
4058,04 144 
4059,43 144 
4511,36 101 
4512,82 100 
4512,82 51 
4553,27 2
4553,27 2
4553,27 2
4553,27 60 
5178,35 61 
6148,95 63 
6167,33 60 
6493,07 111 
7640 114 
7666,85 60 
25647,15 111 
26250,85 114 
26294,22 60 
27257,13 61 
28276,59 62 
31150,43 64 
32091,25 121 
32601,81 125 
32790,31 137 
33122,5 66 
33672,11 144 
33673,58 144 
33674,75 144 
34114,38 143 
34175,61 101 
34176,76 100 
34176,76 51 
34212,13 1
34212,13 1
34212,13 2
34212,13 60 
34284,12 113 
35533,93 114 
35574,61 60 
35890,22 61 
36907,1 62 
37232,44 64 
37518,99 123 
38051,43 125 
38571,1 65 
38655,47 137 
39119,33 144 
39120,87 144 
39122,18 144 
40630,45 101 
40631,78 100 
40631,78 51 
40672,9 1
40672,9 1
40672,9 2
40672,9 60 
40934,61 113 
41324,96 114 
41372,5 60 
41582,15 61 
42604,79 62 
42857,56 64 
43151,75 123 
43666,22 125 
44184,41 65 
44200,07 137 
44719,29 144 
44721,07 144 
44722,03 144 
45197,53 101 
45198,76 100 
45198,76 51 
45238,22 1
45238,22 2
45238,22 2
45238,22 60 
45520,33 61 
46537,09 62 
46909,72 64 
47185,52 123 
47727,8 125 
48250,3 66 
48500,02 137 
48804,2 144 
48806,2 144 
48807,25 144 
49299,51 101 
49300,68 100 
49300,68 51 
49353,31 1
49353,31 2
49353,31 1
49353,31 60 
49587,4 112 
49849,69 114 
49886,52 60 
50109,16 61 
51119,1 62 
51160,55 64 
51484,59 123 
52052,66 125 
52480,12 137 
52565,47 66 
53117,75 144 
53119,4 144 
53120,52 144 
55627,43 101 
55628,9 100 
55628,9 51 
55667,9 2
55667,9 2
55667,9 2
55667,9 60 
56043,12 113 
56859,33 114 
56900,94 60 
60018,74 111 
61531,07 114 
61567,84 60 
61822,26 61 
62789,54 63 
62798,66 60 
64266,24 61 
64558,83 63 
64581,65 60 
64940,8 111 
66250,45 114 
66297,68 60 
70742,9 113 
71735,18 114 
71779,51 60 
72369,77 111 
73359,28 114 
73379,96 60 
78217,4 61 
79227,44 62 
80047,23 64 
80475,51 121 
81008,01 125 
81521,97 66 
81560,31 137 
82059,89 144 
82062,14 144 
82063,33 144 
82533,86 101 
82535,08 100 
82535,08 51 
82575,84 1
82575,84 2
82575,84 2
82575,84 60 
82640,35 61 
83661,27 62 
84058,04 64 
84478,93 121 
84997,1 125 
85505,36 65 
85528,03 137 
86039,94 144 
86041,37 144 
86042,68 144 
86517,11 101 
86518,32 100 
86518,32 51 
86558 1
86558 2
86558 2
86558 60 
87553,81 111 
88298,62 114 
88340,48 60 
89473,58 111 
90476,97 114 
90523,11 60 
91162,17 61 
92173,94 62 
94909,93 64 
95266,41 121 
95796,93 125 
96317,97 65 
96474,3 137 
96872,06 144 
96873,61 144 
96874,66 144 
97347,29 101 
97348,46 100 
97348,46 51 
97388,04 1
97388,04 2
97388,04 2
97388,04 60 
98824,09 111 
99848,75 114 
99870,23 60 
100722,79 61 
101735,56 62 
102936,13 64 
103267,58 121 
103797,21 125 
104316,58 65 
104760,5 137 
104873,98 144 
104875,18 144 
104876,18 144 
105360,27 101 
105361,44 100 
105361,44 51 
105385,47 1
105385,47 2
105385,47 2
105385,47 60 
105658,43 61 
106668,36 62 
106794,31 64 
107100,02 121 
107623,94 125 
108147,87 65 
108582,46 137 
108673,91 144 
108675,2 144 
108676,31 144 
109159,25 101 
109160,42 100 
109160,42 51 
109201,39 1
109201,39 2
109201,39 2
109201,39 60 
109706,44 61 
110721,46 62 
110734,76 64 
111089,7 121 
111610,75 125 
112129,54 65 
112516,52 137 
112692,38 144 
112694,01 144 
112695,23 144 
113158,88 101 
113160,05 100 
113160,05 51 
113199,7 1
113199,7 2
113199,7 2
113199,7 60 
113489,37 61 
114498,66 62 
114716,14 64 
115026,94 121 
115589,85 125 
116110,74 65 
116668,98 144 
116671,25 144 
116943,89 144 
117141,01 101 
117142,32 100 
117142,32 51 
117182,69 2
117182,69 1
117182,69 2
117182,69 60 
117614,58 61 
118601,55 63 
118613,94 60 
118617,2 61 
118633,26 63 
118652,72 60 
118974,76 111 
121368,95 114 
121413,19 60 
124164,62 61 
125132,4 63 
125145,1 60 
125491,74 111 
127369,7 114 
127394,46 60 
128144,45 61 
128257,15 63 
128277,55 60 
128599,32 61 
128656,51 63 
128677,11 60 
128946,99 111 
129902,81 114 
129944,28 60 
131026,59 111 
131813,03 114 
131859,83 60 
133936,21 61 
134818,69 63 
134826,85 60 
135481,42 111 
136959,38 114 
137007,82 60 
137367,52 61 
137998,34 63 
138009,44 60 
138550,68 111 
140322,63 114 
140361,02 60 
141191,57 111 
142291,05 114 
142322,95 60 
144286,07 111 
146202,87 114 
146255,18 60 
147045,64 113 
147416 114 
147454,6 60 
148359,03 61 
149369,97 62 
150010,51 64 
150317,73 121 
150873,11 125 
151385,42 66 
151735,66 137 
151939,3 144 
151941,05 144 
151942,45 144 
152411,7 101 
152412,96 100 
152412,96 51 
152452,84 1
152452,84 2
152452,84 2
152452,84 60 
152504,63 111 
153627,03 114 
153652,46 60 
153973,74 61 
154984,74 62 
155918,21 64 
156252,02 122 
156806,47 125 
157315,3 66 
157640,64 137 
157852,28 144 
157855,67 144 
157856,77 144 
158326,03 101 
158327,23 100 
158327,23 51 
158367,66 1
158367,66 2
158367,66 2
158367,66 60 
158889,21 112 
159213,74 114 
159250,65 60 
159703,28 61 
160716,1 62 
161344,02 64 
161684,9 122 
162207,94 125 
162730,05 66 
162830,22 137 
163282,68 144 
163284,24 144 
163285,7 144 
163758,35 101 
163759,51 100 
163759,51 51 
163800,85 1
163800,85 2
163800,85 2
163800,85 60 
163845,71 61 
163890,77 63 
163905,98 60 
165020,05 61 
