TotalRequired,  280
t_hold_target,  450
T_Hold_Lev,  1000


291,92 8
291,92 53 
450,58 100 
450,58 53 
469,12 2
469,12 2
469,12 2
469,12 60 
480,22 61 
714,92 63 
734,59 60 
1135,63 111 
1808,03 114 
1851,75 60 
2641,58 61 
3650,6 62 
3666,7 64 
4031,13 123 
4582,47 125 
5003,15 137 
5096,44 66 
5647,98 144 
5649,75 144 
5651,35 144 
6906,47 101 
6907,98 100 
6907,98 53 
6949,41 1
6949,41 2
6949,41 2
6949,41 60 
7124,04 111 
7779,63 114 
7816,85 60 
8048,95 61 
9064,34 62 
9240,11 64 
9541,72 122 
10093,45 125 
10611,28 66 
11175,5 144 
11180,55 144 
11215,61 144 
11640,28 101 
11642,28 100 
11642,28 53 
11681,67 1
11681,67 2
11681,67 2
11681,67 60 
11756,88 61 
12764 62 
13336,93 64 
13744,34 123 
14270,86 125 
14645,31 137 
14792,72 65 
15345,5 144 
15347,11 144 
15348,96 144 
17234,2 101 
17236,45 100 
17236,45 53 
17279,07 2
17279,07 2
17279,07 2
17279,07 60 
17724,43 61 
18476,06 63 
18495,22 60 
18792,79 113 
18913,77 114 
18961,94 60 
19189,06 61 
20215,4 62 
20431,8 64 
20721,43 121 
21252,19 125 
21708,63 137 
21773,63 66 
22330,2 144 
22332,51 144 
22333,5 144 
23248,26 101 
23250,1 100 
23250,1 53 
23293,88 1
23293,88 2
23293,88 2
23293,88 60 
27009,67 61 
27664,88 63 
27676,73 60 
29366,42 61 
30374,53 62 
31723,45 64 
40384 252 
40384 101 
40385,8 100 
40385,8 53 
40405,46 1
40405,46 2
40405,46 2
40405,46 60 
40410,37 61 
40855,05 63 
40871,24 60 
40897,59 61 
40919,62 63 
40937,87 60 
66132,08 111 
67149,06 114 
67195,73 60 
67436,25 61 
68445,38 62 
68679,19 64 
68966,97 121 
69516,26 125 
69844,51 137 
70025,39 66 
70577,11 144 
70578,97 144 
70580,11 144 
71054,04 101 
71055,18 100 
71055,18 53 
71095,19 1
71095,19 2
71095,19 1
71095,19 60 
72880,99 61 
73894,77 62 
74310,57 64 
74606,05 122 
75136,73 125 
75425,28 137 
75656,16 66 
76209,82 144 
76211,36 144 
76212,32 144 
77952,9 101 
77955,05 100 
77955,05 53 
77992,42 1
77992,42 1
77992,42 2
77992,42 60 
78252,43 113 
80151,84 114 
80191,47 60 
80482,04 61 
81491,48 62 
81890,81 64 
83485,59 123 
84016,79 125 
84310,25 137 
84536,55 65 
85090,8 144 
85096,9 144 
85098,7 144 
86979,97 101 
86982,44 100 
86982,44 53 
87022,7 1
87022,7 1
87022,7 2
87022,7 60 
87432,9 113 
87498,63 114 
87526,4 60 
87751,89 61 
88689,58 63 
88705,43 60 
88947,43 113 
89192,4 114 
89238,43 60 
89466,49 61 
90488,82 62 
90521,96 64 
90793,16 123 
91314,68 125 
91772,47 137 
91840,78 65 
92387,36 144 
92389,22 144 
92390,87 144 
92864,11 101 
92865,3 100 
92865,3 53 
92904,24 1
92904,24 2
92904,24 1
92904,24 60 
93006,22 61 
94020,54 62 
94390,31 64 
94619,41 123 
95171,11 125 
95683,5 65 
96263,97 144 
96266,1 144 
96431,77 144 
96729,25 101 
96730,8 100 
96730,8 53 
96769,62 1
96769,62 2
96769,62 2
96769,62 60 
96817,52 61 
97840,48 62 
98820,42 64 
99060,57 123 
99592,93 125 
100052,5 137 
100114,75 65 
100666,93 144 
100671,77 144 
100679,07 144 
101143,47 101 
101144,73 100 
101144,73 53 
101185,01 1
101185,01 1
101185,01 2
101185,01 60 
101343,33 61 
102352,96 62 
102501,32 64 
102799 123 
103359,73 125 
103881,19 65 
104435,93 144 
104437,31 144 
104666,54 144 
104908,32 101 
104909,44 100 
104909,44 53 
104950,18 1
104950,18 2
104950,18 2
104950,18 60 
105186,94 61 
106097,21 63 
106116,3 60 
106396,25 113 
106619,19 114 
106666,29 60 
107010,07 61 
108031,74 62 
108835,04 64 
109131,18 123 
109661,83 125 
110177,73 65 
110683,18 144 
110684,58 144 
110781,08 144 
111175,37 101 
111176,56 100 
111176,56 53 
111231,5 1
111231,5 2
111231,5 2
111231,5 60 
112883,28 61 
113896,43 62 
113964,56 64 
114252,73 123 
114809,32 125 
115326,46 65 
115848,61 144 
115850,11 144 
116247,59 144 
116338,77 101 
116339,96 100 
116339,96 53 
116380,6 1
116380,6 2
116380,6 1
116380,6 60 
116724,17 61 
117713,95 63 
117729,03 60 
117984,16 113 
118599,26 114 
118645,68 60 
118911,15 61 
119928,21 62 
120077,28 64 
120395,52 123 
120923,98 125 
121441,32 65 
121946,74 144 
121948,2 144 
122121,4 144 
122436,84 101 
122437,98 100 
122437,98 53 
122477,94 2
122477,94 1
122477,94 2
122477,94 60 
122895,68 61 
123910,08 62 
124226,63 64 
124447,35 123 
124985,56 125 
125507,39 66 
125873,36 137 
126059,68 144 
126061,46 144 
126066,28 144 
126517,58 143 
126558,29 101 
126559,42 100 
126559,42 53 
126609,69 1
126609,69 2
126609,69 2
126609,69 60 
130185,42 61 
131208,79 62 
132591,85 64 
133012,74 123 
133561,1 125 
134071,52 65 
134573,25 144 
134574,55 144 
135065,9 101 
135067,55 100 
135067,55 53 
135091,7 1
135091,7 2
135091,7 1
135091,7 60 
135098,06 113 
135960 114 
136006,34 60 
136449,04 61 
137471,68 62 
137808,51 64 
138088,22 123 
138647,74 125 
138910,59 137 
139009,28 133 
139169,81 65 
139754,9 144 
139759,67 144 
139760,86 144 
140213,57 101 
140214,81 100 
140214,81 53 
140256,22 2
140256,22 2
140256,22 2
140256,22 60 
140296,15 61 
141325,39 62 
141996,66 64 
142484,77 123 
142898,01 124 
146291,35 123 
146811,83 125 
147334,51 66 
147537,19 137 
147898,07 144 
147900,01 144 
147901,18 144 
148054,14 143 
148154,43 144 
148156,17 144 
148157,42 144 
148361,6 101 
148362,85 100 
148362,85 53 
148402,33 1
148402,33 2
148402,33 2
148402,33 60 
148466,66 61 
149484,9 62 
149918,56 64 
150164,94 123 
150716,1 125 
151231,45 65 
151735,41 144 
151736,92 144 
151996,63 144 
