TotalRequired,  200
t_hold_target,  450
T_Hold_Lev,  1000


64,02 8
64,02 51 
122,95 100 
122,95 51 
138,3 1
138,3 2
138,3 1
138,3 60 
4291 61 
5302,85 62 
9911,85 64 
15309,11 252 
15309,11 101 
15311,2 100 
15311,2 51 
15333,36 1
15333,36 2
15333,36 1
15333,36 60 
15337,48 61 
15817 63 
15832,24 60 
16207,15 61 
16229,83 63 
16247,21 60 
20448,87 61 
21462,69 62 
25401,07 64 
31469,83 252 
31469,83 101 
31471,56 100 
31471,56 51 
31492,56 1
31492,56 2
31492,56 1
31492,56 60 
33426,98 61 
34441,26 62 
41676,99 64 
44449,74 252 
44449,74 101 
44451,48 100 
44451,48 51 
44471,97 1
44471,97 2
44471,97 1
44471,97 60 
47077,87 61 
48089,5 62 
50314,61 64 
58095,41 252 
58095,41 101 
58097,05 100 
58097,05 51 
58116,89 1
58116,89 2
58116,89 1
58116,89 60 
65664,26 61 
66416,66 63 
66430,49 60 
66759,17 61 
66779,03 63 
66797,43 60 
67232,78 111 
67811,57 114 
67847,37 60 
92291,07 61 
93304,28 62 
98699,02 64 
103313,84 252 
103313,84 101 
103315,63 100 
103315,63 51 
103335,5 1
103335,5 2
103335,5 1
103335,5 60 
103340,19 61 
104329,91 63 
104351,66 60 
116887,19 111 
117441 114 
117480,65 60 
121805,98 61 
122830,36 62 
127033,13 64 
132836,95 252 
132836,95 101 
132838,86 100 
132838,86 51 
132859,89 1
132859,89 2
132859,89 1
132859,89 60 
145993,03 61 
147003,25 62 
150485,15 64 
157012,7 252 
157012,7 101 
157014,33 100 
157014,33 51 
157034,47 1
157034,47 2
157034,47 1
157034,47 60 
157074,64 111 
157636,11 114 
157668,61 60 
170630,58 111 
170715,6 114 
170763,19 60 
171632,25 111 
171744,91 114 
171780,35 60 
180938,74 61 
181958,95 62 
186388,57 64 
191968,38 252 
191968,38 101 
191970,12 100 
191970,12 51 
191990,93 1
191990,93 2
191990,93 1
191990,93 60 
212424,96 61 
213432,82 62 
214100,99 64 
214315,28 121 
214392,19 124 
214970,92 121 
215263,56 124 
225273,44 252 
225273,44 101 
225275,17 100 
225275,17 51 
225295,7 1
225295,7 2
225295,7 1
225295,7 60 
240452,92 61 
241473,38 62 
242904,18 64 
243211,66 121 
243733,18 125 
243909,75 137 
244253,4 65 
244517,67 144 
244520,31 144 
244521,78 144 
244982,24 101 
244983,68 100 
244983,68 51 
245022,14 1
245022,14 2
245022,14 2
245022,14 60 
245484,71 61 
246504,67 62 
246863,23 64 
247090,88 121 
247640,09 125 
248041,12 137 
248151,1 65 
248400,02 144 
248401,65 144 
248402,83 144 
248879,25 101 
248880,5 100 
248880,5 51 
248921,11 1
248921,11 2
248921,11 2
248921,11 60 
249017,5 61 
249087,3 63 
249104,13 60 
249490,05 61 
250344,41 63 
250353,49 60 
250619,27 111 
251341,17 114 
251386,66 60 
251491,1 61 
252502,81 62 
252777,97 64 
253083,78 121 
253638,57 125 
254027,41 137 
254150,5 65 
254399,04 144 
254400,66 144 
254401,86 144 
254877,56 101 
254878,88 100 
254878,88 51 
254920,13 2
254920,13 1
254920,13 2
254920,13 60 
255533,15 61 
256552,1 62 
256906,48 64 
257120,68 121 
257642,43 125 
258164,84 66 
258219,28 137 
258414,19 144 
258415,6 144 
258416,71 144 
258892,36 101 
258893,58 100 
258893,58 51 
258934,41 1
258934,41 2
258934,41 2
258934,41 60 
258993,95 61 
259061,62 63 
259084,08 60 
259468,6 61 
260483,91 62 
263052,59 64 
270491,25 252 
270491,25 101 
270493,08 100 
270493,08 51 
270513,63 1
270513,63 2
270513,63 2
270513,63 60 
271485,09 61 
272495,4 62 
273488,59 64 
273748,86 121 
274268,28 125 
274777,41 65 
275045,67 144 
275047,66 144 
275453,86 144 
275521,31 101 
275522,52 100 
275522,52 51 
275563,28 1
275563,28 2
275563,28 2
275563,28 60 
275895,81 61 
276911,82 62 
277168,73 64 
277474,02 121 
278026,04 125 
278361,5 137 
278541,38 65 
278789,62 144 
278791,48 144 
278793,18 144 
279269,61 101 
279271,45 100 
279271,45 51 
279310,98 1
279310,98 1
279310,98 2
279310,98 60 
279804,05 61 
280817,11 63 
280828,01 60 
281053,28 111 
281608,11 114 
281660,03 60 
282417,01 112 
282483,22 114 
282511,24 60 
282530,33 61 
283243,64 63 
283260,3 60 
297620,12 61 
298638,05 62 
299011,04 64 
299259,32 121 
299815,51 125 
300037,02 137 
300334,14 65 
300589,7 144 
300591,27 144 
300592,6 144 
302515,88 101 
302517,44 100 
302517,44 51 
302552,74 2
302552,74 2
302552,74 2
302552,74 60 
302839,16 111 
303999,72 114 
304036,2 60 
304887,11 61 
305901,6 62 
306594,82 64 
306892,11 121 
307450,51 125 
307966,04 66 
308233,24 144 
308235,44 144 
308693,03 101 
308694,27 100 
308694,27 51 
308718,05 1
308718,05 2
308718,05 2
308718,05 60 
308723,36 111 
308999,73 114 
309034,3 60 
309416,33 61 
310433,57 62 
311316,65 64 
320442,5 252 
320442,5 101 
320444,3 100 
320444,3 51 
320464,62 1
320464,62 2
320464,62 2
320464,62 60 
355669,16 113 
356172,64 114 
356218,71 60 
356337,78 61 
357350,78 62 
359414,63 64 
367360,03 252 
367360,03 101 
367361,8 100 
367361,8 51 
367381,8 1
367381,8 2
367381,8 2
367381,8 60 
373663,99 61 
374613,77 63 
374629,2 60 
374847,49 111 
375306,44 114 
375345,86 60 
390169,61 61 
391191,18 62 
394243,31 64 
401198,06 252 
401198,06 101 
401199,81 100 
401199,81 51 
401221,13 1
401221,13 2
401221,13 2
401221,13 60 
403910,72 111 
404822,28 114 
404869,58 60 
405330,13 61 
406352,05 62 
409888,77 64 
416359,95 252 
416359,95 101 
416362,4 100 
416362,4 51 
416382,21 1
416382,21 2
416382,21 2
416382,21 60 
428021,39 61 
429030,26 62 
430667,93 64 
430925,81 121 
431490,97 125 
431666,68 137 
432007,71 65 
432254,7 144 
432256,08 144 
432257,81 144 
432735,24 101 
432736,46 100 
432736,46 51 
432777,07 1
432777,07 2
432777,07 1
432777,07 60 
433672,73 61 
