TotalRequired,  200
t_hold_target,  450
T_Hold_Lev,  1000


279,19 8
279,19 53 
324,89 100 
324,89 53 
338,76 1
338,76 2
338,76 2
338,76 60 
11605,49 61 
11919,91 63 
11931,58 60 
19737,38 61 
20707,61 63 
20729,33 60 
20968,66 111 
21517,21 114 
21561,05 60 
21776,48 61 
22794,34 62 
23416,5 64 
23667,07 122 
24199,02 125 
24708,22 66 
24975,03 137 
25241,56 144 
25243,19 144 
25244,79 144 
25718,66 101 
25720,03 100 
25720,03 53 
25759,88 2
25759,88 2
25759,88 2
25759,88 60 
26545,63 61 
27550,61 63 
27560,41 60 
27803,75 112 
28198,02 114 
28243,49 60 
28619,5 61 
29640,83 62 
32026,86 64 
32340,29 122 
32864,28 125 
33371,85 66 
33377,55 137 
33919,78 144 
33921,2 144 
33922,18 144 
34398,95 101 
34400,06 100 
34400,06 53 
34441,35 1
34441,35 1
34441,35 2
34441,35 60 
34481,99 61 
35493,3 62 
38708,04 64 
45499,19 252 
45499,19 101 
45500,7 100 
45500,7 53 
45520,06 1
45520,06 1
45520,06 2
45520,06 60 
58515,68 61 
59532,08 62 
60050,51 64 
60344,46 121 
60870,89 125 
61085,95 137 
61379,58 65 
61926,37 144 
61928,28 144 
61929,43 144 
62407,7 101 
62408,78 100 
62408,78 53 
62447,83 1
62447,83 2
62447,83 1
62447,83 60 
63179,08 61 
64197,32 62 
64552,23 64 
64852,32 121 
65413,7 125 
65884,68 137 
65946,07 66 
66474,93 144 
66476,3 144 
66477,29 144 
71682,67 101 
71683,83 100 
71683,83 53 
71728,2 1
71728,2 1
71728,2 2
71728,2 60 
83083,28 61 
84090,52 62 
84674,53 64 
84984,26 121 
85544,71 125 
85910,76 137 
86052,86 65 
86602,24 144 
86603,64 144 
86604,56 144 
87082,65 101 
87083,84 100 
87083,84 53 
87124,17 2
87124,17 2
87124,17 2
87124,17 60 
87439,26 61 
88455,97 62 
88838 64 
89138,28 121 
89662,42 125 
90169,36 66 
90278,87 137 
90717,32 144 
90718,66 144 
90719,47 144 
91197,08 101 
91198,11 100 
91198,11 53 
91239,32 1
91239,32 2
91239,32 2
91239,32 60 
91576,4 61 
92587 62 
93342,93 64 
93641,25 121 
94203,38 125 
94717,41 66 
94803,33 137 
95265,16 144 
95266,58 144 
95267,41 144 
98547,31 101 
98549,36 100 
98549,36 53 
98586,2 1
98586,2 2
98586,2 1
98586,2 60 
98825,1 112 
99451,6 114 
99502,32 60 
99760,54 61 
100768,44 62 
103427,78 64 
103830,29 121 
104368,75 125 
104880,44 66 
104910,29 137 
105412,93 144 
105414,3 144 
105415,25 144 
112405,41 101 
112406,67 100 
112406,67 53 
112448,12 1
112448,12 2
112448,12 2
112448,12 60 
219876,27 61 
220895,59 62 
222435,5 64 
230905,19 252 
230905,19 101 
230906,81 100 
230906,81 53 
230925,33 1
230925,33 2
230925,33 2
230925,33 60 
231175,73 61 
232191,84 62 
234637,02 64 
242200,06 252 
242200,06 101 
242201,68 100 
242201,68 53 
242221,94 1
242221,94 2
242221,94 2
242221,94 60 
247918,99 111 
248930,43 114 
248969,83 60 
269956,67 61 
270979,22 62 
271597,58 64 
271846,37 121 
272368,95 125 
272877,56 66 
273151,2 137 
273423,84 144 
273425,11 144 
273427,3 144 
273904,57 101 
273905,68 100 
273905,68 53 
273945,07 1
273945,07 2
273945,07 2
273945,07 60 
274233,39 61 
274316,37 63 
274328 60 
274384,81 61 
275393,88 62 
279303,11 64 
285401,99 252 
285401,99 101 
285403,59 100 
285403,59 53 
285425,86 1
285425,86 2
285425,86 2
285425,86 60 
295886,49 61 
296788,43 63 
296804,02 60 
297067,61 111 
297906,42 114 
297954,8 60 
299249,66 61 
300268,97 62 
302842,58 64 
310277,77 252 
310277,77 101 
310280,16 100 
310280,16 53 
310299,68 1
310299,68 2
310299,68 2
310299,68 60 
338250,52 61 
339257,56 62 
339776,66 64 
348774,67 121 
349293,66 125 
349816,42 66 
350182,14 137 
350366,67 144 
350368,27 144 
350369,17 144 
350845,9 101 
350846,97 100 
350846,97 53 
350886,53 1
350886,53 2
350886,53 2
350886,53 60 
352434,98 61 
353452,48 62 
355774,04 64 
363459,94 252 
363459,94 101 
363461,44 100 
363461,44 53 
363482,03 1
363482,03 2
363482,03 2
363482,03 60 
384514,04 61 
385390,46 63 
385407,82 60 
385616,27 111 
387067,74 114 
387107,68 60 
387870,72 61 
388890,1 62 
390073,26 64 
390365,74 121 
390895,7 125 
391404,9 66 
391956,23 144 
391957,93 144 
392178,65 144 
392432,49 101 
392433,56 100 
392433,56 53 
392472,54 1
392472,54 2
392472,54 2
392472,54 60 
392733,35 61 
393754,95 62 
394338,26 64 
394674,07 121 
395222,39 125 
395736,11 66 
395874,41 137 
396302,29 144 
396304,14 144 
396305,28 144 
396762,95 101 
396764,05 100 
396764,05 53 
396804,52 1
396804,52 2
396804,52 2
396804,52 60 
437237,28 61 
438257,47 62 
438867,54 64 
439135,05 121 
439693,99 125 
440203,14 66 
440492,03 137 
440752,5 144 
440754,52 144 
440755,82 144 
441231,91 101 
441232,99 100 
441232,99 53 
441274,52 2
441274,52 2
441274,52 2
441274,52 60 
533237,46 61 
533850,42 63 
533860,42 60 
604299,17 111 
604811,27 114 
604852,72 60 
605168,67 61 
606186,68 62 
606644,75 64 
606895,17 123 
607441,47 125 
607949,84 66 
608156,99 137 
608496,01 144 
608497,25 144 
608498,45 144 
611471,03 101 
611472,87 100 
611472,87 53 
611517,71 1
611517,71 2
611517,71 2
611517,71 60 
611897,22 112 
613662 114 
613700,8 60 
613962,25 61 
614981,91 62 
615278,11 64 
615578,35 121 
616135,46 125 
616300,96 137 
616646,5 66 
617193,9 144 
617195,31 144 
617196,44 144 
617673,74 101 
617674,84 100 
617674,84 53 
617715,89 1
617715,89 1
617715,89 2
617715,89 60 
628137,27 111 
628768,28 114 
628811,33 60 
648633,28 61 
648758,77 63 
648772,65 60 
649916,09 61 
650938,14 62 
651247,42 64 
651539,17 121 
652060,37 125 
652458,43 137 
652568,56 65 
653115,86 144 
653117,16 144 
