TotalRequired,  300
t_hold_target,  450
T_Hold_Lev,  1000


88,8 8
88,8 51 
151,23 100 
151,23 51 
171,55 1
171,55 2
171,55 1
171,55 60 
9410,17 61 
10434,75 62 
11528,42 64 
11805,66 121 
12374,76 125 
12403,14 137 
12896,79 65 
13345,65 144 
13347,36 144 
13348,96 144 
13824,72 101 
13826,22 100 
13826,22 51 
13866,16 1
13866,16 2
13866,16 2
13866,16 60 
25071,79 61 
26079,72 62 
28123,66 64 
28449,81 121 
28647,73 124 
30823,38 121 
30949,68 124 
40952,35 252 
40952,35 101 
40954,08 100 
40954,08 51 
40973,74 1
40973,74 2
40973,74 2
40973,74 60 
96106,33 61 
97121,02 62 
99376,03 64 
107129,75 252 
107129,75 101 
107131,61 100 
107131,61 51 
107151,59 1
107151,59 2
107151,59 2
107151,59 60 
125250,32 111 
125415,46 114 
125462,44 60 
125713,45 111 
125920,68 114 
125963,15 60 
140887,36 61 
141713,67 63 
141724,56 60 
143162,57 61 
144175,35 62 
147805,65 64 
154180,81 252 
154180,81 101 
154182,49 100 
154182,49 51 
154202,94 1
154202,94 2
154202,94 2
154202,94 60 
304575,81 61 
305479,44 63 
305503,02 60 
307911,7 61 
308918,94 62 
309401,02 64 
309677,95 121 
310217,33 125 
310732,06 65 
311218,21 144 
311220,09 144 
311676,05 101 
311677,37 100 
311677,37 51 
311701,95 1
311701,95 2
311701,95 2
311701,95 60 
311706,9 111 
312369,37 114 
312417,48 60 
312778,35 61 
313799,87 62 
314988,72 64 
315297,96 121 
315823,24 125 
316176,99 137 
316346,97 65 
316810,34 144 
316812,16 144 
316813,37 144 
317274,33 101 
317275,58 100 
317275,58 51 
317315,85 1
317315,85 2
317315,85 2
317315,85 60 
317612,24 61 
318631,67 62 
318787,19 64 
319099,47 121 
319624,01 125 
320145,03 65 
320601,77 144 
320603,7 144 
321072,83 101 
321074,04 100 
321074,04 51 
321098,51 1
321098,51 2
321098,51 1
321098,51 60 
321103,53 111 
321252,16 114 
321297,79 60 
321591,27 61 
322614,03 62 
322900,44 64 
323179,53 121 
323736,04 125 
324244,2 65 
324647,17 144 
324648,81 144 
325138,14 101 
325139,28 100 
325139,28 51 
325163,55 1
325163,55 2
325163,55 2
325163,55 60 
325168,7 111 
327174,44 114 
327212,53 60 
330620,87 111 
333351,32 114 
333394,33 60 
333579,19 61 
333985,21 63 
333993,83 60 
363526,88 61 
364551,06 62 
366427,36 64 
374557,96 252 
374557,96 101 
374559,71 100 
374559,71 51 
374581,07 1
374581,07 2
374581,07 2
374581,07 60 
388082,65 61 
389092,31 62 
389555,38 64 
399099,7 252 
399099,7 101 
399101,51 100 
399101,51 51 
399122,23 1
399122,23 2
399122,23 2
399122,23 60 
404237,58 61 
405252,31 62 
406346,18 64 
415262,1 252 
415262,1 101 
415263,93 100 
415263,93 51 
415283,3 1
415283,3 2
415283,3 2
415283,3 60 
420114,5 61 
420201,15 63 
420214,87 60 
421202,66 61 
422214,39 62 
424644,56 64 
432223,2 252 
432223,2 101 
432224,79 100 
432224,79 51 
432244,55 1
432244,55 2
432244,55 2
432244,55 60 
440428,2 61 
440773,24 63 
440791,51 60 
441721,8 61 
441873,18 63 
441891,13 60 
483290,24 61 
484309,61 62 
485102,17 64 
494318,27 252 
494318,27 101 
494319,97 100 
494319,97 51 
494341,3 1
494341,3 2
494341,3 2
494341,3 60 
515029,68 112 
515108,24 114 
515151,32 60 
515727,74 112 
515804,85 114 
515834,42 60 
532540,52 111 
532689,26 114 
532728,08 60 
533501,19 111 
533684,59 114 
533727,56 60 
550845,38 61 
551553,06 63 
551571,71 60 
551846,69 111 
552827,39 114 
552872,22 60 
553557,6 111 
554735,93 114 
554771,88 60 
554850,32 61 
554887,77 63 
554904,37 60 
554909,43 61 
555936,68 62 
557220,25 64 
565946,91 252 
565946,91 101 
565948,63 100 
565948,63 51 
565966,77 1
565966,77 2
565966,77 2
565966,77 60 
586488,37 112 
586566,8 114 
586593,78 60 
587264,01 61 
587333,85 63 
587343,57 60 
587528,91 112 
587602,46 114 
587627,79 60 
628089,21 61 
629112,75 62 
630638,17 64 
639121,6 252 
639121,6 101 
639123,25 100 
639123,25 51 
639142,99 1
639142,99 2
639142,99 2
639142,99 60 
658009,58 61 
659019,42 62 
659122,67 64 
669027,98 252 
669027,98 101 
669029,66 100 
669029,66 51 
669050,32 1
669050,32 2
669050,32 2
669050,32 60 
696786,25 61 
697801,61 63 
697823,37 60 
697985,28 61 
698007,05 63 
698023,27 60 
736935,24 61 
737946,73 62 
742049,77 64 
745657,92 123 
746180,71 125 
746703,65 66 
747072,74 137 
747178,48 144 
747180,72 144 
747183,66 144 
747664,94 101 
747666,13 100 
747666,13 51 
747707,07 1
747707,07 2
747707,07 2
747707,07 60 
747868,68 61 
748888,88 62 
749426,09 64 
749674,91 121 
750197,36 125 
750719,06 65 
751175,17 144 
751176,93 144 
751647,12 101 
751648,25 100 
751648,25 51 
751672,32 2
751672,32 2
751672,32 2
751672,32 60 
751677,59 111 
751729,59 114 
751789,41 60 
752137,22 61 
753155,78 62 
753367,83 64 
753655,82 121 
754205,88 125 
754717,76 66 
754984,08 137 
755180,64 144 
755182,11 144 
755184,16 144 
757059,59 101 
757060,88 100 
757060,88 51 
757103,57 2
757103,57 1
757103,57 2
757103,57 60 
757287,32 113 
757561,64 114 
757603,38 60 
757774,49 61 
758786,63 62 
759301,66 64 
759518,59 121 
760042,54 125 
760550,91 66 
761003,35 144 
761005 144 
761425,47 144 
761477,49 101 
761479,33 100 
761479,33 51 
761518,96 1
761518,96 1
761518,96 2
761518,96 60 
762497,82 61 
762551,82 63 
762568,56 60 
768558,37 112 
768625,5 114 
768667,72 60 
768680,4 61 
769700,53 62 
770458,15 64 
779707,98 252 
779707,98 101 
779709,58 100 
779709,58 51 
779730,38 1
779730,38 1
779730,38 2
779730,38 60 
804990,71 111 
806318,36 114 
806354,06 60 
807028,89 61 
808038,09 62 
816108,03 64 
818044,51 252 
818044,51 101 
818046,34 100 
818046,34 51 
818066,84 1
818066,84 1
818066,84 2
