TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


306 8
306 51 
529,85 100 
529,85 51 
555,44 1
555,44 2
555,44 2
555,44 60 
566,5 61 
588,87 63 
606,05 60 
1026,89 113 
2055,81 114 
2103,56 60 
3008,62 111 
4050,3 114 
4085,73 60 
4252,51 111 
4448,34 114 
4485,71 60 
4627,18 61 
5637,13 62 
5653,03 64 
5955,11 123 
6476,46 125 
6697,97 137 
6998,29 66 
7532,09 144 
7533,74 144 
7535,11 144 
8010,27 101 
8011,83 100 
8011,83 51 
8050,84 1
8050,84 2
8050,84 2
8050,84 60 
8068,18 61 
9102,44 62 
9473,24 64 
9734,2 123 
10255,84 125 
10781,37 66 
10801,41 137 
11329,48 144 
11331,43 144 
11333,14 144 
11808,25 101 
11809,75 100 
11809,75 51 
11900,11 1
11900,11 2
11900,11 2
11900,11 60 
11931,65 111 
12783,47 114 
12833,94 60 
13217,26 61 
14232,44 62 
14549,37 64 
14931,84 122 
15449,94 125 
15910,8 137 
15969,52 66 
16497,13 144 
16498,9 144 
16500,07 144 
16974,42 101 
16975,69 100 
16975,69 51 
17017,29 1
17017,29 1
17017,29 2
17017,29 60 
17033,71 61 
18066,14 62 
18387,52 64 
18723,7 123 
19258,57 125 
19697,84 137 
19777,09 65 
20309,51 144 
20311,1 144 
20312,29 144 
20790,66 101 
20791,9 100 
20791,9 51 
20832,86 1
20832,86 2
20832,86 2
20832,86 60 
21013,69 61 
22030,21 62 
22228,39 64 
22558,12 123 
23106,51 125 
23625,43 66 
23937,48 137 
24175,72 144 
24177,37 144 
24178,46 144 
24655,43 101 
24657,75 100 
24657,75 51 
24696,26 2
24696,26 2
24696,26 2
24696,26 60 
24793,2 61 
25812,19 62 
26445,74 64 
26804,4 123 
27309,44 125 
27827,27 66 
28399,45 144 
28401,49 144 
28427,91 144 
30630,75 101 
30632,87 100 
30632,87 51 
30677,05 2
30677,05 2
30677,05 1
30677,05 60 
31048,29 113 
31168,08 114 
31210,71 60 
31552,5 61 
32575,9 62 
32898,32 64 
33258,47 122 
33784,16 125 
34307,89 65 
34341,84 137 
34856,27 144 
34857,98 144 
34859,26 144 
35335,05 101 
35336,26 100 
35336,26 51 
35377,75 1
35377,75 1
35377,75 2
35377,75 60 
35564,01 61 
36577,59 62 
37201,93 64 
37536,84 122 
38047,52 125 
38554,87 66 
38603,93 137 
39106,85 144 
39108,57 144 
39109,92 144 
40826,01 101 
40828,31 100 
40828,31 51 
40874,9 1
40874,9 2
40874,9 1
40874,9 60 
41219,37 112 
41300,58 114 
41326,54 60 
41529,69 61 
42542,43 62 
43148,46 64 
43545,55 122 
44104,13 125 
44570,39 137 
44644,72 65 
45149,95 144 
45151,41 144 
45152,73 144 
45632,93 101 
45634,16 100 
45634,16 51 
45672,98 1
45672,98 2
45672,98 2
45672,98 60 
45830,79 61 
46839,32 62 
47288,6 64 
47651,05 122 
48225,66 125 
48737,42 66 
48816,9 137 
49283,04 144 
49284,34 144 
49285,38 144 
49319,69 143 
49444,5 144 
49446,34 144 
49447,25 144 
49763,16 101 
49764,45 100 
49764,45 51 
49805,35 1
49805,35 2
49805,35 2
49805,35 60 
50036,97 112 
50256,28 114 
50305,11 60 
50588,59 61 
51603,76 62 
52135,53 64 
52513,95 122 
53050,05 125 
53569,09 66 
53590,63 137 
54115,57 144 
54117,22 144 
54118,41 144 
54596,21 101 
54597,45 100 
54597,45 51 
54636,5 2
54636,5 2
54636,5 2
54636,5 60 
69617,73 61 
70456,46 63 
70465,2 60 
70937,88 111 
71923,95 114 
71980,25 60 
72490,55 61 
73513,37 62 
75184,91 64 
75591,51 122 
76119,39 125 
76642,89 66 
76682,77 137 
77195,77 144 
77197,39 144 
77198,74 144 
77671,28 101 
77672,53 100 
77672,53 51 
77712,53 1
77712,53 2
77712,53 2
77712,53 60 
78018,35 112 
78367,47 114 
78411,14 60 
117873,81 61 
118037,35 63 
118049,49 60 
118744,08 61 
118807,05 63 
118818,32 60 
119147,77 111 
119768,02 114 
119815,06 60 
120047,84 61 
121065,26 62 
124699,47 64 
125623,16 121 
126157,86 125 
126677,25 65 
126780,24 137 
127166,62 131 
127265,74 144 
127268,36 144 
127304,52 144 
127737,54 101 
127738,77 100 
127738,77 51 
127778,69 1
127778,69 2
127778,69 2
127778,69 60 
127877,3 61 
128894,92 62 
129447,97 64 
129949,14 121 
130484,21 125 
130931,67 137 
130991,77 65 
131541,57 144 
131543,33 144 
131544,49 144 
132019,37 101 
132020,9 100 
132020,9 51 
132060,84 1
132060,84 2
132060,84 2
132060,84 60 
132195,64 61 
133210,12 62 
133281,6 64 
133642,09 121 
134171,47 125 
134690,19 65 
134880,86 137 
135238,55 144 
135240,32 144 
135241,67 144 
135718,27 101 
135719,51 100 
135719,51 51 
135760,43 2
135760,43 2
135760,43 2
135760,43 60 
136019,65 61 
137043,02 62 
137159,64 64 
137611,83 121 
138151,54 125 
138506,51 137 
138672,34 66 
139221,58 144 
139223,07 144 
139224,67 144 
140820,46 101 
140821,63 100 
140821,63 51 
140858,82 1
140858,82 1
140858,82 2
140858,82 60 
141206 111 
141560,16 114 
141607,21 60 
141880,96 61 
142893,67 62 
143226,89 64 
143618,51 121 
144181,62 125 
144702,82 65 
144725,87 137 
145231,11 144 
145232,86 144 
145233,95 144 
145714,83 101 
145716,27 100 
145716,27 51 
145773,39 1
145773,39 2
145773,39 1
145773,39 60 
145965,28 61 
146988,99 62 
147120,51 64 
147482,36 121 
148064,31 125 
148420,23 137 
148584,72 65 
149152,28 144 
149154,54 144 
149155,76 144 
149614,69 101 
149615,91 100 
149615,91 51 
149655,37 1
149655,37 1
149655,37 1
149655,37 60 
149885,9 61 
150845,37 63 
150854,42 60 
151256,85 111 
151688,9 114 
151737,24 60 
151902,1 61 
152920,28 62 
153667,77 64 
153962,68 121 
154498,94 125 
155015,66 65 
155150,59 137 
155555,11 144 
155556,91 144 
155557,99 144 
156029,27 101 
156030,61 100 
156030,61 51 
156071,42 1
156071,42 2
156071,42 2
156071,42 60 
159080,62 111 
