TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


421,7 8
421,7 51 
484,73 100 
484,73 51 
504,5 1
504,5 2
504,5 2
504,5 60 
1779,39 61 
2802,98 62 
3484,71 64 
3755,21 121 
4294,66 125 
4814,31 65 
5387,58 144 
5389,79 144 
5498,1 144 
5860,75 101 
5862,23 100 
5862,23 51 
5900,96 2
5900,96 1
5900,96 2
5900,96 60 
9429,53 61 
10449,99 62 
11652,31 64 
11961,36 123 
12476,15 125 
12863,03 137 
12994,73 66 
13520,31 144 
13521,7 144 
13522,74 144 
16064,47 101 
16066,02 100 
16066,02 51 
16114,24 1
16114,24 2
16114,24 2
16114,24 60 
16752,31 61 
17764,99 62 
19068,74 64 
27773,76 252 
27773,76 101 
27775,51 100 
27775,51 51 
27793,65 1
27793,65 2
27793,65 2
27793,65 60 
38425,72 61 
39440,6 62 
41572,78 64 
49447,8 252 
49447,8 101 
49449,62 100 
49449,62 51 
49470,14 1
49470,14 2
49470,14 2
49470,14 60 
54272,77 61 
55284,05 62 
55369,05 64 
65293,53 252 
65293,53 101 
65295,18 100 
65295,18 51 
65314,86 1
65314,86 2
65314,86 2
65314,86 60 
65318,83 61 
66332,86 62 
69170,45 64 
74176,15 121 
74693,74 124 
75889,37 121 
76449,35 125 
76958,36 65 
77513,48 144 
77515,38 144 
77707,05 144 
77985,25 101 
77986,39 100 
77986,39 51 
78027,21 1
78027,21 1
78027,21 2
78027,21 60 
78275,92 61 
79293,4 62 
79772,66 64 
80176,29 121 
80702,91 125 
81223,61 65 
81726,18 144 
81727,85 144 
82185,63 144 
82217,61 101 
82219,14 100 
82219,14 51 
82259,33 1
82259,33 2
82259,33 2
82259,33 60 
82559,61 61 
83575,3 62 
83866,3 64 
84142,98 121 
84712,81 125 
85201,52 137 
85222,94 65 
85770,1 144 
85771,57 144 
85772,7 144 
86249,37 101 
86250,62 100 
86250,62 51 
86291,08 1
86291,08 2
86291,08 1
86291,08 60 
86496,67 61 
87507,66 62 
87567,03 64 
87923,11 121 
88450,23 125 
88969,7 65 
89532,26 144 
89537,03 144 
89786,13 144 
89999,1 101 
90000,27 100 
90000,27 51 
90039,91 2
90039,91 2
90039,91 2
90039,91 60 
90979,44 61 
91867,71 63 
91889,42 60 
92329,47 111 
94017,79 114 
94054,72 60 
94231,14 61 
95254,2 62 
95558,56 64 
95960,35 121 
96476,06 125 
96983,37 66 
97488,85 144 
97490,43 144 
97978,83 101 
97979,98 100 
97979,98 51 
98004,04 1
98004,04 2
98004,04 2
98004,04 60 
98010,09 111 
100475,28 114 
100519,61 60 
101069,24 61 
102086,29 62 
102449,07 64 
102955,85 121 
103475,28 125 
103999,46 65 
104501,78 144 
104503,51 144 
104736,01 144 
104993,92 101 
104995,1 100 
104995,1 51 
105035,03 1
105035,03 2
105035,03 1
105035,03 60 
105341,94 61 
106351,12 62 
106532 64 
106906,43 121 
107438,79 125 
107947,18 65 
108451,18 144 
108452,75 144 
108941,41 101 
108942,61 100 
108942,61 51 
108966,8 1
108966,8 2
108966,8 2
108966,8 60 
108972,58 111 
109020,84 114 
109067,35 60 
111754,66 111 
113354,13 114 
113398,92 60 
113708,04 111 
114162,39 114 
114198,59 60 
114341,74 61 
115348,77 62 
115993,33 64 
116317,62 121 
116806,12 125 
117326,82 65 
117830,72 144 
117832,37 144 
118211,54 144 
118322,19 101 
118323,35 100 
118323,35 51 
118348,02 1
118348,02 2
118348,02 1
118348,02 60 
119367,45 61 
120380,39 62 
120511,92 64 
120944,4 121 
121438,02 125 
121960,59 65 
122462,77 144 
122464,39 144 
122955,64 101 
122956,79 100 
122956,79 51 
122979,14 1
122979,14 1
122979,14 2
122979,14 60 
122984,71 111 
123403,71 114 
123429,13 60 
123755,52 61 
124670,66 63 
124679,5 60 
124990 111 
126147,89 114 
126194,56 60 
149259,82 61 
150035,75 63 
150053,68 60 
166223,34 61 
167230,48 62 
168013,38 64 
168212,27 123 
168735,28 125 
169144,2 137 
169244,14 66 
169792,17 144 
169793,6 144 
169794,78 144 
169900,32 143 
169986,86 144 
169988,47 144 
169989,96 144 
170271,53 101 
170272,71 100 
170272,71 51 
170313,66 1
170313,66 2
170313,66 2
170313,66 60 
170366,63 61 
171381,11 62 
171708,45 64 
181387,81 252 
181387,81 101 
181389,6 100 
181389,6 51 
181411,12 1
181411,12 2
181411,12 2
181411,12 60 
187449,6 61 
188459,36 62 
192472,13 64 
198465,09 252 
198465,09 101 
198466,88 100 
198466,88 51 
198492,73 1
198492,73 2
198492,73 2
198492,73 60 
213649,4 61 
214665,83 62 
218505,84 64 
224672,71 252 
224672,71 101 
224675,36 100 
224675,36 51 
224695,74 1
224695,74 2
224695,74 2
224695,74 60 
224700,32 61 
225710,96 62 
227948,41 64 
235719,2 252 
235719,2 101 
235720,9 100 
235720,9 51 
235741,9 1
235741,9 2
235741,9 2
235741,9 60 
260743,49 61 
261766,41 62 
262398,76 64 
271775,43 252 
271775,43 101 
271777,21 100 
271777,21 51 
271796,89 1
271796,89 2
271796,89 2
271796,89 60 
290647,33 61 
291656,28 62 
293155,98 64 
293441,4 121 
293964,15 125 
294486,28 65 
294566,09 137 
295035,08 144 
295036,93 144 
295038,24 144 
295514,14 101 
295515,34 100 
295515,34 51 
295555,49 1
295555,49 2
295555,49 2
295555,49 60 
295688,64 61 
296704,73 62 
296922,85 64 
297214,5 121 
297786,21 125 
298302,46 65 
298855,91 144 
298858,08 144 
299328,67 101 
299329,92 100 
299329,92 51 
299354,5 1
299354,5 2
299354,5 2
299354,5 60 
299360,4 111 
299809,74 114 
299853,93 60 
300413,26 61 
301331,55 63 
301353,64 60 
301661,42 111 
302652,6 114 
302688,08 60 
302872,57 61 
303886,79 62 
304107,14 64 
304407,22 121 
304955,14 125 
305467,18 65 
305509,45 137 
306015,55 144 
306017,43 144 
306018,43 144 
306494,87 101 
306496,07 100 
306496,07 51 
306535,15 1
306535,15 2
306535,15 2
306535,15 60 
306838,78 61 
307851,18 62 
307986,8 64 
308289,93 121 
308822,31 125 
309330,13 65 
