TotalRequired,  240
t_hold_target,  450
T_Hold_Lev,  1000


292,05 8
292,05 52 
335,03 100 
335,03 52 
355,48 1
355,48 2
355,48 2
355,48 60 
8000,1 111 
9146,2 114 
9183,12 60 
9867,68 61 
10882,37 62 
12610,48 64 
20891,44 252 
20891,44 101 
20892,94 100 
20892,94 52 
20912,59 1
20912,59 2
20912,59 2
20912,59 60 
100434,38 61 
101451,92 62 
101594,3 64 
101876,65 121 
102408,87 125 
102548,32 137 
102916,07 66 
103481,28 144 
103482,94 144 
103484,49 144 
107419,26 101 
107421,13 100 
107421,13 52 
107467,61 1
107467,61 2
107467,61 2
107467,61 60 
145879,79 61 
146378,4 63 
146388,16 60 
221130,71 61 
222146,28 62 
229509,21 64 
232155,19 252 
232155,19 101 
232156,87 100 
232156,87 52 
232576,35 1
232576,35 2
232576,35 2
232576,35 60 
233253,35 61 
234275,11 62 
234712,34 64 
235001,93 121 
235532,15 125 
235853,25 137 
236038,42 66 
236587,38 144 
236588,73 144 
236589,65 144 
237068,03 101 
237069,2 100 
237069,2 52 
237108,45 1
237108,45 2
237108,45 2
237108,45 60 
289783,12 111 
289903,86 114 
289941,11 60 
291070,45 111 
291282,06 114 
291323,71 60 
337174,41 61 
338191,57 62 
338231,77 64 
338476,38 121 
339024,75 125 
339186,05 137 
339538,41 66 
340088,46 144 
340090,19 144 
340091,33 144 
340566,68 101 
340567,73 100 
340567,73 52 
340608,57 1
340608,57 2
340608,57 2
340608,57 60 
627658,32 61 
628684,32 62 
628811,02 64 
629160,26 121 
629717,45 124 
639721,69 252 
639721,69 101 
639723,36 100 
639723,36 52 
639742,52 1
639742,52 2
639742,52 2
639742,52 60 
768750,44 61 
769270,48 63 
769283,22 60 
848230,53 61 
848288,42 63 
848307,35 60 
848358,42 61 
848385,82 63 
848407,31 60 
848858,5 61 
849872,47 62 
850011,56 64 
859882,26 252 
859882,26 101 
859883,9 100 
859883,9 52 
859905,76 1
859905,76 2
859905,76 2
859905,76 60 
1146921,51 61 
1147943,02 62 
1148110,83 64 
1148387,41 121 
1148944,11 125 
1149052,99 137 
1149456,58 66 
1150003,75 144 
1150005,19 144 
1150006,44 144 
1151309,53 101 
1151310,62 100 
1151310,62 52 
1151357,73 1
1151357,73 2
1151357,73 2
1151357,73 60 
1151566,68 113 
1151735,83 114 
1151790,64 60 
1151950,3 61 
1152958,1 62 
1156335,22 64 
1156610,1 121 
1157129,49 124 
1167130,21 252 
1167130,21 101 
1167132 100 
1167132 52 
1167152,31 1
1167152,31 2
1167152,31 2
1167152,31 60 
1358761,48 111 
1359266,4 114 
1359306,38 60 
1360081,29 61 
1360132,04 63 
1360140,89 60 
1360168,38 61 
1361080,95 63 
1361089,81 60 
1361327,99 111 
1361847,65 114 
1361888,41 60 
1362884,07 61 
1363903,92 62 
1364176,74 64 
1364452,21 121 
1364977,54 125 
1364998,04 137 
1365483,57 66 
1366031,87 144 
1366033,59 144 
1366034,43 144 
1367409,24 101 
1367410,39 100 
1367410,39 52 
1367453,08 1
1367453,08 1
1367453,08 2
1367453,08 60 
1367634,48 111 
1368199,94 114 
1368219,59 60 
1368323,12 61 
1369335,02 62 
1369559,51 64 
1369808,31 123 
1370324,65 125 
1370606,24 137 
1370833,7 65 
1371380,85 144 
1371382,27 144 
1371383,75 144 
1373028,64 101 
1373029,87 100 
1373029,87 52 
1373067,85 2
1373067,85 2
1373067,85 2
1373067,85 60 
1373282,49 113 
1373762,44 114 
1373802,59 60 
1373941,63 61 
1374950,84 62 
1375470,12 64 
1375708,84 123 
1376240,92 125 
1376747,22 66 
1376804,95 137 
1377296,02 144 
1377297,48 144 
1377298,44 144 
1379607,37 101 
1379608,88 100 
1379608,88 52 
1379649,19 1
1379649,19 2
1379649,19 2
1379649,19 60 
1379884,77 113 
1380127,45 114 
1380165,48 60 
1380344,6 61 
1381365,52 62 
1381699,87 64 
1381942,06 121 
1382471,72 125 
1382614 137 
1382979,15 66 
1383526,7 144 
1383528,32 144 
1383529,96 144 
1384902,86 101 
1384904,08 100 
1384904,08 52 
1384947,43 2
1384947,43 2
1384947,43 1
1384947,43 60 
1385170,83 111 
1385889,89 114 
1385930,37 60 
1386143,79 61 
1387163,41 62 
1388310,67 64 
1388644,74 121 
1389181,27 125 
1389406,07 137 
1389692,45 65 
1390241,14 144 
1390242,46 144 
1390243,57 144 
1390721,57 101 
1390722,74 100 
1390722,74 52 
1390763,31 1
1390763,31 1
1390763,31 1
1390763,31 60 
1391142,07 61 
1391195,88 63 
1391212,32 60 
1392267,92 111 
1392893,96 114 
1392928,26 60 
1393048,08 61 
1394007,65 63 
1394027,66 60 
1394252,74 111 
1395130,41 114 
1395160,72 60 
1395745,26 61 
1396760,4 62 
1396959,77 64 
1397261,03 121 
1397781,97 125 
1398009,65 137 
1398290,81 65 
1398837,74 144 
1398839,29 144 
1398840,4 144 
1399317,89 101 
1399319,02 100 
1399319,02 52 
1399360,49 1
1399360,49 2
1399360,49 2
1399360,49 60 
1399656,18 61 
1399835,69 63 
1399844,6 60 
1401329,96 111 
1401601,3 114 
1401641,8 60 
1401768,21 61 
1402693,8 63 
1402708,26 60 
1403041,59 111 
1403582,69 114 
1403624,53 60 
1403813,56 61 
1404824,15 62 
1405245,39 64 
1405568,9 121 
1406139,44 125 
1406334,22 137 
1406654,88 66 
1407203,7 144 
1407204,85 144 
1407205,9 144 
1408651,15 101 
1408652,51 100 
1408652,51 52 
1408689,66 2
1408689,66 2
1408689,66 2
1408689,66 60 
1408962,45 111 
1410437,72 114 
1410472,41 60 
1411114,18 61 
1412123,42 62 
1413351,46 64 
1413638 121 
1414199,56 125 
1414615,93 137 
1414717,69 66 
1415266,97 144 
1415268,42 144 
1415269,37 144 
1415745,77 101 
1415746,82 100 
1415746,82 52 
1415787,4 1
1415787,4 2
1415787,4 1
1415787,4 60 
1415818,2 61 
1416841,83 62 
1417309,62 64 
1417551,79 121 
1418090,37 125 
1418340,72 137 
1418600,84 65 
1419149,72 144 
1419151,34 144 
1419152,46 144 
1419629,52 101 
1419630,58 100 
