TotalRequired,  260
t_hold_target,  450
T_Hold_Lev,  1000


121,35 8
121,35 53 
169,16 100 
169,16 53 
188,74 1
188,74 2
188,74 2
188,74 60 
18417,88 61 
19429,58 62 
20495,61 64 
20904,9 121 
21417,63 124 
31420,79 252 
31420,79 101 
31422,51 100 
31422,51 53 
31442,26 1
31442,26 2
31442,26 2
31442,26 60 
33411,97 61 
34423,91 62 
36289,79 64 
44432,98 252 
44432,98 101 
44435,65 100 
44435,65 53 
44455,13 1
44455,13 2
44455,13 2
44455,13 60 
62030,19 61 
62064,55 63 
62082,76 60 
86092,51 61 
87107,53 62 
87778,78 64 
94155,76 121 
94419,96 124 
104429,07 252 
104429,07 101 
104430,92 100 
104430,92 53 
104452,16 1
104452,16 2
104452,16 2
104452,16 60 
113560,25 61 
114582,3 62 
117339,06 64 
124588,93 252 
124588,93 101 
124590,67 100 
124590,67 53 
124611,93 1
124611,93 2
124611,93 2
124611,93 60 
124726,57 61 
125745,34 62 
128992,63 64 
135752,57 252 
135752,57 101 
135754,3 100 
135754,3 53 
135775,18 1
135775,18 2
135775,18 2
135775,18 60 
141850,55 61 
142872,84 62 
143592,77 64 
143910,11 123 
144474,54 125 
144552,09 137 
144983,88 65 
145319,25 144 
145321,12 144 
145322,8 144 
145798,31 101 
145799,78 100 
145799,78 53 
145821,43 1
145821,43 2
145821,43 2
145821,43 60 
146006,32 61 
147020,43 62 
147445,56 64 
147731,55 123 
148246,18 125 
148548,66 137 
148767,84 65 
149115,77 144 
149117,55 144 
149119,08 144 
149594,89 101 
149596,14 100 
149596,14 53 
149637,85 2
149637,85 2
149637,85 2
149637,85 60 
149899,86 61 
150919,82 62 
150945,49 64 
151278,24 123 
151827,56 125 
152257,61 137 
152349,73 66 
152696,85 144 
152698,57 144 
152701,39 144 
153177,17 101 
153178,38 100 
153178,38 53 
153219,04 1
153219,04 2
153219,04 2
153219,04 60 
153264,89 61 
154287,17 62 
154512,76 64 
154857,37 123 
155392,02 125 
155802,02 137 
155913,93 65 
156263,89 144 
156265,55 144 
156266,73 144 
156742,53 101 
156743,66 100 
156743,66 53 
156784,34 1
156784,34 2
156784,34 2
156784,34 60 
156973,97 61 
157984,93 62 
158030,76 64 
158374,51 123 
158910,73 125 
159105,76 137 
159429,41 65 
159768,89 144 
159770,62 144 
159772,13 144 
159970,86 143 
160067,36 144 
160069,01 144 
160072,86 144 
160243,75 101 
160244,98 100 
160244,98 53 
160266,57 1
160266,57 1
160266,57 2
160266,57 60 
160455,82 61 
161466,12 62 
161652,09 64 
161999,09 123 
162566,23 125 
163001,27 137 
163078,34 65 
163427,6 144 
163429,89 144 
163432,3 144 
163908,18 101 
163909,36 100 
163909,36 53 
163949,78 2
163949,78 2
163949,78 1
163949,78 60 
164286,49 61 
165270,95 63 
165282,14 60 
165639,5 113 
165790,62 114 
165831,41 60 
166049,17 61 
167065,32 62 
167150,94 64 
167469,44 123 
167988 125 
168510,8 66 
168558,4 137 
168858,77 144 
168860,19 144 
168862,42 144 
169338,98 101 
169340,09 100 
169340,09 53 
169380,38 1
169380,38 2
169380,38 2
169380,38 60 
169528,3 61 
170546,93 62 
170913,71 64 
171222,7 123 
171783,2 125 
172164,96 137 
172293,47 65 
172640,84 144 
172642,67 144 
172643,8 144 
173121,5 101 
173122,71 100 
173122,71 53 
173163,31 1
173163,31 1
173163,31 2
173163,31 60 
173484,65 61 
173968,95 63 
173979,32 60 
175649,4 61 
176606,64 63 
176628,13 60 
176918,77 113 
177019,09 114 
177062,24 60 
177266,45 61 
178278,53 62 
179488,78 64 
179810,82 121 
180345,27 125 
180395,41 137 
180858,27 65 
181221,04 144 
181222,49 144 
181224,28 144 
181736,19 101 
181737,88 100 
181737,88 53 
181776,15 1
181776,15 2
181776,15 1
181776,15 60 
184950,24 111 
185123,09 114 
185158,33 60 
186176,34 61 
187193,21 62 
187921,27 64 
188248,29 123 
188762,89 125 
189271,38 65 
189612,55 144 
189614,53 144 
190009,59 144 
190081,83 101 
190082,99 100 
190082,99 53 
190123,28 1
190123,28 2
190123,28 2
190123,28 60 
190559,87 61 
191573,73 62 
191645,3 64 
191976,41 123 
192495,64 125 
193019,24 65 
193021,94 137 
193381,26 144 
193382,78 144 
193384,28 144 
193652,11 143 
193747,57 144 
193749,16 144 
193752,78 144 
193847,61 101 
193848,82 100 
193848,82 53 
193889,22 1
193889,22 1
193889,22 2
193889,22 60 
195107,27 61 
195494,08 63 
195505,79 60 
196859,33 61 
197871,47 62 
198411,93 64 
198701,58 123 
199239,17 125 
199750,43 65 
200071,23 144 
200072,55 144 
200546,77 144 
200572,15 101 
200573,32 100 
200573,32 53 
200620,23 1
200620,23 1
200620,23 2
200620,23 60 
201059,79 61 
202070,67 62 
202182,3 64 
202515,4 123 
203058,13 125 
203566,03 65 
203817,36 137 
203913,3 144 
203915,24 144 
203916,75 144 
204394,38 101 
204395,74 100 
204395,74 53 
204435,82 1
204435,82 2
204435,82 2
204435,82 60 
204553,71 113 
204622,15 114 
204653,14 60 
204982,66 61 
205871 63 
205886,62 60 
206437,77 61 
207451,49 62 
207748,52 64 
208046,51 123 
208587,6 125 
209098,48 65 
209154,3 137 
209445,63 144 
209447,18 144 
209448,51 144 
209802,26 143 
209890,38 144 
209893,29 144 
209926,53 101 
209927,76 100 
209927,76 53 
209968,01 2
209968,01 2
209968,01 2
209968,01 60 
210411,4 61 
211433,43 62 
211515,6 64 
211858,8 123 
212387,11 125 
212896,76 66 
213216,2 144 
213217,65 144 
213221,99 144 
213402,39 143 
213462,52 144 
213464,05 144 
213670,89 144 
213738,29 101 
213739,6 100 
213739,6 53 
213767,07 1
213767,07 2
213767,07 2
213767,07 60 
213981,04 61 
214999,67 62 
216442,91 64 
216783,39 123 
217304,41 125 
217827,24 65 
218148,7 144 
218150,06 144 
218639,32 101 
218641,3 100 
218641,3 53 
218664,21 1
218664,21 2
218664,21 2
218664,21 60 
219295,4 61 
220135,13 63 
220180,34 60 
220475,73 113 
220569,48 114 
220613,63 60 
220824,72 61 
221846,99 62 
222095,86 64 
