TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


301,52 8
301,52 53 
353,37 100 
353,37 53 
372,42 1
372,42 1
372,42 2
372,42 60 
384,08 61 
895,65 63 
905,64 60 
1333,32 111 
2834,62 114 
2885,18 60 
3896,64 61 
4918,31 62 
5201,51 64 
5561,41 123 
6114,9 125 
6632,54 65 
7193 144 
7198,86 144 
7295,32 144 
7659,53 101 
7661,01 100 
7661,01 53 
7700,08 1
7700,08 2
7700,08 2
7700,08 60 
7987,39 61 
9000,15 62 
10899,79 64 
11276,1 121 
11806,1 125 
12208,56 137 
12331,51 66 
12882,49 144 
12884,22 144 
12887,36 144 
13356,49 101 
13357,65 100 
13357,65 53 
13399 1
13399 2
13399 1
13399 60 
107586,94 111 
107844,05 114 
107885,42 60 
108120,93 111 
108503,41 114 
108549,96 60 
111452,15 61 
111477,7 63 
111502,42 60 
157017,6 61 
158033,69 62 
158346,41 64 
158649,65 121 
159175,91 125 
159698,09 65 
160170,74 137 
160298,07 144 
160299,84 144 
160302,28 144 
160968,51 101 
160970,44 100 
160970,44 53 
161016,07 1
161016,07 2
161016,07 2
161016,07 60 
161421,16 61 
162433,58 62 
162614,41 64 
163009,05 121 
163540,79 125 
164061,43 66 
164141,8 137 
164614,65 144 
164616,34 144 
164617,52 144 
165090,33 101 
165091,58 100 
165091,58 53 
165131,52 2
165131,52 2
165131,52 2
165131,52 60 
201936,68 111 
202663,24 114 
202702,29 60 
261632,25 61 
262648,57 62 
262832,88 64 
263155,59 121 
263677,18 125 
264195,97 66 
264500,29 137 
264747,84 144 
264749,37 144 
264750,57 144 
265223,75 101 
265224,86 100 
265224,86 53 
265265,38 1
265265,38 2
265265,38 2
265265,38 60 
277946,94 111 
278019,48 114 
278048,18 60 
280164,26 111 
280242,19 114 
280264,58 60 
378768,86 111 
379451,22 114 
379494,51 60 
379639,82 61 
379660,11 63 
379682,13 60 
379836,29 61 
379974,99 63 
379994,2 60 
396323 111 
397223,65 114 
397271,83 60 
447194,46 61 
448205,66 62 
448222,31 64 
448579,9 122 
449114,27 125 
449400,89 137 
449634,75 66 
450187,21 144 
450191,96 144 
450193,79 144 
451923,31 101 
451924,55 100 
451924,55 53 
451970,54 1
451970,54 2
451970,54 2
451970,54 60 
471959,42 111 
472041,52 114 
472068,11 60 
474066,67 111 
474140,25 114 
474198,95 60 
536090,01 112 
536166,62 114 
536195,81 60 
602903,53 61 
603921,21 62 
604306,88 64 
613928,69 252 
613928,69 101 
613930,46 100 
613930,46 53 
613951,51 1
613951,51 2
613951,51 2
613951,51 60 
634864,41 111 
636309,84 114 
636345,74 60 
830947,64 61 
831962,1 62 
832455,51 64 
832747,23 122 
833280,09 125 
833792,25 66 
833963,15 137 
834344,5 144 
834346,56 144 
834347,61 144 
836359,98 101 
836361,89 100 
836361,89 53 
836411,05 2
836411,05 1
836411,05 1
836411,05 60 
836710,84 112 
837179,85 114 
837227,57 60 
837448,03 61 
838461,51 62 
840789,14 64 
848467,65 252 
848467,65 101 
848469,34 100 
848469,34 53 
848490,21 2
848490,21 1
848490,21 1
848490,21 60 
927652,03 61 
928664,59 62 
928953,13 64 
938672,14 252 
938672,14 101 
938673,91 100 
938673,91 53 
938694,03 2
938694,03 1
938694,03 1
938694,03 60 
1021954,79 61 
1022966,23 62 
1023212,49 64 
1032974,93 252 
1032974,93 101 
1032976,6 100 
1032976,6 53 
1032996,41 2
1032996,41 1
1032996,41 1
1032996,41 60 
1150665,48 61 
1151673,73 62 
1152016,83 64 
1152319,81 121 
1152871,89 125 
1153008,18 137 
1153386,8 65 
1153939,59 144 
1153944,21 144 
1153946,02 144 
1154415,49 101 
1154416,74 100 
1154416,74 53 
1154456,68 1
1154456,68 2
1154456,68 2
1154456,68 60 
1155251,94 61 
1156272,09 62 
1156514,9 64 
1156864,95 121 
1157396,4 125 
1157615,19 137 
1157919,16 66 
1158473,44 144 
1158475,1 144 
1158476,26 144 
1160015,05 101 
1160016,72 100 
1160016,72 53 
1160071,16 1
1160071,16 2
1160071,16 2
1160071,16 60 
1160351,46 112 
1160470,11 114 
1160521,11 60 
1160744,01 61 
1161754,07 62 
1162180,97 64 
1162517,23 121 
1163059,53 125 
1163367,23 137 
1163566,69 66 
1164119,35 144 
1164121,07 144 
1164122,55 144 
1165936,37 101 
1165937,49 100 
1165937,49 53 
1165971,05 1
1165971,05 2
1165971,05 1
1165971,05 60 
1166318,25 113 
1166751,8 114 
1166786,49 60 
1167111,74 61 
1168135,2 62 
1168210,63 64 
1168714,27 122 
1169246,16 125 
1169560,86 137 
1169763,99 66 
1170316,77 144 
1170318,24 144 
1170319,58 144 
1171871,56 101 
1171873,1 100 
1171873,1 53 
1171917,29 1
1171917,29 1
1171917,29 2
1171917,29 60 
1172210,69 113 
1172313,65 114 
1172339,46 60 
1172532,79 61 
1173549,43 62 
1173671,19 64 
1174047,07 122 
1174592,3 125 
1175115,33 65 
1175153,67 137 
1175665,33 144 
1175670,42 144 
1175672,21 144 
1176140,72 101 
1176141,88 100 
1176141,88 53 
1176182,68 2
1176182,68 2
1176182,68 2
1176182,68 60 
1178321,13 112 
1178418,75 114 
1178449,54 60 
1178508,76 61 
1178831,45 63 
1178848,23 60 
1180287,79 61 
1181300,78 62 
1181590,05 64 
1181898,72 122 
1182422,14 125 
1182748,95 137 
1182944,09 66 
1183495,53 144 
1183496,94 144 
1183498,12 144 
1184999,73 101 
1185000,94 100 
1185000,94 53 
1185046,54 1
1185046,54 2
1185046,54 2
1185046,54 60 
1185828,74 61 
1186846 62 
1186978,62 64 
1187318,64 123 
1187836,3 125 
1188340,67 137 
1188418,75 65 
1188913,49 144 
1188915,09 144 
1188916,69 144 
1189387,95 101 
1189389,11 100 
1189389,11 53 
1189428,13 1
1189428,13 2
1189428,13 2
1189428,13 60 
1189462,41 61 
1190481,05 62 
1190821,95 64 
1191118,59 123 
1191667,7 125 
1192191,11 65 
1192756,3 144 
1192759,47 144 
1192974,8 144 
1193219,87 101 
1193221,03 100 
1193221,03 53 
1193260,63 2
