TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


318,25 8
318,25 53 
371,95 100 
371,95 53 
388,6 1
388,6 2
388,6 2
388,6 60 
1227,1 111 
2107 114 
2151,76 60 
3587,9 61 
4601,07 62 
4869,39 64 
5195,19 123 
5762,29 125 
6218,56 137 
6289,26 65 
6835,6 144 
6837,4 144 
6839,67 144 
7084,55 143 
7173,81 144 
7175,53 144 
7177,23 144 
7309,72 101 
7311,14 100 
7311,14 53 
7349,99 1
7349,99 1
7349,99 2
7349,99 60 
7460,57 61 
8483,78 62 
8758,69 64 
9060,82 123 
9592,22 125 
10111,79 65 
10598,31 137 
10688,68 144 
10690,59 144 
10691,57 144 
10873 143 
10966,82 144 
10968,47 144 
10972,24 144 
11157,73 101 
11158,95 100 
11158,95 53 
11198,79 1
11198,79 2
11198,79 2
11198,79 60 
11277,08 61 
12297,53 62 
12636,99 64 
12886,86 123 
13423,93 125 
13945,2 65 
14465,96 144 
14467,2 144 
14955,63 101 
14956,8 100 
14956,8 53 
14981,84 1
14981,84 2
14981,84 2
14981,84 60 
14988,89 113 
15658,88 114 
15697,02 60 
16036,78 61 
17047,69 62 
17098,75 64 
17417,64 123 
17937,26 125 
18459,39 65 
18561,59 137 
19008,09 144 
19009,42 144 
19010,47 144 
19378,67 143 
19470,1 144 
19471,56 144 
19475,56 144 
19551,84 101 
19553,26 100 
19553,26 53 
19580,52 1
19580,52 2
19580,52 1
19580,52 60 
19792,38 61 
20812,39 62 
20986,05 64 
21352,52 123 
21908,74 125 
22425,48 65 
22928,76 144 
22930,25 144 
23188,31 144 
23420,08 101 
23421,31 100 
23421,31 53 
23461,91 1
23461,91 2
23461,91 2
23461,91 60 
23721,2 61 
24730,44 63 
24744,17 60 
25150,91 113 
25229,85 114 
25296,88 60 
27097,61 113 
27178,9 114 
27226,93 60 
27394,5 61 
28410,14 62 
28664,51 64 
29024,4 123 
29565,53 125 
30073,74 65 
30593,63 144 
30595,01 144 
31083,79 101 
31084,99 100 
31084,99 53 
31108,88 2
31108,88 1
31108,88 1
31108,88 60 
31114,43 113 
31159,64 114 
31194,66 60 
31500,94 61 
32510,92 62 
32760,02 64 
33082,97 123 
33629,85 125 
34106,86 137 
34138,61 66 
34686,34 144 
34688,2 144 
34690,21 144 
37007,57 101 
37010,74 100 
37010,74 53 
37056,86 2
37056,86 2
37056,86 2
37056,86 60 
48593,39 61 
49603,57 62 
49900,07 64 
50179,33 121 
50745,83 125 
51267,45 66 
51822,18 144 
51823,84 144 
52183,88 144 
52293,79 101 
52294,98 100 
52294,98 53 
52335,37 1
52335,37 2
52335,37 2
52335,37 60 
52802,54 61 
53817,29 62 
59662,92 64 
60078,79 121 
60290,18 124 
70290,86 252 
70290,86 101 
70292,66 100 
70292,66 53 
70312,56 1
70312,56 2
70312,56 2
70312,56 60 
127355,71 61 
128202,61 63 
128210,65 60 
128455,43 111 
129074,76 114 
129110,37 60 
129596,37 61 
130608,62 62 
130713,36 64 
140618,25 252 
140618,25 101 
140619,97 100 
140619,97 53 
140639,4 1
140639,4 2
140639,4 2
140639,4 60 
151759,31 61 
152769,25 62 
153172,69 64 
153458,89 121 
154014,14 125 
154532,81 66 
154938,53 137 
155083,98 144 
155088,56 144 
155089,97 144 
156536,73 101 
156537,9 100 
156537,9 53 
156584,23 1
156584,23 2
156584,23 2
156584,23 60 
156887,9 113 
157308,93 114 
157350,71 60 
157621,59 61 
158633,79 62 
158997,75 64 
159296,69 121 
159824,32 125 
160298,73 137 
160369,9 66 
160899,33 144 
160900,7 144 
160901,83 144 
161375,13 101 
161376,34 100 
161376,34 53 
161417 1
161417 2
161417 2
161417 60 
161701,16 61 
162715,96 62 
163099,62 64 
163438,08 122 
163964,57 125 
164351,13 137 
164477,59 66 
165032,76 144 
165034,76 144 
165036,09 144 
165494,52 142 
165546,18 101 
165547,5 100 
165547,5 53 
165598,23 1
165598,23 2
165598,23 2
165598,23 60 
165661,45 112 
165905,75 114 
165947,78 60 
166359,52 61 
167380,42 62 
168022,19 64 
168396,82 122 
168921,17 125 
169444,33 66 
169931,85 137 
170012,82 144 
170014,86 144 
170016,42 144 
170489,68 101 
170491,03 100 
170491,03 53 
170529,67 2
170529,67 1
170529,67 2
170529,67 60 
171014,01 112 
171468,74 114 
171512,94 60 
173937,24 61 
174945,18 62 
175242,43 64 
175545,68 121 
176069,94 125 
176358,76 137 
176590,97 66 
177146,2 144 
177151,56 144 
177152,93 144 
177619,26 101 
177620,44 100 
177620,44 53 
177660,66 1
177660,66 2
177660,66 2
177660,66 60 
192323,23 61 
193339,16 62 
193973,1 64 
194230,14 121 
194779,58 125 
195300,78 66 
195857,45 144 
195861,52 144 
196329,86 101 
196331 100 
196331 53 
196354,69 1
196354,69 1
196354,69 2
196354,69 60 
196360,92 111 
196628,44 114 
196670,96 60 
197605,05 61 
198619,4 62 
202566,4 64 
202836,58 123 
203394,85 125 
203914,84 65 
204495,78 144 
204497,82 144 
204960,29 101 
204961,64 100 
204961,64 53 
204985,37 1
204985,37 2
204985,37 1
204985,37 60 
204990,29 113 
205086,24 114 
205122,33 60 
208342,61 113 
208914,99 114 
208967,17 60 
209257,82 61 
210267,87 62 
210618,18 64 
210936,41 123 
211458,13 125 
211980,19 65 
212482,69 144 
212484,05 144 
212974,54 101 
212975,89 100 
212975,89 53 
212999,15 1
212999,15 2
212999,15 2
212999,15 60 
213005,21 113 
214011,81 114 
214049,19 60 
214436,07 61 
215447,42 62 
215842,19 64 
216067,86 123 
216560,02 124 
217594,28 123 
217709,5 124 
227722,03 252 
227722,03 101 
227723,65 100 
227723,65 53 
227744,24 1
227744,24 2
227744,24 2
227744,24 60 
239722,55 61 
240739,14 62 
240982,31 64 
241253,71 121 
241786,89 125 
242194,61 137 
242301,89 66 
242854,34 144 
242856,54 144 
242858,33 144 
243233,81 142 
243366,83 144 
243368,54 144 
243370,13 101 
243374,81 100 
243374,81 53 
243406,91 1
243406,91 2
243406,91 2
243406,91 60 
243449,74 112 
243599,3 114 
243639,31 60 
243798,58 61 
