TotalRequired,  300
t_hold_target,  450
T_Hold_Lev,  1000


62,08 8
62,08 51 
122,17 100 
122,17 51 
140,07 1
140,07 2
140,07 2
140,07 60 
6748,57 61 
7770,17 62 
8445,85 64 
14774,95 121 
15308,24 125 
15554,44 137 
15828,58 65 
16276,5 144 
16278,84 144 
16280,17 144 
16757,25 101 
16758,66 100 
16758,66 51 
16798,64 1
16798,64 2
16798,64 2
16798,64 60 
18604,32 111 
19869,7 114 
19915,71 60 
48524,96 111 
48730,96 114 
48771,17 60 
70527,49 111 
71029,62 114 
71063,98 60 
83071,72 111 
84210,32 114 
84243,48 60 
121499,56 61 
122514,1 62 
122530,59 64 
132521,72 252 
132521,72 101 
132523,57 100 
132523,57 51 
132545,43 1
132545,43 2
132545,43 2
132545,43 60 
132549,77 61 
132798,56 63 
132810,73 60 
155500,33 61 
156521,5 62 
158168,6 64 
166528,03 252 
166528,03 101 
166529,77 100 
166529,77 51 
166549,9 1
166549,9 2
166549,9 2
166549,9 60 
209033,33 111 
209140,55 114 
209185,36 60 
209374,87 111 
209559,5 114 
209601,89 60 
214188,87 61 
215201,56 62 
216857,43 64 
225208,26 252 
225208,26 101 
225210,13 100 
225210,13 51 
225229,93 1
225229,93 2
225229,93 2
225229,93 60 
226192,15 111 
226311,73 114 
226347,48 60 
226474,31 61 
227495,8 62 
228577,71 64 
228980,87 121 
229512,99 125 
229729,95 137 
230025,24 65 
230474,32 144 
230475,82 144 
230476,83 144 
230954,42 101 
230955,62 100 
230955,62 51 
230994,7 1
230994,7 2
230994,7 2
230994,7 60 
231454,89 61 
232478,31 62 
232540,72 64 
232923,72 121 
233481,8 125 
233700,85 137 
233990,37 65 
234439,43 144 
234440,95 144 
234442,57 144 
235395,47 101 
235397,3 100 
235397,3 51 
235443,06 2
235443,06 2
235443,06 2
235443,06 60 
235867,45 61 
236643,51 63 
236659,64 60 
237038,12 111 
237138,41 114 
237160,85 60 
237403,47 61 
238427,66 62 
238482,25 64 
238946,69 121 
239466,24 125 
239972,52 137 
240038,51 66 
240438,68 144 
240440,35 144 
240441,45 144 
240916,99 101 
240918,24 100 
240918,24 51 
240958,18 1
240958,18 2
240958,18 2
240958,18 60 
241008,93 61 
242024,4 62 
242077,25 64 
242491,48 121 
242998,56 125 
243470,93 137 
243521,63 65 
243944,68 144 
243946,25 144 
243947,36 144 
244432,1 101 
244433,21 100 
244433,21 51 
244473,44 1
244473,44 2
244473,44 1
244473,44 60 
244802,4 61 
245822,63 62 
245888,99 64 
246294,95 121 
246812,92 125 
247206,9 137 
247336,46 65 
247801,01 144 
247802,82 144 
247804,16 144 
248280,43 101 
248281,54 100 
248281,54 51 
248322,25 1
248322,25 1
248322,25 2
248322,25 60 
248718,57 61 
249738,8 62 
253853,71 64 
254229,7 121 
254729,84 125 
255215,86 137 
255282,41 65 
255698,56 144 
255701,61 144 
255703,16 144 
256178,67 101 
256179,83 100 
256179,83 51 
256219,79 1
256219,79 2
256219,79 2
256219,79 60 
256426,55 61 
257301,43 63 
257319,42 60 
257720,81 111 
259618,36 114 
259651,85 60 
286442,22 61 
287370,45 63 
287392,76 60 
310142,51 61 
311144,87 63 
311168,72 60 
311471,01 111 
311913,73 114 
311951,69 60 
312096,15 61 
313117,82 62 
315530,54 64 
315953,08 121 
316475,9 125 
316997,37 65 
317451,5 144 
317453,39 144 
317502,26 144 
317925,29 101 
317926,48 100 
317926,48 51 
317966,21 2
317966,21 2
317966,21 2
317966,21 60 
318140,19 61 
319149,22 62 
319490,49 64 
319853,18 121 
320373,78 125 
320894,98 66 
321315,38 144 
321316,94 144 
321444,94 144 
321806,72 101 
321807,87 100 
321807,87 51 
321849,42 1
321849,42 1
321849,42 1
321849,42 60 
321884,39 61 
322918,02 62 
323174,46 64 
323547,77 121 
324071,25 125 
324595,62 65 
324666,95 137 
325042 144 
325043,83 144 
325047,48 144 
325521,71 101 
325522,85 100 
325522,85 51 
325563,35 1
325563,35 1
325563,35 2
325563,35 60 
325793,57 61 
326813,42 62 
326900,51 64 
327281,17 121 
327802,57 125 
328312,96 137 
328374,57 65 
328758,59 144 
328760,21 144 
328761,62 144 
329237,02 101 
329238,17 100 
329238,17 51 
329278,93 1
329278,93 2
329278,93 2
329278,93 60 
329602,91 61 
330614,62 62 
330628,89 64 
330999,6 121 
331504,67 125 
332024,22 65 
332144,49 137 
332489,85 144 
332491,35 144 
332492,46 144 
332970,6 101 
332971,79 100 
332971,79 51 
332995,36 1
332995,36 2
332995,36 2
332995,36 60 
334016,44 61 
335029,58 62 
335067,2 64 
335472,91 121 
335985,18 125 
336507,43 65 
336724,87 137 
336955,11 144 
336957,19 144 
336958,5 144 
337435,69 101 
337436,92 100 
337436,92 51 
337459,62 1
337459,62 2
337459,62 2
337459,62 60 
339359,71 111 
339746,56 114 
339775,34 60 
340016,19 61 
340765,39 63 
340775,83 60 
368539,79 111 
368864,9 114 
368899,44 60 
369462,04 111 
369598,32 114 
369631,97 60 
396546,35 61 
397179,46 63 
397191,57 60 
427549,61 111 
427619,89 114 
427649,5 60 
428474,35 111 
428579,37 114 
428612,92 60 
439076,86 61 
440092,41 62 
440196,29 64 
450100,54 252 
450100,54 101 
450102,28 100 
450102,28 51 
450122,39 1
450122,39 2
450122,39 2
450122,39 60 
493422,47 61 
493915,17 63 
493941,53 60 
496386,72 61 
497408,49 62 
498051,54 64 
498460,18 121 
499018,37 125 
499152,52 137 
499535,59 65 
499984,78 144 
499986,62 144 
499987,83 144 
500464,91 101 
500466,05 100 
500466,05 51 
500507,05 2
500507,05 2
500507,05 2
500507,05 60 
502040,06 61 
502055,89 63 
502073,31 60 
502382,43 61 
503404,81 62 
503972,42 64 
504407,02 121 
504928,96 125 
505328,47 137 
505451,58 66 
505898,67 144 
505900,37 144 
505901,59 144 
507359,07 101 
507360,49 100 
507360,49 51 
507404,79 1
507404,79 2
507404,79 2
507404,79 60 
507796 111 
508165,06 114 
508203,2 60 
508410,21 61 
509421,34 62 
509840,23 64 
510207,14 123 
510722,92 125 
510978,41 137 
511233,79 66 
