TotalRequired,  200
t_hold_target,  450
T_Hold_Lev,  1000


331,53 8
331,53 52 
391,11 100 
391,11 52 
416,45 1
416,45 2
416,45 2
416,45 60 
1047 61 
2070,37 62 
2527,13 64 
12078,74 252 
12078,74 101 
12080,29 100 
12080,29 52 
12099,83 1
12099,83 2
12099,83 2
12099,83 60 
16403,17 111 
16488,76 114 
16515,02 60 
38821,75 61 
39840,1 62 
40370,35 64 
40749,73 121 
41282,15 125 
41745,17 137 
41804,96 66 
42352 144 
42353,45 144 
42354,58 144 
42832,25 101 
42833,58 100 
42833,58 52 
42874,04 1
42874,04 1
42874,04 2
42874,04 60 
50870,14 61 
51326,24 63 
51336,82 60 
71582,97 61 
71610,74 63 
71632,66 60 
71640,43 61 
72500,24 63 
72512,97 60 
72834,43 111 
74771,33 114 
74812,48 60 
98258,95 61 
99271,24 62 
102761,08 64 
109279,67 252 
109279,67 101 
109281,25 100 
109281,25 52 
109317,99 1
109317,99 1
109317,99 2
109317,99 60 
138985,94 61 
140008,37 62 
140243,96 64 
140489,44 121 
141017,11 125 
141332,62 137 
141538,46 66 
142084,74 144 
142086,01 144 
142087,17 144 
143928,55 101 
143930,76 100 
143930,76 52 
143973,09 1
143973,09 2
143973,09 1
143973,09 60 
144272,35 112 
144770,39 114 
144807,42 60 
145611,34 61 
146622,36 62 
146898,86 64 
147142,72 123 
147664,02 125 
147992,1 137 
148187,08 66 
148733,49 144 
148734,96 144 
148736,16 144 
154020,82 101 
154023,21 100 
154023,21 52 
154070,02 1
154070,02 2
154070,02 2
154070,02 60 
201443,13 61 
202141,08 63 
202154,04 60 
242728,42 61 
243739,63 62 
244718,55 64 
253748,12 252 
253748,12 101 
253749,67 100 
253749,67 52 
253770,5 1
253770,5 2
253770,5 2
253770,5 60 
314639,14 61 
315640,23 63 
315651,82 60 
315954,44 111 
316723,04 114 
316766,45 60 
317167,3 61 
318183,26 62 
318575,63 64 
319161,53 122 
319447,6 124 
329457,96 252 
329457,96 101 
329459,54 100 
329459,54 52 
329478,94 1
329478,94 2
329478,94 2
329478,94 60 
408042,76 61 
409052,61 62 
409335,09 64 
419061,5 252 
419061,5 101 
419063,08 100 
419063,08 52 
419082,68 1
419082,68 2
419082,68 2
419082,68 60 
433363,18 61 
434027,98 63 
434044,43 60 
454301,21 111 
454791,08 114 
454837,52 60 
499095,63 61 
500045,67 63 
500057,12 60 
500093,37 61 
500127,5 63 
500144,61 60 
500434,47 111 
500698,15 114 
500740,24 60 
500811,15 61 
501407,08 63 
501422,21 60 
583295,66 61 
584311,35 62 
584359,56 64 
585047,49 121 
585570,66 125 
585596,95 137 
586090,71 66 
586640,74 144 
586642,03 144 
586642,94 144 
587120,48 101 
587121,52 100 
587121,52 52 
587161,06 1
587161,06 2
587161,06 2
587161,06 60 
688918,38 61 
689702,04 63 
689711,44 60 
894693,88 61 
895710,31 62 
896222,14 64 
905717,03 252 
905717,03 101 
905718,75 100 
905718,75 52 
905739,79 1
905739,79 2
905739,79 2
905739,79 60 
950633,32 61 
950709,53 63 
950724,41 60 
951185,67 111 
951736,13 114 
951774,31 60 
1038385,94 61 
1039395,51 62 
1056553,4 64 
1056555,73 252 
1056555,73 101 
1056557,88 100 
1056557,88 52 
1056573,08 1
1056573,08 2
1056573,08 2
1056573,08 60 
1056924,95 111 
1057169,92 114 
1057206,8 60 
1242731,51 61 
1243645,36 63 
1243661,62 60 
1243960,87 111 
1244621,14 114 
1244661,21 60 
1409582,35 61 
1410606,79 62 
1411530,12 64 
1411860,01 121 
1412433,26 125 
1412491,92 137 
1412953,9 66 
1413485,1 144 
1413486,74 144 
1413487,91 144 
1413965,79 101 
1413966,9 100 
1413966,9 52 
1414007,11 1
1414007,11 2
1414007,11 2
1414007,11 60 
1534149,78 61 
1535165,52 62 
1535627,83 64 
1545174,38 252 
1545174,38 101 
1545175,94 100 
1545175,94 52 
1545195,98 1
1545195,98 2
1545195,98 2
1545195,98 60 
1722890,24 61 
1723905,11 62 
1724134,39 64 
1724416,82 121 
1724944,12 125 
1725008,15 137 
1725467,34 66 
1725998,56 144 
1726000,08 144 
1726001,28 144 
1727796,07 101 
1727798,2 100 
1727798,2 52 
1727837,06 2
1727837,06 2
1727837,06 1
1727837,06 60 
1728206,4 112 
1728940,06 114 
1728985,31 60 
1729216,14 61 
1730234,29 62 
1731192,18 64 
1740243,65 252 
1740243,65 101 
1740245,21 100 
1740245,21 52 
1740265,1 2
1740265,1 2
1740265,1 1
1740265,1 60 
1836432,42 112 
1836506,79 114 
1836534,53 60 
2046855,9 61 
2047880,75 62 
2048304,2 64 
2048555,89 122 
2049074,63 124 
2059089,59 252 
2059089,59 101 
2059091,17 100 
2059091,17 52 
2059110,33 2
2059110,33 2
2059110,33 1
2059110,33 60 
2170057,87 112 
2170130,65 114 
2170158,44 60 
2171243,74 61 
2171453,07 63 
2171473,21 60 
2171719,71 112 
2171814,14 114 
2171856,23 60 
2312415,76 111 
2313015,66 114 
2313060,17 60 
2313775,64 61 
2314792,16 62 
2316385,19 64 
2324802,36 252 
2324802,36 101 
2324803,94 100 
2324803,94 52 
2324822,78 2
2324822,78 2
2324822,78 1
2324822,78 60 
2544978,68 61 
2546001,6 62 
2546111,95 64 
2546416,28 121 
2546938,34 125 
2547033,84 137 
2547447,85 65 
2547994,68 144 
2547996,15 144 
2547997,39 144 
2548474,67 101 
2548475,88 100 
2548475,88 52 
2548516,02 1
2548516,02 2
2548516,02 2
2548516,02 60 
2548990,63 61 
2549998,28 62 
2550345,3 64 
2550590,76 121 
2551121,42 125 
2551230,38 137 
2551628,47 66 
2552192,8 144 
2552194,21 144 
2552195,21 144 
2553765,67 101 
2553766,7 100 
2553766,7 52 
2553815,3 1
2553815,3 2
2553815,3 2
2553815,3 60 
2554034,72 112 
2554684,26 114 
2554730,7 60 
2555424,65 61 
2556445,82 62 
2556969,14 64 
2557223,2 122 
2557787,29 125 
2557875,87 137 
2558311,5 65 
2558857,88 144 
2558859,32 144 
2558860,44 144 
2559339,86 101 
2559340,9 100 
2559340,9 52 
