TotalRequired,  150
t_hold_target,  450
T_Hold_Lev,  1000


64,8 8
64,8 51 
118,08 100 
118,08 51 
145,82 1
145,82 1
145,82 2
145,82 60 
11195,58 111 
13630,18 114 
13666,13 60 
21065,96 61 
22080,96 62 
23686,09 64 
32088,05 252 
32088,05 101 
32089,96 100 
32089,96 51 
32111,36 1
32111,36 1
32111,36 2
32111,36 60 
36083,6 111 
36182 114 
36209,93 60 
37528,33 111 
38042,82 114 
38076,09 60 
56376,36 111 
59023,75 114 
59067,96 60 
111741,21 61 
112574,35 63 
112583,69 60 
112598,51 61 
112643,25 63 
112653,18 60 
129407,63 61 
130427,29 62 
138816,37 64 
140436,85 252 
140436,85 101 
140438,53 100 
140438,53 51 
140457,63 1
140457,63 1
140457,63 2
140457,63 60 
147132,1 111 
148244,69 114 
148288,5 60 
191309,28 61 
192323,56 62 
194598,78 64 
202332,69 252 
202332,69 101 
202334,4 100 
202334,4 51 
202354,29 1
202354,29 1
202354,29 2
202354,29 60 
218255,69 111 
219678,93 114 
219714,96 60 
220171,36 61 
221182,74 62 
223226,41 64 
231189,68 252 
231189,68 101 
231191,47 100 
231191,47 51 
231211,46 1
231211,46 1
231211,46 2
231211,46 60 
244032,7 61 
244055,47 63 
244073,59 60 
248053,29 61 
248153,78 63 
248172,31 60 
249023,04 111 
249672,52 114 
249707,72 60 
266823,69 61 
267370,21 63 
267382,55 60 
267871,32 61 
268882,48 62 
288768,86 64 
288772,04 252 
288772,04 101 
288774,66 100 
288774,66 51 
288792,65 1
288792,65 1
288792,65 2
288792,65 60 
313099,16 61 
313115,99 63 
313134,49 60 
319145,81 61 
319517,29 63 
319532,17 60 
345125,17 111 
346195,14 114 
346239,81 60 
346560,94 61 
347573,07 62 
348420,94 64 
348752,77 121 
349319,94 125 
349835,05 65 
350080,68 137 
350399,74 144 
350401,37 144 
350402,69 144 
350881,18 101 
350882,65 100 
350882,65 51 
350921,61 1
350921,61 2
350921,61 1
350921,61 60 
351174,42 61 
352190,16 62 
352275,87 64 
352623,11 121 
353171,18 125 
353683,53 65 
353706,91 137 
354231,97 144 
354233,74 144 
354234,76 144 
354714,35 101 
354715,47 100 
354715,47 51 
354770,31 2
354770,31 2
354770,31 2
354770,31 60 
355146 61 
356155,1 62 
356248,93 64 
356654,27 121 
357175,6 125 
357683,2 66 
357836,56 137 
358214,26 144 
358216,51 144 
358218,07 144 
358695,1 101 
358696,28 100 
358696,28 51 
358736 1
358736 2
358736 2
358736 60 
359774,16 61 
359788,36 63 
359802,04 60 
360085,46 111 
360900,4 114 
360936,38 60 
361178,04 61 
362201,79 62 
362551,95 64 
362922,94 121 
363441,44 125 
363966,43 65 
364006,77 137 
364488,24 144 
364489,65 144 
364490,74 144 
364976,75 101 
364977,88 100 
364977,88 51 
365017,25 1
365017,25 1
365017,25 2
365017,25 60 
365694,22 111 
365855,99 114 
365899,89 60 
366131,79 61 
367054,55 63 
367067,05 60 
367424,91 111 
369780,05 114 
369815,42 60 
370076,51 61 
371098,6 62 
371644,04 64 
371967,35 121 
372487,51 125 
372996,26 65 
373137,22 137 
373542,59 144 
373544,45 144 
373545,38 144 
374023,84 101 
374025,44 100 
374025,44 51 
374064,17 1
374064,17 2
374064,17 2
374064,17 60 
374329,37 61 
375348,56 62 
375844,55 64 
376163,44 121 
376713,97 125 
377199,63 137 
377257,45 65 
377773,74 144 
377775,42 144 
377776,48 144 
378254,98 101 
378256,16 100 
378256,16 51 
378297,11 2
378297,11 2
378297,11 2
378297,11 60 
378520,51 61 
379531,32 62 
379741,25 64 
380056,51 121 
380610,78 125 
381124,84 66 
381679,66 144 
381682,07 144 
381902,58 144 
382154,76 101 
382155,92 100 
382155,92 51 
382194,88 1
382194,88 2
382194,88 2
382194,88 60 
385893,44 61 
386868,87 63 
386877,33 60 
387239,46 111 
387459,66 114 
387493,2 60 
387825,98 111 
389206,22 114 
389243,6 60 
389684,31 61 
390695,66 62 
394650,71 64 
394973,06 121 
395503,38 125 
396019,61 65 
396526,58 144 
396528,67 144 
396712,76 144 
397015,75 101 
397016,92 100 
397016,92 51 
397056,53 1
397056,53 2
397056,53 2
397056,53 60 
397208,67 61 
398222,96 62 
398251,39 64 
398652,72 121 
399206,28 125 
399719,92 65 
400222,85 144 
400224,64 144 
400554,84 144 
400715,18 101 
400716,32 100 
400716,32 51 
400755,29 1
400755,29 2
400755,29 1
400755,29 60 
401031,2 61 
402038,87 62 
402281,72 64 
402599,31 121 
403126,88 125 
403637,03 65 
403830,02 137 
404183,26 144 
404184,67 144 
404187,48 144 
404663,03 101 
404664,27 100 
404664,27 51 
404704,11 1
404704,11 2
404704,11 2
404704,11 60 
405042,12 61 
405948,36 63 
405970,23 60 
406335,74 111 
408606,46 114 
408652,74 60 
409439,97 111 
411375,1 114 
411418,44 60 
411681,06 61 
412229,66 63 
412251,56 60 
414329,73 61 
415350,47 62 
416474,86 64 
416780,69 121 
417330,72 125 
417847,79 65 
417923,41 137 
418393,66 144 
418395,12 144 
418396,21 144 
418876,15 101 
418877,51 100 
418877,51 51 
418917,42 1
418917,42 1
418917,42 2
418917,42 60 
420850,06 111 
422404,45 114 
422449,09 60 
425381,28 111 
426461,58 114 
426496,6 60 
426746,04 111 
427052,67 114 
427081,12 60 
452321,86 61 
453338,22 62 
454111,79 64 
454364,45 121 
454893,6 125 
455401,86 65 
455955,39 144 
455957,29 144 
456428,85 101 
456430,09 100 
456430,09 51 
456453,79 2
456453,79 2
456453,79 2
456453,79 60 
456459,06 111 
457351,73 114 
457386,62 60 
457676,17 111 
457808,32 114 
457853,18 60 
458124,18 111 
459218,77 114 
459269,05 60 
461239,83 61 
461254,27 63 
461268,6 60 
461537,49 111 
463027,17 114 
463068,15 60 
465685 61 
465718,21 63 
465734,58 60 
466068,41 111 
467454,5 114 
467500,15 60 
471944,61 61 
472964,71 62 
473506,42 64 
481177,19 121 
481699,68 125 
482209,49 66 
482296,93 137 
482756,09 144 
482757,43 144 
482758,51 144 
483236,27 101 
483237,41 100 
483237,41 51 
483277,98 1
483277,98 1
