TotalRequired,  200
t_hold_target,  450
T_Hold_Lev,  1000


87,24 8
87,24 53 
149,05 100 
149,05 53 
172,03 1
172,03 2
172,03 2
172,03 60 
1517,5 61 
2536,16 62 
3236,89 64 
12543,27 252 
12543,27 101 
12545,18 100 
12545,18 53 
12565,44 1
12565,44 2
12565,44 2
12565,44 60 
22815,5 111 
23573,7 114 
23595,39 60 
29710,51 111 
30067,27 114 
30092,88 60 
39097,7 111 
39636,93 114 
39673,35 60 
47707,4 61 
48282,94 63 
48303,49 60 
50678,04 61 
51704,45 62 
56149,95 64 
61712,62 252 
61712,62 101 
61714,45 100 
61714,45 53 
61732,83 1
61732,83 2
61732,83 2
61732,83 60 
61737,04 61 
62748,65 62 
62964,7 64 
72757,7 252 
72757,7 101 
72759,45 100 
72759,45 53 
72779,1 1
72779,1 2
72779,1 2
72779,1 60 
72784,52 61 
73812,89 62 
75034,13 64 
83820,51 252 
83820,51 101 
83822,69 100 
83822,69 53 
83841,96 1
83841,96 2
83841,96 2
83841,96 60 
87085,26 111 
87715,29 114 
87757,18 60 
96786,91 61 
97803,01 62 
99617,49 64 
100186,75 122 
100710,13 125 
100738,95 137 
101234,13 66 
101483,02 144 
101484,75 144 
101486,16 144 
101961,15 101 
101962,74 100 
101962,74 53 
102002,94 1
102002,94 2
102002,94 1
102002,94 60 
104227,46 61 
105193,39 63 
105203,19 60 
120548,5 111 
121142 114 
121179,41 60 
123213 61 
124229,33 62 
126345,34 64 
128956,28 121 
129127,47 124 
138551,88 121 
138892,82 124 
148897,96 252 
148897,96 101 
148900,16 100 
148900,16 53 
148920,44 1
148920,44 2
148920,44 1
148920,44 60 
163471,2 61 
163834,9 63 
163848,85 60 
179563,3 111 
179634,75 114 
179663,4 60 
180167,9 111 
180326,8 114 
180360,47 60 
194483,31 111 
194710,62 114 
194755,45 60 
222972,42 111 
223251,99 114 
223279,2 60 
225537,81 111 
226023,79 114 
226062,75 60 
250451,3 61 
251471,04 62 
256712,95 64 
261478,31 252 
261478,31 101 
261480,04 100 
261480,04 53 
261501,78 1
261501,78 2
261501,78 1
261501,78 60 
266655,35 111 
266780,47 114 
266815,88 60 
267278,86 111 
268145,65 114 
268181,25 60 
279831,46 61 
280843,59 62 
287357,76 64 
290853,43 252 
290853,43 101 
290855,2 100 
290855,2 53 
290875,28 1
290875,28 2
290875,28 1
290875,28 60 
299968,94 61 
300932,48 63 
300954,25 60 
301729,45 61 
301823,86 63 
301837,61 60 
318557,12 61 
319564,26 62 
320338,16 64 
320650,6 121 
321171,49 125 
321228,99 137 
321693,37 66 
321941,82 144 
321943,25 144 
321945,09 144 
322421,35 101 
322422,8 100 
322422,8 53 
322463,49 1
322463,49 2
322463,49 2
322463,49 60 
323768,61 113 
323849,21 114 
323896 60 
324023,5 61 
325045,21 62 
325572,89 64 
325829,75 123 
326264,46 124 
330050,33 122 
330573,07 125 
330724,11 137 
331089,75 66 
331339,2 144 
331340,7 144 
331341,9 144 
331819,19 101 
331821,16 100 
331821,16 53 
331860,32 1
331860,32 2
331860,32 2
331860,32 60 
332081,89 111 
332711,78 114 
332743,97 60 
332950,03 61 
333961,9 62 
334496,5 64 
334795,06 121 
335305,82 125 
335476,63 137 
335823,28 66 
336057,54 144 
336061,52 144 
336063,42 144 
336535,25 101 
336536,61 100 
336536,61 53 
336575,65 1
336575,65 1
336575,65 2
336575,65 60 
347030,76 113 
347104,24 114 
347155,31 60 
347650 113 
347778,4 114 
347804,84 60 
347902,46 61 
348920,55 62 
352567,81 64 
358929,62 252 
358929,62 101 
358931,39 100 
358931,39 53 
358952,07 1
358952,07 1
358952,07 2
358952,07 60 
362097,77 61 
363115,78 62 
369078,88 64 
373125,04 252 
373125,04 101 
373126,74 100 
373126,74 53 
373146,6 1
373146,6 1
373146,6 2
373146,6 60 
380831,91 61 
381844,04 62 
387765,28 64 
391852,06 252 
391852,06 101 
391853,87 100 
391853,87 53 
391873,73 1
391873,73 1
391873,73 2
391873,73 60 
410661,02 61 
411684,52 62 
412017,92 64 
412158,29 122 
412231,02 124 
422242,59 252 
422242,59 101 
422245,94 100 
422245,94 53 
422263,73 1
422263,73 1
422263,73 2
422263,73 60 
430200,93 61 
431209,53 62 
433014,76 64 
441219,77 252 
441219,77 101 
441222,39 100 
441222,39 53 
441241,21 1
441241,21 1
441241,21 2
441241,21 60 
444464,91 61 
445475,55 62 
446036,97 64 
446423,37 123 
446949,66 125 
447469,27 65 
447724,77 144 
447726,73 144 
448196,81 101 
448198,19 100 
448198,19 53 
448223,17 1
448223,17 2
448223,17 2
448223,17 60 
448228,19 113 
448342,34 114 
448388,56 60 
449269,03 61 
450289,68 62 
450792,77 64 
451208,69 123 
451727,45 125 
452250,56 65 
452454,5 144 
452456,74 144 
452688 144 
452946,28 101 
452947,47 100 
452947,47 53 
452986,98 2
452986,98 2
452986,98 2
452986,98 60 
459205,14 61 
460218,97 62 
463278,62 64 
470225,32 252 
470225,32 101 
470226,98 100 
470226,98 53 
470248,52 2
470248,52 2
470248,52 2
470248,52 60 
470253,07 61 
470373,07 63 
470382,86 60 
480676,18 61 
481694,77 62 
481951,98 64 
482223,03 121 
482749,72 125 
482902,55 137 
483257,73 66 
483505,61 144 
483507,5 144 
483508,78 144 
483986,18 101 
483987,4 100 
483987,4 53 
484026,69 1
484026,69 2
484026,69 1
484026,69 60 
484220,44 61 
485242,87 62 
487108,13 64 
495252,25 252 
495252,25 101 
495254,07 100 
495254,07 53 
495272,92 1
495272,92 2
495272,92 1
495272,92 60 
508145,49 111 
508642,51 114 
508685,17 60 
524033,96 111 
524206,63 114 
524246,78 60 
524717,63 111 
524862,22 114 
524897,16 60 
525006,23 61 
526015,34 62 
532488,57 64 
536021,71 252 
536021,71 101 
536024,03 100 
536024,03 53 
536043,07 1
536043,07 2
536043,07 1
536043,07 60 
551929,25 61 
552937,42 62 
555018,26 64 
562945,53 252 
562945,53 101 
562947,39 100 
562947,39 53 
562967,44 1
562967,44 2
562967,44 1
562967,44 60 
595147,9 61 
596157,34 62 
597054,61 64 
