TotalRequired,  200
t_hold_target,  450
T_Hold_Lev,  1000


1122788,22 101 
1122789,33 100 
1122789,33 53 
1122829,3 1
1122829,3 2
1122829,3 2
1122829,3 60 
1122866,01 61 
1123799,76 63 
1123812,28 60 
1124060,26 113 
1124527,27 114 
1124561,7 60 
1124837,57 61 
1125844,43 62 
1125963,61 64 
1126208,11 123 
1126733,6 125 
1127243,1 65 
1127761,25 144 
1127762,44 144 
1128023,17 144 
1128252,66 101 
1128253,74 100 
1128253,74 53 
1128293,87 1
1128293,87 2
1128293,87 2
1128293,87 60 
1128322,45 61 
1129343,86 62 
1129565,98 64 
1129832,71 123 
1130365,23 125 
1130874,48 65 
1131393,05 144 
1131394,2 144 
1131884,17 101 
1131885,26 100 
1131885,26 53 
1131909,45 1
1131909,45 2
1131909,45 2
1131909,45 60 
1131914,72 113 
1133754,58 114 
1133791,98 60 
1134031,78 61 
1135041,57 62 
1138050,28 64 
1138384,75 123 
1138911,18 125 
1139421,62 65 
1139923,28 144 
1139924,51 144 
1140299,56 144 
1140415,24 101 
1140416,31 100 
1140416,31 53 
1140457,92 1
1140457,92 1
1140457,92 2
1140457,92 60 
1143040,09 61 
1144055,23 62 
1147597,69 64 
1147927,69 123 
1148458,99 125 
1148966,97 65 
1149274,36 137 
1149515,9 144 
1149517,53 144 
1149518,56 144 
1149754,11 143 
1149838,53 144 
1149840,2 144 
1149843,42 144 
1149996,94 101 
1149998,1 100 
1149998,1 53 
1150036,84 1
1150036,84 2
1150036,84 2
1150036,84 60 
1150197,99 61 
1151220,36 62 
1151382,79 64 
1151656,93 123 
1152188,68 125 
1152700,56 65 
1153202,65 144 
1153203,92 144 
1153694,35 101 
1153695,61 100 
1153695,61 53 
1153719,23 2
1153719,23 1
1153719,23 2
1153719,23 60 
1153724,22 113 
1154324,83 114 
1154369,79 60 
1154577,5 61 
1155487,15 63 
1155502,21 60 
1155714,29 113 
1156194,12 114 
1156234,67 60 
1156487,17 61 
1157500,85 62 
1157665,36 64 
1157905,75 123 
1158421,82 125 
1158931,28 66 
1159450,48 144 
1159451,75 144 
1159715,42 144 
1159943,25 101 
1159944,31 100 
1159944,31 53 
1159983,61 1
1159983,61 2
1159983,61 2
1159983,61 60 
1160014,49 61 
1161033,88 62 
1161598,72 64 
1161853,27 123 
