TotalRequired,  280
t_hold_target,  450
T_Hold_Lev,  1000


147,61 8
147,61 51 
203,6 100 
203,6 51 
238,44 1
238,44 2
238,44 1
238,44 60 
1134,62 61 
2153,34 62 
2938,33 64 
12161,4 252 
12161,4 101 
12163,05 100 
12163,05 51 
12182,4 1
12182,4 2
12182,4 1
12182,4 60 
24062,52 61 
24756,23 63 
24777,88 60 
46739,47 61 
47172,21 63 
47187,32 60 
74697,05 111 
75470,3 114 
75511,65 60 
89530,95 111 
90080,59 114 
90107,76 60 
106802,75 111 
107333,71 114 
107367,96 60 
144406,41 61 
145421,3 62 
145908,03 64 
155430,65 252 
155430,65 101 
155432,37 100 
155432,37 51 
155451,98 1
155451,98 2
155451,98 1
155451,98 60 
186820,8 61 
187573,28 63 
187591,35 60 
216119,22 111 
216350,93 114 
216398,22 60 
216613,26 111 
216794,37 114 
216831,37 60 
290570,75 61 
291590,42 62 
292688,43 64 
301598,96 252 
301598,96 101 
301600,86 100 
301600,86 51 
301621,18 1
301621,18 2
301621,18 1
301621,18 60 
306589,24 61 
307602,52 62 
308294,01 64 
310036,13 121 
310556,01 125 
311081,04 65 
311132,68 137 
311429,13 144 
311431 144 
311432,76 144 
311908,98 101 
311910,48 100 
311910,48 51 
311950,39 2
311950,39 2
311950,39 2
311950,39 60 
312273,69 61 
313284,15 62 
313368,36 64 
313774,16 121 
314305,14 125 
314813,58 66 
315165,02 144 
315168,41 144 
315455,25 144 
315641,29 101 
315642,44 100 
315642,44 51 
315682,43 1
315682,43 2
315682,43 2
315682,43 60 
315821,16 61 
316833,11 62 
317253,92 64 
317566,33 121 
318113,11 125 
318628,38 65 
318660,18 137 
318975,63 144 
318978,03 144 
318979,93 144 
319116,48 141 
319232,36 144 
319234,01 144 
319234,98 144 
319455,89 101 
319457,06 100 
319457,06 51 
319497,6 1
319497,6 2
319497,6 2
319497,6 60 
319751,25 61 
320754,36 63 
320763,61 60 
321102,05 111 
322056,65 114 
322096,47 60 
322349,31 61 
323363,46 62 
323612,13 64 
323926,97 121 
324474,02 125 
324993,84 65 
325296,21 144 
325297,81 144 
325778,97 144 
325798,22 101 
325799,56 100 
325799,56 51 
325845,58 1
325845,58 1
325845,58 2
325845,58 60 
326277,06 61 
327296,88 62 
327478,51 64 
327768,86 121 
328283,18 125 
328754,98 137 
328790,48 65 
328912,47 131 
329144,91 144 
329146,88 144 
329440,43 144 
329619,37 101 
329620,61 100 
329620,61 51 
329660,65 2
329660,65 2
329660,65 2
329660,65 60 
329925,24 61 
330944,05 62 
331096,99 64 
331420,07 121 
331949,04 125 
332206,8 137 
332457,69 66 
332806,61 144 
332808,31 144 
332809,35 144 
333285,32 101 
333286,49 100 
333286,49 51 
333327,63 1
333327,63 1
333327,63 2
333327,63 60 
335438,63 61 
336425,83 63 
336442,44 60 
336765,88 111 
338180,5 114 
338224,55 60 
338650,67 61 
339659,67 62 
339832,23 64 
340180,35 121 
340736,77 125 
340980,98 137 
341253,58 65 
341586,29 144 
341588,07 144 
341589,11 144 
342064,77 101 
342067,04 100 
342067,04 51 
342106,76 1
342106,76 2
342106,76 2
342106,76 60 
342650,68 61 
343527,11 63 
343539,61 60 
343836,77 111 
344366,49 114 
344407,26 60 
346759,43 111 
346905,38 114 
346938,94 60 
347292,81 111 
347477,17 114 
347521,84 60 
347781,14 61 
348804,61 62 
349150,82 64 
349466,2 121 
350004,97 125 
350516,55 65 
350608,46 137 
350866,2 144 
350867,92 144 
350869,28 144 
351344,97 101 
351346,95 100 
351346,95 51 
351387,88 1
351387,88 2
351387,88 1
351387,88 60 
353401,55 61 
354420,31 62 
354598,27 64 
354921,44 121 
355467,23 125 
355760,49 137 
355981,67 65 
356330,7 144 
356332,18 144 
356333,35 144 
356811,39 101 
356812,51 100 
356812,51 51 
356852,41 2
356852,41 2
356852,41 2
356852,41 60 
357141,47 61 
358154,66 62 
358452,52 64 
358803,33 121 
359352,63 125 
359864,54 66 
359926,74 137 
360212 144 
360213,28 144 
360214,16 144 
360693,31 101 
360694,48 100 
360694,48 51 
360734,06 1
360734,06 2
360734,06 2
360734,06 60 
367646,29 111 
370156,69 114 
370198,28 60 
370353,23 61 
371365,11 62 
372153,56 64 
372491,88 121 
373022,04 125 
373544,17 65 
373880,19 144 
373882,54 144 
374294,24 144 
374355,51 101 
374356,66 100 
374356,66 51 
374396,25 1
374396,25 1
374396,25 1
374396,25 60 
374788,52 61 
375802,34 63 
375813,1 60 
376188,45 111 
376639,93 114 
376678,58 60 
376909,63 61 
377928,32 62 
379461,73 64 
379820,62 121 
380389,72 125 
380908,42 65 
381211,44 144 
381213,19 144 
381701,26 101 
381703,15 100 
381703,15 51 
381727,15 1
381727,15 2
381727,15 2
381727,15 60 
381733,31 111 
382007,87 114 
382043,75 60 
382651,71 61 
383661,27 62 
383746,26 64 
384031,06 121 
384591,47 125 
384920,51 137 
385107,75 65 
385454,37 144 
385455,89 144 
385457,29 144 
385933,61 101 
385934,76 100 
385934,76 51 
385975,72 1
385975,72 1
385975,72 1
385975,72 60 
386087,72 61 
386127,42 63 
386143,01 60 
386502,16 61 
387390,59 63 
387409,13 60 
388027,34 61 
389042,64 62 
389358,02 64 
389676,39 121 
390196,84 125 
390704,17 65 
391058,45 144 
391060,51 144 
391319,07 144 
391532,42 101 
391533,61 100 
391533,61 51 
391573,92 2
391573,92 2
391573,92 2
391573,92 60 
392259,82 61 
393273,51 62 
393396,79 64 
393682,97 121 
394211,02 125 
394719,76 66 
394988,28 137 
395083,51 144 
395085,2 144 
395086,79 144 
395565,94 101 
395567,07 100 
395567,07 51 
395605,73 1
395605,73 2
395605,73 2
395605,73 60 
402712,19 61 
403163,36 63 
403170,12 60 
403567,35 111 
404488,38 114 
404520,79 60 
410462,09 111 
411365,03 114 
411400,6 60 
412418,95 61 
413433,43 62 
417127,93 64 
423441,75 252 
423441,75 101 
423443,5 100 
423443,5 51 
423465,02 1
423465,02 2
423465,02 2
423465,02 60 
430327,04 111 
430907,34 114 
430944 60 
432142,17 61 
433160,89 62 
433687,94 64 
