TotalRequired,  300
t_hold_target,  450
T_Hold_Lev,  1000


149,29 8
149,29 52 
213,13 100 
213,13 52 
238,33 2
238,33 2
238,33 2
238,33 60 
8101,38 61 
9117,49 62 
9288,91 64 
9646,85 121 
10205,48 125 
10652,62 137 
10715,4 66 
11163,93 144 
11167,1 144 
11168,42 144 
13126,5 101 
13127,98 100 
13127,98 52 
13167,85 1
13167,85 2
13167,85 2
13167,85 60 
13503,93 112 
14014,39 114 
14050,05 60 
14317,47 61 
14884,38 63 
14900,23 60 
15332 61 
16348,34 62 
16686,64 64 
18491,32 123 
19017,75 125 
19227,17 137 
19529,04 66 
19963,11 144 
19964,93 144 
19965,92 144 
20806,04 101 
20807,49 100 
20807,49 52 
20847,26 1
20847,26 2
20847,26 2
20847,26 60 
26139,27 61 
27162,38 62 
27984,8 64 
28344,55 121 
28867,28 125 
28957,19 137 
29374,25 66 
29823,49 144 
29824,8 144 
29825,67 144 
30303,83 101 
30305,01 100 
30305,01 52 
30344,07 1
30344,07 1
30344,07 1
30344,07 60 
41775,8 61 
42233,87 63 
42256,68 60 
49348,47 111 
49614,79 114 
49654,28 60 
70206,72 61 
71215,79 62 
71865,41 64 
81223,03 252 
81223,03 101 
81224,85 100 
81224,85 52 
81244,12 1
81244,12 1
81244,12 1
81244,12 60 
85440,22 61 
86458,47 62 
87032,76 64 
87324,73 123 
87847,68 125 
88211,19 137 
88355,82 65 
88803,35 144 
88805,16 144 
88806,36 144 
89284,04 101 
89285,23 100 
89285,23 52 
89325,78 2
89325,78 2
89325,78 2
89325,78 60 
89559,38 61 
90573,37 62 
91088,32 64 
91349,2 123 
91865,53 125 
92361,83 137 
92407,53 66 
92836,12 144 
92837,71 144 
92838,97 144 
93315,91 101 
93317,09 100 
93317,09 52 
93356,71 1
93356,71 2
93356,71 2
93356,71 60 
93389,51 61 
94406,59 62 
97278,96 64 
97676,49 121 
98194,97 125 
98703,33 66 
99154,65 144 
99158,23 144 
99412,59 144 
99630,62 101 
99631,83 100 
99631,83 52 
99672,29 1
99672,29 2
99672,29 1
99672,29 60 
122066,53 111 
122169,25 114 
122213,86 60 
122545,45 111 
122987,08 114 
123030,24 60 
123813,38 61 
124388,89 63 
124397,3 60 
143401,92 61 
143460,91 63 
143473,45 60 
145051,38 61 
145162,46 63 
145173,1 60 
145323,57 61 
145403,78 63 
145422,79 60 
157597,14 61 
158270,97 63 
158286,33 60 
173354,36 61 
174291,38 63 
174313,42 60 
174594,1 111 
175206,35 114 
175229,79 60 
175535,9 61 
176547,2 62 
177208,66 64 
177636,33 121 
178141,68 125 
178658,61 66 
178852,6 137 
179106,52 144 
179108,01 144 
179108,97 144 
180482,93 101 
180484,36 100 
180484,36 52 
180527,81 1
180527,81 1
180527,81 2
180527,81 60 
191825,38 61 
192841,4 62 
193078,27 64 
202849,56 252 
202849,56 101 
202851,31 100 
202851,31 52 
202870,54 1
202870,54 1
202870,54 2
202870,54 60 
207915,67 61 
208934,85 62 
209481,74 64 
209880,38 121 
210234,59 124 
214203,82 123 
214729,2 125 
215036,61 137 
215246,18 66 
215694,35 144 
215696,11 144 
215697,08 144 
215865,45 143 
215953,72 144 
215956,6 144 
215958,07 144 
217726,49 101 
217727,87 100 
217727,87 52 
217765,78 1
217765,78 2
217765,78 2
217765,78 60 
218066,94 111 
218806,12 114 
218848,53 60 
219019,83 61 
220032,12 62 
221167,58 64 
228096,85 123 
228602,08 125 
229108,72 66 
229512,97 144 
229514,24 144 
229520,64 144 
231342,57 101 
231343,95 100 
231343,95 52 
231377,9 1
231377,9 2
231377,9 2
231377,9 60 
231721,7 111 
232048,83 114 
232077,41 60 
246915,03 61 
247939,27 62 
249068,66 64 
249381,56 122 
249895,79 125 
250206,18 137 
250418,63 65 
250868,03 144 
250869,58 144 
250870,88 144 
250969,32 142 
251058,34 144 
251059,91 144 
251061,39 144 
251345,98 101 
251347,1 100 
251347,1 52 
251388,1 1
251388,1 2
251388,1 2
251388,1 60 
251420,24 61 
252440,51 62 
252538 64 
252877,28 122 
253395,13 125 
253561,79 137 
253916,92 65 
254366,51 144 
254368,2 144 
254369,44 144 
254846,61 101 
254847,72 100 
254847,72 52 
254886,74 1
254886,74 2
254886,74 2
254886,74 60 
256819,56 112 
256919,88 114 
256937,34 60 
259329,15 61 
260353,71 62 
260409,85 64 
260733,17 122 
261258,62 125 
261617,81 137 
261782,4 65 
262229,23 144 
262230,8 144 
262231,84 144 
262709,2 101 
262710,43 100 
262710,43 52 
262751,89 1
262751,89 2
262751,89 2
262751,89 60 
262841,61 61 
263852,5 62 
263900,65 64 
264286,71 122 
264852,55 125 
264996,9 137 
265364,65 65 
265812,89 144 
265814,47 144 
265815,62 144 
266291,58 101 
266292,79 100 
266292,79 52 
266333,14 1
266333,14 2
266333,14 2
266333,14 60 
266444,1 61 
267466,47 62 
268496,3 64 
268849,86 122 
269406,36 125 
269661,61 137 
269929,86 65 
270359,64 144 
270361,28 144 
270363,84 144 
270840,65 101 
270841,85 100 
270841,85 52 
270898,2 1
270898,2 1
270898,2 2
270898,2 60 
270927,97 61 
271795,94 63 
271814,46 60 
272369,39 61 
273306,75 63 
273316,33 60 
273665,86 112 
273811,12 114 
273847,24 60 
274061,55 61 
275079,43 62 
276087,95 64 
276401,18 122 
276920,41 125 
277330,3 137 
277442,13 65 
277890,66 144 
277891,99 144 
277893,14 144 
278372,07 101 
278373,39 100 
278373,39 52 
278412,51 1
278412,51 1
278412,51 2
278412,51 60 
278443,09 61 
279462,41 62 
279865,08 64 
280191,23 122 
280755,69 125 
281099,59 137 
281276,33 65 
281548,84 133 
281633,11 137 
281748,55 144 
281750,07 144 
281752,7 144 
283311,83 101 
283313,7 100 
283313,7 52 
283360,78 2
283360,78 2
283360,78 1
283360,78 60 
283650,97 112 
283783,71 114 
283827,5 60 
284170,95 61 
284802,78 63 
284812,47 60 
285672,94 61 
286161,1 63 
286176,31 60 
288771,95 61 
289478,2 63 
289492,19 60 
289802,2 112 
289965,96 114 
290008,31 60 
290209,83 61 
291224,18 62 
