TotalRequired,  260
t_hold_target,  450
T_Hold_Lev,  1000


117,4 8
117,4 51 
185,26 100 
185,26 51 
208,65 2
208,65 2
208,65 2
208,65 60 
328591,68 111 
328706,42 114 
328745,95 60 
329059,69 111 
329122,62 114 
329146 60 
1015110,76 111 
1015211,03 114 
1015253,88 60 
1627623,16 111 
1627766,78 114 
1627817,55 60 
1708370,29 61 
1709390,49 62 
1709820,92 64 
1710159,67 121 
1710689,41 125 
1711203,24 66 
1711559,74 144 
1711561,5 144 
1712044,44 144 
1712058,46 101 
1712059,96 100 
1712059,96 51 
1712105,96 2
1712105,96 2
1712105,96 2
1712105,96 60 
1712946,52 61 
1713957,26 62 
1714464,38 64 
1714805,41 121 
1715328,58 125 
1715851,09 66 
1716155,43 144 
1716157,09 144 
1716647,13 101 
1716648,35 100 
1716648,35 51 
1716671,7 1
1716671,7 2
1716671,7 2
1716671,7 60 
1716676,69 111 
1717198,03 114 
1717221,31 60 
1731166,85 61 
1732183,92 62 
1732591,05 64 
1732987,97 121 
1733505,83 125 
1734014,67 65 
1734332,64 144 
1734334,63 144 
1734392,77 144 
1734824,98 101 
1734826,17 100 
1734826,17 51 
1734865,46 1
1734865,46 1
1734865,46 1
1734865,46 60 
1750817,88 61 
1751827,79 62 
1752342,42 64 
1752730,73 121 
1753250,08 125 
1753773,73 65 
1754077,54 144 
1754079,26 144 
1754108,96 144 
1754568,8 101 
1754569,98 100 
1754569,98 51 
1754609,03 1
1754609,03 2
1754609,03 2
1754609,03 60 
1874448,04 61 
1875469,31 62 
1876201,46 64 
1876532,6 121 
1877057,36 125 
1877070,96 137 
1877565,39 65 
1877913,02 144 
1877914,6 144 
1877915,69 144 
1878394,5 101 
1878395,72 100 
1878395,72 51 
1878435,19 1
1878435,19 2
1878435,19 2
1878435,19 60 
1879167,85 111 
1879824,54 114 
1879867,57 60 
1880000,91 61 
1881018,29 62 
1884827,48 64 
1891026,88 252 
1891026,88 101 
1891029,53 100 
1891029,53 51 
1891047,54 1
1891047,54 2
1891047,54 2
1891047,54 60 
2007908,66 61 
2008924,95 62 
2010989,3 64 
2018933,26 252 
2018933,26 101 
2018935,05 100 
2018935,05 51 
2018955,66 1
2018955,66 2
2018955,66 2
2018955,66 60 
2106982,01 111 
2107061,98 114 
2107078,86 60 
2109466,23 111 
2109621,48 114 
2109658,11 60 
2109838,14 61 
2110020,11 63 
2110041,41 60 
2226553,71 111 
2231211,27 114 
2231252 60 
2309131,85 61 
2310143,35 62 
2312628,2 64 
2320150,33 252 
2320150,33 101 
2320152,05 100 
2320152,05 51 
2320173,04 1
2320173,04 2
2320173,04 2
2320173,04 60 
2336767,84 112 
2336851,86 114 
2336900,7 60 
2336924,63 61 
2337952,32 62 
2339327,52 64 
2339375,26 122 
2339486,51 124 
2349492,01 252 
2349492,01 101 
2349493,84 100 
2349493,84 51 
2349513,6 1
2349513,6 2
2349513,6 2
2349513,6 60 
2453242,47 111 
2455305,87 114 
2455344,93 60 
2455366,8 112 
2455431,9 114 
2455478,03 60 
2534449,07 61 
2534522,18 63 
2534535,55 60 
2769932,38 61 
2770959,87 62 
2771150,14 64 
2771544,28 121 
2772090,79 125 
2772354,42 137 
2772602,8 65 
2772952,16 144 
2772953,84 144 
2772954,93 144 
2773431,69 101 
2773432,83 100 
2773432,83 51 
2773473,48 1
2773473,48 1
2773473,48 2
2773473,48 60 
2773572,08 61 
2774588,63 62 
2774904,02 64 
2775230,86 121 
2775746,98 125 
2776270,7 65 
2776623,58 144 
2776625,86 144 
2776894,66 144 
2777097,51 101 
2777098,66 100 
2777098,66 51 
2777138,78 1
2777138,78 2
2777138,78 2
2777138,78 60 
2777557,35 61 
2778571,81 62 
2779906,37 64 
2780326,98 121 
2780843,2 125 
2781276,03 137 
2781350,61 65 
2781700,87 144 
2781702,55 144 
2781703,94 144 
2782179,8 101 
2782181,01 100 
2782181,01 51 
2782220,59 1
2782220,59 2
2782220,59 2
2782220,59 60 
2782557,69 61 
2783569,82 62 
2783607,26 64 
2784074,99 121 
2784592,05 125 
2785009,82 137 
2785100,25 65 
2785448,1 144 
2785449,5 144 
2785450,59 144 
2785928,13 101 
2785929,4 100 
2785929,4 51 
2785969,49 1
2785969,49 2
2785969,49 1
2785969,49 60 
2786283,58 61 
2787302,02 62 
2788069,99 64 
2788389,66 122 
2788945,4 125 
2789283,46 137 
2789465,2 66 
2789796,3 144 
2789798,26 144 
2789799,36 144 
2790277,46 101 
2790278,62 100 
2790278,62 51 
2790317,88 2
2790317,88 2
2790317,88 1
2790317,88 60 
2790345,81 61 
2791366,71 62 
2791732,68 64 
2792085,88 123 
2792607,64 125 
2793131,9 65 
2793484,1 144 
2793485,98 144 
2793801,19 144 
2793958,65 101 
2793959,89 100 
2793959,89 51 
2793999,95 2
2793999,95 1
2793999,95 2
2793999,95 60 
2794292,7 61 
2795300,75 62 
2795797,87 64 
2796143,76 121 
2796671,01 125 
2797161,88 137 
2797224,55 66 
2797527,17 144 
2797528,79 144 
2797529,95 144 
2798007,81 101 
2798008,95 100 
2798008,95 51 
2798050,25 1
2798050,25 2
2798050,25 2
2798050,25 60 
2818322,93 111 
2819842,88 114 
2819875,86 60 
2895506,37 61 
2896517,34 62 
2896675,68 64 
2896985,84 121 
2897506,22 125 
2897854,7 137 
2898030,29 65 
2898377,04 144 
2898378,52 144 
2898379,95 144 
2898857,43 101 
2898858,6 100 
2898858,6 51 
2898898,91 1
2898898,91 2
2898898,91 2
2898898,91 60 
2900621,17 111 
2901515,02 114 
2901548,82 60 
2901884,88 61 
2902898,78 62 
2903312,24 64 
2903608,71 121 
2904175,93 125 
2904368,06 137 
2904695,43 65 
2905024,6 144 
2905026,02 144 
2905027,01 144 
2905504,99 101 
2905506,19 100 
2905506,19 51 
2905547,53 1
2905547,53 2
2905547,53 2
2905547,53 60 
2907276,87 111 
2907858,98 114 
2907895,44 60 
3024684,98 61 
3025706,12 62 
3026087,79 64 
3026454,8 121 
3026977,9 125 
3027075,61 137 
3027486,03 65 
3027835,68 144 
3027837,29 144 
