TotalRequired,  300
t_hold_target,  450
T_Hold_Lev,  1000


64,42 8
64,42 53 
117,31 100 
117,31 53 
138,27 1
138,27 2
138,27 1
138,27 60 
4429,83 61 
5450,39 62 
6593,62 64 
15459,29 252 
15459,29 101 
15461,42 100 
15461,42 53 
15482,4 1
15482,4 2
15482,4 1
15482,4 60 
19745,21 61 
19809,65 63 
19830,68 60 
38112,67 111 
39011,83 114 
39056,19 60 
47282,65 61 
48304,44 62 
50414,76 64 
58310,47 252 
58310,47 101 
58312,48 100 
58312,48 53 
58333,43 1
58333,43 2
58333,43 1
58333,43 60 
62555,23 61 
63488,17 63 
63498,09 60 
64258,69 61 
65281,39 62 
67706,03 64 
75288,63 252 
75288,63 101 
75290,29 100 
75290,29 53 
75311,97 1
75311,97 2
75311,97 1
75311,97 60 
75317,24 61 
76326,17 62 
77318,73 64 
86334,86 252 
86334,86 101 
86336,85 100 
86336,85 53 
86356,99 1
86356,99 2
86356,99 1
86356,99 60 
86361,19 61 
87391,47 62 
91261,42 64 
97399,06 252 
97399,06 101 
97401,15 100 
97401,15 53 
97420,58 1
97420,58 2
97420,58 1
97420,58 60 
99606,29 61 
100619,1 62 
101815,5 64 
110627,79 252 
110627,79 101 
110629,71 100 
110629,71 53 
110650,1 1
110650,1 2
110650,1 1
110650,1 60 
120921,9 61 
120944,95 63 
120962,57 60 
124879,47 61 
125894,01 62 
126351,56 64 
135902,04 252 
135902,04 101 
135903,76 100 
135903,76 53 
135924,37 1
135924,37 2
135924,37 1
135924,37 60 
150142,6 61 
151154,89 62 
153212,39 64 
161159,66 252 
161159,66 101 
161162 100 
161162 53 
161182,6 1
161182,6 2
161182,6 1
161182,6 60 
185492,34 61 
186506,65 62 
187330,92 64 
196514,8 252 
196514,8 101 
196516,51 100 
196516,51 53 
196537,29 1
196537,29 2
196537,29 1
196537,29 60 
222435,15 61 
223447,21 62 
224499,1 64 
233453,93 252 
233453,93 101 
233455,65 100 
233455,65 53 
233475,54 1
233475,54 2
233475,54 1
233475,54 60 
234604,59 111 
235764,42 114 
235807,75 60 
236065,06 61 
237076,83 62 
240371,23 64 
247081,88 252 
247081,88 101 
247083,59 100 
247083,59 53 
247104,07 1
247104,07 2
247104,07 1
247104,07 60 
261057,12 61 
262065,18 62 
268259,91 64 
272073,88 252 
272073,88 101 
272075,74 100 
272075,74 53 
272096,15 1
272096,15 2
272096,15 1
272096,15 60 
282400,81 61 
283409,32 62 
283533,52 64 
293415,88 252 
293415,88 101 
293417,62 100 
293417,62 53 
293438,55 1
293438,55 2
293438,55 1
293438,55 60 
314157,68 61 
315182,24 62 
318907,93 64 
325188,74 252 
325188,74 101 
325190,56 100 
325190,56 53 
325211,6 1
325211,6 2
325211,6 1
325211,6 60 
338471,8 61 
339490,54 62 
339527,91 64 
349498,3 252 
349498,3 101 
349500,26 100 
349500,26 53 
349520,35 1
349520,35 2
349520,35 1
349520,35 60 
396234,91 61 
397255,91 62 
398299,37 64 
407262,67 252 
407262,67 101 
407264,46 100 
407264,46 53 
407284,31 1
407284,31 2
407284,31 1
407284,31 60 
413116,34 61 
414132,21 62 
414423,11 64 
424139,94 252 
424139,94 101 
424142,46 100 
424142,46 53 
424162,16 1
424162,16 2
424162,16 1
424162,16 60 
424806,3 61 
425827,16 62 
428634,66 64 
435835,62 252 
435835,62 101 
435837,38 100 
435837,38 53 
435858,78 1
435858,78 2
435858,78 1
435858,78 60 
456508,72 61 
457518,23 62 
457560,95 64 
467525,45 252 
467525,45 101 
467527,26 100 
467527,26 53 
467547,81 1
467547,81 2
467547,81 1
467547,81 60 
479770,02 61 
480794,72 62 
486857,76 64 
490800,8 252 
490800,8 101 
490802,58 100 
490802,58 53 
490823,48 1
490823,48 2
490823,48 1
490823,48 60 
550407,51 61 
551421,32 62 
554374,53 64 
561428,57 252 
561428,57 101 
561430,4 100 
561430,4 53 
561450,14 1
561450,14 2
561450,14 1
561450,14 60 
594172,8 61 
595189,87 62 
602385,16 64 
605196,87 252 
605196,87 101 
605198,64 100 
605198,64 53 
605219,13 1
605219,13 2
605219,13 1
605219,13 60 
632045,68 61 
633059,81 62 
636658,16 64 
643068,24 252 
643068,24 101 
643071,23 100 
643071,23 53 
643089,71 1
643089,71 2
643089,71 1
643089,71 60 
694046,52 61 
695060,16 62 
695476,07 64 
705063,27 252 
705063,27 101 
705065,02 100 
705065,02 53 
705086,33 1
705086,33 2
705086,33 1
705086,33 60 
755841,94 61 
756854,11 62 
758546,42 64 
766859,69 252 
766859,69 101 
766861,48 100 
766861,48 53 
766882,29 1
766882,29 2
766882,29 1
766882,29 60 
821503,62 61 
822515,46 62 
825268,39 64 
832522,31 252 
832522,31 101 
832524,19 100 
832524,19 53 
832544,11 1
832544,11 2
832544,11 1
832544,11 60 
832548,94 61 
833560,87 62 
836683,97 64 
843567,6 252 
843567,6 101 
843569,57 100 
843569,57 53 
843590,21 1
843590,21 2
843590,21 1
843590,21 60 
852002,62 61 
853018,94 62 
854793,86 64 
855218,73 121 
855743,29 125 
856266,81 66 
856356,04 137 
856742,16 144 
856743,77 144 
856745,06 144 
857195,05 101 
857196,45 100 
857196,45 53 
857236,13 1
857236,13 2
857236,13 2
857236,13 60 
857764,13 61 
858788,63 62 
859234,15 64 
859599,34 123 
860172,08 125 
860345,57 137 
860681,33 65 
861129,76 144 
861131,14 144 
861132,17 144 
861608,88 101 
861610,01 100 
861610,01 53 
861650,89 1
861650,89 1
861650,89 2
861650,89 60 
861843,39 61 
862867,27 62 
863029,48 64 
863393,72 123 
863925,64 125 
864445,82 65 
864919,25 144 
864920,47 144 
865391,62 101 
865392,74 100 
865392,74 53 
865416,46 2
865416,46 1
865416,46 2
865416,46 60 
865422,28 113 
866067,32 114 
866115,7 60 
866518,19 61 
867493,02 63 
867515,61 60 
867846,35 113 
869168,62 114 
869215,83 60 
869560,83 61 
870582,19 62 
870623 64 
870955,29 123 
871489,32 125 
872010,01 137 
872028,34 66 
872460,11 144 
872461,59 144 
872464,42 144 
873996,12 101 
873997,25 100 
873997,25 53 
