TotalRequired,  300
t_hold_target,  450
T_Hold_Lev,  1000


299074,48 61 
300104,8 62 
304106,29 64 
310111,1 252 
310111,1 101 
310113,04 100 
310113,04 53 
310134,45 1
310134,45 2
310134,45 1
310134,45 60 
323056,93 111 
324657,99 114 
324695,52 60 
364141,78 61 
365165,76 62 
365647,87 64 
365926,41 121 
366494,22 125 
366883,77 137 
367011,49 66 
367442,52 144 
367444,37 144 
367445,67 144 
367924,16 101 
367925,45 100 
367925,45 53 
367981,13 1
367981,13 2
367981,13 1
367981,13 60 
368531,99 61 
369546,22 62 
372764,37 64 
379556,33 252 
379556,33 101 
379558,11 100 
379558,11 53 
379577,65 1
379577,65 2
379577,65 1
379577,65 60 
379582,15 61 
380595,41 62 
382132,07 64 
382425,61 121 
382951,12 125 
383292,9 137 
383473,99 66 
383921,72 144 
383925,47 144 
383926,96 144 
384401,18 101 
384402,48 100 
384402,48 53 
384442,28 1
384442,28 1
384442,28 2
384442,28 60 
384494,6 113 
385245,33 114 
385292,05 60 
385863,47 61 
386874,99 62 
387585,68 64 
387930,21 123 
388069,81 124 
390048,54 121 
390555,94 124 
400564,6 252 
400564,6 101 
400566,55 100 
400566,55 53 
400587,49 1
400587,49 1
400587,49 2
400587,49 60 
400593,07 61 
401173,21 63 
401186,7 60 
401466,59 111 
401734,7 114 
401770,75 60 
408538,17 61 
409550,71 62 
409681,67 64 
419559,28 252 
419559,28 101 
419561,17 100 
419561,17 53 
419581,07 1
419581,07 1
419581,07 2
419581,07 60 
428756,23 61 
429764,41 63 
429778,98 60 
430116,58 111 
430628,04 114 
430677,09 60 
430864,95 61 
431877,32 62 
431925,26 64 
432362,95 123 
432883,32 125 
433218,13 137 
433408,4 65 
433854,41 144 
433855,97 144 
433857,18 144 
434335,5 101 
434336,69 100 
434336,69 53 
434376 1
434376 2
434376 2
434376 60 
434417,51 61 
435442,36 62 
435540,2 64 
435883,73 123 
436387,4 125 
436745,44 137 
436906,26 65 
437353,42 144 
437355,26 144 
437356,52 144 
437833,59 101 
437834,81 100 
437834,81 53 
437874,78 1
437874,78 2
437874,78 2
437874,78 60 
437987,42 61 
438979,79 63 
438991,28 60 
439319,48 113 
439413,65 114 
439457,56 60 
439646,55 61 
440658,32 62 
440774,66 64 
441102 123 
441643,8 125 
442001,4 137 
442153,14 65 
442608,24 144 
442609,85 144 
442610,8 144 
443081,79 101 
443083,07 100 
443083,07 53 
443122,99 2
443122,99 2
443122,99 2
443122,99 60 
443823,97 61 
444838,74 62 
445226,59 64 
445508,42 123 
446015,83 125 
446390,41 137 
446537,15 66 
446998,37 144 
447000,26 144 
447001,95 144 
450047,91 101 
450049,36 100 
450049,36 53 
450087,4 1
450087,4 2
450087,4 2
450087,4 60 
450425,58 113 
450498,08 114 
450521,75 60 
450770,13 61 
451785,96 62 
452108,14 64 
452454,49 123 
452983,89 125 
453453,96 137 
453513,81 65 
453923,84 144 
453925,37 144 
453926,39 144 
454412,39 101 
454413,61 100 
454413,61 53 
454452,68 2
454452,68 1
454452,68 1
454452,68 60 
454516,92 61 
455535,32 62 
455628,96 64 
456000,23 123 
456568,09 125 
456950,44 137 
457084,04 66 
457506,05 144 
457507,59 144 
457508,56 144 
457994,04 101 
457995,34 100 
457995,34 53 
458034,76 1
458034,76 2
458034,76 2
458034,76 60 
458205,11 111 
458434,75 114 
458484,56 60 
462493,65 61 
463515,63 62 
464104,68 64 
464427,32 121 
464954,31 125 
465414,18 137 
465483,39 66 
465893,6 144 
465895,22 144 
465896,41 144 
466375,29 101 
466376,56 100 
466376,56 53 
466415,61 1
466415,61 2
466415,61 2
466415,61 60 
466720,66 61 
466730,09 63 
466748,5 60 
467601,37 61 
468615,24 62 
469062,02 64 
469428,8 121 
469954,68 125 
