TotalRequired,  100
t_hold_target,  450
T_Hold_Lev,  1000


582437,8 61 
583063,37 63 
583078,35 60 
583444,92 111 
584073,01 114 
584111,47 60 
584313,12 61 
585327,76 62 
586089,12 64 
586531,8 121 
587093,5 125 
587606,97 66 
587996,82 137 
588172,62 144 
588174,73 144 
588176,05 144 
588635,76 101 
588636,99 100 
588636,99 51 
588676,63 1
588676,63 2
588676,63 2
588676,63 60 
590260,4 61 
590315,26 63 
590326,08 60 
590671,35 111 
592326,98 114 
592375,42 60 
595354,02 111 
596292,7 114 
596340,78 60 
597155,71 61 
598173,58 62 
599678,79 64 
600094,52 121 
600639,82 125 
601116,33 137 
601186,86 65 
601702,61 144 
601704,61 144 
601705,61 144 
602182,44 101 
602183,77 100 
602183,77 51 
602222,41 1
602222,41 2
602222,41 1
602222,41 60 
603564,44 111 
604459,34 114 
604504,86 60 
621164,87 111 
621281,19 114 
621316,23 60 
621882,57 111 
622171,24 114 
622215,9 60 
622251 112 
622322,32 114 
622350,21 60 
622628,94 61 
623648,24 62 
631838,08 64 
633657,49 252 
633657,49 101 
633659,19 100 
633659,19 51 
633678,69 1
633678,69 2
633678,69 1
633678,69 60 
725009,18 112 
725088,57 114 
725115,32 60 
725263,88 61 
726280,96 62 
726560,86 64 
726800,01 123 
726887,88 124 
736906,32 252 
736906,32 101 
736908,16 100 
736908,16 51 
736927,3 1
736927,3 2
736927,3 1
736927,3 60 
776804,94 61 
777814,8 62 
778290,27 64 
778610,23 121 
779182,34 125 
779605,11 137 
779694,27 65 
780243,85 144 
780245,43 144 
780246,39 144 
780723,16 101 
780724,28 100 
780724,28 51 
780765,02 1
780765,02 2
780765,02 1
780765,02 60 
781713,03 61 
782623,8 63 
782645,93 60 
783052,43 111 
783303,21 114 
783346,81 60 
783541,91 61 
784561,93 62 
785136,31 64 
785490,41 121 
786057,77 125 
786132,7 137 
786574,09 65 
787123,56 144 
787125,18 144 
787126,76 144 
787604,59 101 
787605,79 100 
787605,79 51 
787644,57 2
787644,57 2
787644,57 2
787644,57 60 
787678,94 61 
788695,11 62 
788937,64 64 
789311,82 121 
789834,78 125 
790146,99 137 
790357,4 66 
790905,54 144 
790907,05 144 
790908,37 144 
792553,18 101 
792555,06 100 
792555,06 51 
792593 1
792593 2
792593 1
792593 60 
792920,95 113 
793234,75 114 
793275,73 60 
793609,3 61 
794625,38 62 
794835,96 64 
795167,93 122 
795686,2 125 
795902,35 137 
796206,23 66 
796753,84 144 
796755,47 144 
796756,81 144 
798288,69 101 
798290,21 100 
798290,21 51 
798325,94 1
798325,94 1
798325,94 2
798325,94 60 
798689,15 111 
800132,34 114 
800173,48 60 
800458,09 61 
801473,07 62 
801810,59 64 
802129,99 123 
802683,36 125 
802750,97 137 
803202,65 66 
803751,02 144 
803753,23 144 
803754,55 144 
804030,02 142 
804115,14 144 
804117,11 144 
804230,84 101 
804232,12 100 
804232,12 51 
804273,78 1
804273,78 2
804273,78 2
804273,78 60 
804303,56 112 
805117,73 114 
805155,62 60 
806275,64 61 
807288,04 62 
807920,61 64 
808363,43 121 
808895,51 125 
809417,22 65 
809498,7 137 
809965,78 144 
809967,41 144 
809968,57 144 
810446,4 101 
810447,55 100 
810447,55 51 
810488,35 1
810488,35 2
810488,35 2
810488,35 60 
810682,33 61 
811702,32 62 
811963,16 64 
812344,43 121 
812906,28 125 
813414,88 137 
813482,21 65 
813964,91 144 
813966,8 144 
813970,83 144 
814444,17 101 
814445,38 100 
814445,38 51 
814485,59 2
814485,59 2
814485,59 2
814485,59 60 
814647,65 61 
815669,24 62 
816025,11 64 
816347,51 121 
816916,81 125 
817181,1 137 
817430,96 66 
817980,97 144 
817982,57 144 
817983,67 144 
819875,77 101 
819877,66 100 
819877,66 51 
819917,21 1
819917,21 2
819917,21 2
819917,21 60 
820243,49 111 
821344,11 114 
821383,33 60 
822138,85 61 
823149,49 62 
824553,79 64 
824958,66 121 
825488,75 125 
826013,44 65 
826125,97 137 
826561,07 144 
826563,26 144 
826564,55 144 
827039,77 101 
827041,03 100 
827041,03 51 
827081,65 1
827081,65 1
827081,65 2
827081,65 60 
827656,94 61 
828381,15 63 
828397,52 60 
828812,96 111 
829375,97 114 
829413,96 60 
829749,33 61 
830763,03 62 
831068,56 64 
831462,35 121 
831998,31 125 
832511,18 65 
832558,87 137 
833059,58 144 
833061,22 144 
833062,5 144 
833537,97 101 
833539,13 100 
833539,13 51 
833579,39 1
833579,39 2
833579,39 1
833579,39 60 
833834,77 61 
834845,81 62 
836149,16 64 
