TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


781306,48 122 
781876,38 125 
782353,72 137 
782419,92 66 
782940,04 144 
782941,65 144 
782942,91 144 
783419,18 101 
783420,51 100 
783420,51 52 
783459,46 1
783459,46 2
783459,46 2
783459,46 60 
875236 61 
876246,3 62 
876697,85 64 
886254,47 252 
886254,47 101 
886256,17 100 
886256,17 52 
886275,79 1
886275,79 2
886275,79 2
886275,79 60 
898886,62 61 
899904,48 62 
900373,65 64 
900730,65 121 
901261,05 125 
901364,18 137 
901783,19 66 
902334,48 144 
902336,34 144 
902338,73 144 
902812,47 101 
902813,65 100 
902813,65 52 
902854,78 1
902854,78 2
902854,78 2
902854,78 60 
905714,01 61 
906734,6 62 
911373,93 64 
916743,44 252 
916743,44 101 
916745,13 100 
916745,13 52 
916765,68 1
916765,68 2
916765,68 2
916765,68 60 
925858,21 61 
926694,1 63 
926712 60 
1019888,47 61 
1019959,58 63 
1019981,29 60 
1020126,95 61 
1021147,2 62 
1021727,42 64 
1022012,07 121 
1022537,95 125 
1022739,09 137 
1023061,22 66 
1023609,32 144 
1023610,58 144 
1023611,68 144 
1024089,66 101 
1024090,78 100 
1024090,78 52 
1024129,86 1
1024129,86 2
1024129,86 2
1024129,86 60 
1101064,76 61 
1102087,43 62 
1102494,1 64 
1112095,09 252 
1112095,09 101 
1112096,85 100 
1112096,85 52 
1112118,67 1
1112118,67 2
1112118,67 2
1112118,67 60 
1217082,53 61 
1217171,86 63 
1217182,72 60 
1217467,32 61 
1218482,38 62 
1218601,39 64 
1218846,55 121 
1219416,49 125 
1219897,57 137 
1219947,66 66 
1220461,03 144 
1220462,48 144 
1220463,34 144 
1220941,34 101 
1220942,62 100 
1220942,62 52 
1220981,9 1
1220981,9 2
1220981,9 2
1220981,9 60 
1234900,53 61 
1235800,12 63 
1235809,81 60 
1235817,13 61 
1235840,45 63 
1235861,04 60 
1321395,84 61 
1322415,99 62 
1322753,21 64 
1323032,65 122 
1323555,25 125 
1323752,95 137 
1324078,68 65 
1324626,13 144 
1324627,62 144 
1324629,86 144 
1325106,02 101 
1325107,22 100 
1325107,22 52 
1325147,2 1
1325147,2 2
1325147,2 2
1325147,2 60 
1325177,21 61 
1326154,66 63 
1326164,4 60 
1326466,74 112 
1326582,64 114 
1326629,76 60 
1326799,21 61 
1327813,7 62 
1328159,81 64 
1328420,33 122 
1328951,97 125 
1329251,43 137 
1329460,6 65 
1330023,16 144 
1330024,77 144 
1330026,5 144 
1330487,86 101 
1330489,03 100 
1330489,03 52 
1330528,55 1
1330528,55 2
1330528,55 2
1330528,55 60 
1330681,89 61 
1331694,22 62 
1331863,25 64 
1332182,84 122 
1332730,11 125 
1332942,29 137 
1333242,79 65 
1333791,84 144 
1333793,45 144 
1333794,55 144 
1334269,81 101 
1334270,92 100 
1334270,92 52 
1334310,61 1
1334310,61 2
1334310,61 2
1334310,61 60 
1334363,14 61 
1335377,35 62 
1335402,58 64 
1335752,34 122 
1336327,48 125 
1336579,9 137 
1336840,6 65 
1337390,07 144 
1337391,73 144 
1337395,17 144 
1337868,77 101 
1337869,91 100 
1337869,91 52 
1337909,56 1
1337909,56 1
1337909,56 2
1337909,56 60 
1338053,52 61 
1338931,24 63 
1338942,4 60 
1339591,91 61 
1340591,48 63 
1340608,56 60 
1340897,84 112 
1341605,31 114 
1341641,78 60 
1341881,18 61 
1342892,85 62 
1343084,5 64 
1343385,28 122 
1343900,26 125 
1344336,55 137 
1344420 65 
1344953,93 144 
1344955,39 144 
1344956,66 144 
1345432,27 101 
1345433,5 100 
1345433,5 52 
1345473,62 1
1345473,62 2
1345473,62 2
1345473,62 60 
1345621,9 61 
1345638,3 63 
1345656,8 60 
1345662,02 61 
1346475,24 63 
1346490,9 60 
1346777,42 112 
1347368,32 114 
1347406,73 60 
1347611,49 61 
1348621,55 62 
1348916,31 64 
1349157,63 122 
1349679,93 125 
1350125,53 137 
1350202,65 65 
1350734,87 144 
1350736,36 144 
1350737,62 144 
1351214,41 101 
1351215,61 100 
1351215,61 52 
1351255,26 1
1351255,26 2
1351255,26 1
1351255,26 60 
1351285,37 61 
1352307,36 62 
1353055,29 64 
