TotalRequired,  250
t_hold_target,  450
T_Hold_Lev,  1000


540496,7 64 
540848,73 121 
541384,74 125 
541724,44 137 
541904,56 65 
542156,64 144 
542161,11 144 
542163,52 144 
542633,25 101 
542634,48 100 
542634,48 51 
542675,17 1
542675,17 1
542675,17 2
542675,17 60 
543126,83 61 
544141,54 62 
544346,77 64 
544646 121 
545196,79 125 
545581,28 137 
545719,59 65 
545971,06 144 
545972,73 144 
545974,63 144 
546448,27 101 
546449,46 100 
546449,46 51 
546489,6 1
546489,6 2
546489,6 2
546489,6 60 
546917,58 61 
547874,37 63 
547889,42 60 
548238,07 111 
548709,51 114 
548756,12 60 
551177,04 111 
551816,48 114 
551854,6 60 
556731,09 111 
557728,49 114 
557770,83 60 
558208,38 111 
558546,8 114 
558586,15 60 
572489,38 111 
572585,9 114 
572631,67 60 
573803,76 111 
573898,18 114 
573934,43 60 
574421,37 61 
575432,45 62 
577568,48 64 
585437,8 252 
585437,8 101 
585439,65 100 
585439,65 51 
585460,21 1
585460,21 2
585460,21 2
585460,21 60 
621512,34 61 
622531,26 62 
623352,64 64 
632539 252 
632539 101 
632540,76 100 
632540,76 51 
632561,37 1
632561,37 2
632561,37 2
632561,37 60 
639647,19 111 
639750,53 114 
639792,24 60 
640445,2 111 
640651,6 114 
640691,93 60 
695888,03 61 
696906,48 62 
697063,48 64 
697598,84 121 
698113,56 124 
701441,18 122 
701969,95 125 
702051,93 137 
702484,81 66 
702738,75 144 
702740,41 144 
702742 144 
703213,99 101 
703215,32 100 
703215,32 51 
703255,12 2
703255,12 2
703255,12 2
703255,12 60 
703293,07 61 
704306,95 62 
704695,48 64 
705053,01 123 
705576,6 125 
706100,31 66 
706366,24 144 
706367,92 144 
706427,52 144 
708456,54 101 
708457,98 100 
708457,98 51 
708504,8 1
708504,8 2
708504,8 1
708504,8 60 
708894,58 113 
708958,91 114 
708988,78 60 
709330,76 61 
710353,2 62 
710764,55 64 
711077,68 121 
711627,36 125 
712148,74 65 
712165,06 137 
712400,2 144 
712401,71 144 
712403,64 144 
712876,5 101 
712877,62 100 
