TotalRequired,  280
t_hold_target,  450
T_Hold_Lev,  1000


73,85 8
73,85 53 
129,46 100 
129,46 53 
161,04 1
161,04 1
161,04 2
161,04 60 
1163,15 61 
2183,58 62 
2635,52 64 
12191,57 252 
12191,57 101 
12193,27 100 
12193,27 53 
13779,29 1
13779,29 1
13779,29 2
13779,29 60 
31977,97 61 
32990,39 62 
33485,83 64 
42998,8 252 
42998,8 101 
43000,45 100 
43000,45 53 
43019,52 1
43019,52 1
43019,52 2
43019,52 60 
52863,03 61 
53882,2 62 
54587,63 64 
63891,45 252 
63891,45 101 
63893,18 100 
63893,18 53 
63912,83 1
63912,83 1
63912,83 2
63912,83 60 
64646,99 111 
64837,6 114 
64879,26 60 
93428,17 111 
94279,4 114 
94319,18 60 
128697,36 61 
129198,42 63 
129209,6 60 
146997,04 61 
147612,51 63 
147635,44 60 
167806,58 111 
167886,98 114 
167914,1 60 
168239,2 111 
168348,99 114 
168381,05 60 
194332,92 111 
195373,45 114 
195419,4 60 
195886,45 61 
195901,04 63 
195919,19 60 
205822,37 111 
206012,88 114 
206049,98 60 
206089,4 111 
206237,62 114 
206282,48 60 
254761,2 61 
255783,35 62 
256123,5 64 
257074,41 121 
257608,59 125 
258123,9 137 
258193,03 65 
258578,9 144 
258580,75 144 
258582,45 144 
258631,24 141 
258705,23 144 
258707,62 144 
258730,98 144 
259057,62 101 
259059,15 100 
259059,15 53 
259164,9 1
259164,9 2
259164,9 2
259164,9 60 
259220,78 61 
260232,07 62 
260333,35 64 
260689,16 121 
261220,2 125 
261411,58 137 
261729,16 66 
262190,43 144 
262191,95 144 
262193,72 144 
264195,46 101 
264197,74 100 
264197,74 53 
264246,59 2
264246,59 2
264246,59 2
264246,59 60 
264630,3 111 
264932,5 114 
264979,68 60 
265153,58 61 
266165,12 62 
266502,57 64 
266816,48 123 
267307,93 125 
267819,34 137 
267860,09 66 
268258,39 144 
268259,95 144 
268261,59 144 
268736,81 101 
268738,07 100 
268738,07 53 
268762,08 1
268762,08 2
268762,08 1
268762,08 60 
268830,23 112 
269397,3 114 
269429,34 60 
284063,05 111 
284131,04 114 
284159,85 60 
284893,42 111 
285105,33 114 
285140,24 60 
285413,78 61 
286424,34 62 
287347,67 64 
287751,59 121 
288316,46 125 
288610,44 137 
288834,92 66 
289282,52 144 
289284,13 144 
289285,09 144 
289763,85 101 
289765,42 100 
289765,42 53 
289806,17 1
289806,17 2
289806,17 2
289806,17 60 
322432,54 61 
322456,09 63 
322477,74 60 
368647,22 111 
368787,8 114 
368812,96 60 
369162,26 111 
369322,86 114 
369361,74 60 
385578,65 61 
386339,69 63 
386356,31 60 
414674,65 61 
415697,62 62 
416125,35 64 
416466,91 121 
416989,22 125 
417509,4 66 
417969,87 144 
417972 144 
417973,17 144 
418438,71 101 
418439,92 100 
418439,92 53 
418479,77 1
418479,77 2
418479,77 2
418479,77 60 
418753,48 61 
419764,14 62 
420981,75 64 
429769,97 252 
429769,97 101 
429771,73 100 
429771,73 53 
429792,02 1
429792,02 2
429792,02 2
429792,02 60 
443827,68 111 
444426,17 114 
444470,85 60 
444568,75 61 
445585,9 62 
445893,44 64 
446269,17 123 
446806,28 125 
447135,97 137 
447317,85 65 
447763,92 144 
447765,6 144 
447766,85 144 
448244,45 101 
448245,61 100 
448245,61 53 
448285,88 2
448285,88 2
448285,88 2
448285,88 60 
448519,28 61 
449410,99 63 
449420,17 60 
450013,46 61 
451035,62 62 
451287,95 64 
451627,93 123 
452170,98 125 
452399,54 137 
452680,74 66 
453129,19 144 
453130,53 144 
453132,05 144 
455244,6 101 
455246,59 100 
455246,59 53 
455283,82 1
455283,82 2
455283,82 2
455283,82 60 
455597,27 113 
455887,86 114 
455933,19 60 
456197,4 61 
457216 62 
457575,29 64 
457889,77 123 
458419,24 125 
458928,38 65 
459086,73 137 
459361,33 144 
459363,2 144 
459364,16 144 
459418,07 143 
459483,15 144 
459485,45 144 
459489,93 144 
459841,86 101 
459843,03 100 
459843,03 53 
459865,65 1
459865,65 2
459865,65 2
459865,65 60 
460025,09 61 
461048,17 62 
461235,74 64 
461604,2 123 
462124,28 125 
462568,25 137 
462647,24 65 
463093,05 144 
463095,42 144 
463096,93 144 
463573,14 101 
463574,44 100 
463574,44 53 
463614,41 1
463614,41 1
463614,41 1
463614,41 60 
463646,35 61 
464665,85 62 
464942,21 64 
465255,61 123 
465787,84 125 
466140,38 137 
466309,24 65 
466742,16 144 
466743,73 144 
466745,02 144 
467221,77 101 
467222,92 100 
467222,92 53 
467262,92 1
467262,92 2
467262,92 2
467262,92 60 
467502,61 61 
468513,48 62 
468779,38 64 
469064,06 123 
469584,02 125 
470092,78 65 
470135,05 137 
470541,35 144 
470542,99 144 
470544,52 144 
471020,67 101 
471021,81 100 
471021,81 53 
471061,94 1
471061,94 2
471061,94 2
471061,94 60 
471237,49 61 
472247,38 62 
472386,8 64 
472748,22 123 
473269,39 125 
473505,35 137 
473791,95 65 
474238,47 144 
474239,82 144 
474241,47 144 
474719 101 
474720,17 100 
474720,17 53 
474760,63 2
474760,63 2
474760,63 2
474760,63 60 
474906,52 61 
475925,95 62 
476004,02 64 
476356,99 123 
476882,22 125 
477389,91 66 
477844,49 144 
477846,1 144 
477877,38 144 
478318,23 101 
478319,47 100 
478319,47 53 
478360,31 1
478360,31 2
478360,31 2
478360,31 60 
478521,06 61 
479542,21 62 
479947,14 64 
480266,35 123 
480794,98 125 
481305,07 65 
481367,6 137 
481769,9 144 
481772,03 144 
481773,57 144 
482234,11 101 
482235,26 100 
482235,26 53 
482275,04 1
482275,04 2
482275,04 1
482275,04 60 
482304,43 61 
483327,54 62 
483403,83 64 
483820,85 123 
484360,92 125 
484869,86 65 
484985,46 137 
485319,69 144 
485321,32 144 
485322,84 144 
485799,08 101 
485800,22 100 
485800,22 53 
485840,29 1
485840,29 2
485840,29 2
485840,29 60 
485908,31 61 
486923,49 62 
487070,94 64 
487413,49 123 
487943,13 125 
488453,44 65 
488923,41 144 
488925,06 144 
489012,5 144 
489399,14 101 
489400,33 100 
