TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


311,58 8
311,58 52 
361,8 100 
361,8 52 
387,35 1
387,35 2
387,35 2
387,35 60 
1182,31 61 
1239 63 
1253,14 60 
1303 61 
2319,77 62 
2455,41 64 
2722,97 121 
3285,76 125 
3796,57 137 
3871,47 66 
4351,11 144 
4353,48 144 
4354,88 144 
4827,69 101 
4829,1 100 
4829,1 52 
4868,78 1
4868,78 2
4868,78 2
4868,78 60 
4904,04 61 
5936,6 62 
6276,73 64 
6611,5 121 
7168,93 125 
7206,44 137 
7680,42 66 
8233,57 144 
8235,19 144 
8236,95 144 
9408,05 101 
9409,55 100 
9409,55 52 
9450,16 1
9450,16 2
9450,16 2
9450,16 60 
9668,73 113 
10473,41 114 
10516,47 60 
10739,71 61 
11748,88 62 
13726,89 64 
14093,04 121 
14623,32 125 
15107,08 137 
15169,16 66 
15697,82 144 
15699,45 144 
15700,84 144 
16174,34 101 
16175,45 100 
16175,45 52 
16215,64 2
16215,64 2
16215,64 1
16215,64 60 
16650,95 61 
17664,07 62 
20345,39 64 
27671,8 252 
27671,8 101 
27673,5 100 
27673,5 52 
27694,28 2
27694,28 2
27694,28 1
27694,28 60 
65548,11 111 
66567,45 114 
66614,89 60 
69712,17 61 
70729,98 62 
73147,71 64 
77222,91 123 
77779,28 125 
78023,14 137 
78291,47 66 
78846,31 144 
78850,93 144 
78852,48 144 
86121,91 101 
86124,8 100 
86124,8 52 
86159,22 1
86159,22 2
86159,22 2
86159,22 60 
95195,3 111 
95381,76 114 
95424,48 60 
95802,09 111 
96290,14 114 
96340,37 60 
96826,27 61 
97819,54 63 
97837,98 60 
128517,32 61 
129526,99 62 
130506,78 64 
139536,25 252 
139536,25 101 
139538,04 100 
139538,04 52 
139557,6 1
139557,6 2
139557,6 2
139557,6 60 
145580,38 61 
146590,14 62 
150101,19 64 
156596,82 252 
156596,82 101 
156598,49 100 
156598,49 52 
156618,66 1
156618,66 2
156618,66 2
156618,66 60 
201653,43 61 
202670,19 62 
203018,25 64 
203351,48 122 
203882,78 125 
204400,71 65 
204565,07 137 
204951,3 144 
204953,16 144 
204954,26 144 
205428,87 101 
205430,05 100 
205430,05 52 
205469,22 1
205469,22 1
205469,22 1
205469,22 60 
213158,98 61 
213639,29 63 
213651,24 60 
214269,97 111 
215005,85 114 
215049,42 60 
231931,16 61 
232009,93 63 
232027,18 60 
232277,78 111 
232855,66 114 
232893,13 60 
259811,26 61 
260270,68 63 
260284,48 60 
269236,68 61 
269308,67 63 
269330,92 60 
300486,17 111 
301018,08 114 
301055,65 60 
301209,66 61 
302220,73 62 
303171,7 64 
303451,3 123 
303975,82 125 
304421,64 137 
304488,34 65 
305035,18 144 
305036,87 144 
305041,19 144 
305510,7 101 
305511,91 100 
305511,91 52 
305552,96 1
305552,96 1
305552,96 2
305552,96 60 
305780,55 61 
306801,48 62 
307151,67 64 
307364,42 123 
307906,74 125 
308417,48 65 
308517,29 137 
308966,68 144 
308968,72 144 
308969,79 144 
309443,14 101 
309444,32 100 
309444,32 52 
309485,68 1
309485,68 2
309485,68 2
309485,68 60 
309616,57 61 
310566,32 63 
310584,56 60 
310862,09 113 
311001,77 114 
311051,05 60 
311193,23 61 
312201 62 
312382,55 64 
312863,15 123 
313390,91 125 
313458,95 137 
313912,71 66 
314467,23 144 
314471,48 144 
314472,99 144 
316505,11 101 
316506,65 100 
316506,65 52 
316549,44 2
316549,44 2
316549,44 2
316549,44 60 
316779,8 113 
317108,26 114 
317149,46 60 
317419,67 61 
318431,29 62 
318899,12 64 
319165,62 123 
319688,55 125 
320202,78 137 
320265,86 66 
320763,4 144 
320765,26 144 
320766,31 144 
321239,55 101 
321240,66 100 
321240,66 52 
321281,15 1
321281,15 2
321281,15 2
321281,15 60 
323962,32 61 
324382,29 63 
324396,99 60 
382965,54 61 
383976,6 62 
384191,46 64 
384483,14 121 
385032,28 125 
385526,44 137 
385595,74 66 
386092,68 144 
386094,25 144 
386095,94 144 
386567,63 101 
386568,8 100 
386568,8 52 
386610,49 1
386610,49 2
386610,49 2
386610,49 60 
386694,56 61 
387708,49 62 
388011,97 64 
388304,65 121 
388844,57 125 
389107,83 137 
389355,07 66 
389908,53 144 
389910,12 144 
389911,23 144 
392898,33 101 
392899,83 100 
392899,83 52 
392940,66 1
392940,66 2
392940,66 2
392940,66 60 
393181,68 111 
394546 114 
394590,19 60 
395026,71 61 
396039,43 62 
396557,07 64 
396850,51 123 
397380,78 125 
397661,4 137 
397901,87 66 
398458,29 144 
398462,23 144 
398463,99 144 
400782,08 101 
400783,62 100 
400783,62 52 
400822,26 1
400822,26 2
400822,26 2
400822,26 60 
401038,92 113 
401410,91 114 
401454,43 60 
401774,97 61 
402787,6 62 
403156,56 64 
412795,52 252 
412795,52 101 
412797,26 100 
412797,26 52 
412817,78 1
412817,78 2
412817,78 2
412817,78 60 
454263,47 61 
455286,39 62 
463270,73 64 
465294,33 252 
465294,33 101 
465296,13 100 
465296,13 52 
465317,31 1
465317,31 2
465317,31 2
465317,31 60 
479344,42 61 
479905,04 63 
479912,97 60 
480667,41 61 
481678,31 62 
482449,1 64 
488718,59 121 
489251,93 125 
489772,33 66 
490337,26 144 
490339,32 144 
490505,95 144 
493860,46 101 
493861,88 100 
493861,88 52 
493907,99 1
493907,99 2
493907,99 2
493907,99 60 
494140,53 111 
494945,59 114 
494990,67 60 
495768,07 61 
496789,41 62 
497262,76 64 
497575,53 121 
498129,92 125 
498579,42 137 
498653,2 66 
499201,18 144 
499202,54 144 
499203,44 144 
499681,31 101 
499682,46 100 
499682,46 52 
499724,68 1
499724,68 2
499724,68 2
499724,68 60 
500519,27 61 
501538,13 62 
503146,48 64 
503842,13 122 
504045,38 124 
506054,08 121 
506579,06 125 
506727,83 137 
507100,88 66 
507653,94 144 
507655,66 144 
507657,07 144 
508948,67 101 
508950,15 100 
508950,15 52 
508986,08 1
508986,08 1
508986,08 2
508986,08 60 
509195,71 113 
510058,2 114 
510102,14 60 
510353,55 61 
511368,47 62 
511646,93 64 
