TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


331,33 8
331,33 53 
381,66 100 
381,66 53 
406,7 1
406,7 2
406,7 1
406,7 60 
863,16 111 
1966,48 114 
1986,62 60 
3806,06 61 
3881,61 63 
3900,88 60 
4496,34 61 
5517,12 62 
7819,3 64 
8358,56 123 
8874,3 125 
9336,33 137 
9399,28 65 
9944,37 144 
9945,86 144 
9947,01 144 
12231,26 101 
12233,77 100 
12233,77 53 
12281,63 1
12281,63 2
12281,63 2
12281,63 60 
12527,81 113 
13576,86 114 
13598,26 60 
14109,11 113 
14228,96 114 
14265,5 60 
14631,83 61 
15646,5 62 
18125,43 64 
20994,93 121 
21547,32 125 
22005,24 137 
22074,77 66 
22590,19 144 
22591,83 144 
22593 144 
23071,12 101 
23072,32 100 
23072,32 53 
23111,33 1
23111,33 1
23111,33 1
23111,33 60 
40575,91 61 
40705,37 63 
40722,12 60 
53107,44 61 
54117,55 62 
55382,8 64 
55661,04 123 
56189,56 125 
56696,89 65 
57238,68 144 
57240,78 144 
57448,29 144 
57709,04 101 
57710,21 100 
57710,21 53 
57750,01 1
57750,01 2
57750,01 2
57750,01 60 
57973,3 61 
58962,42 63 
58982,82 60 
59277,23 113 
59682,21 114 
59716,98 60 
59961,66 61 
60982,37 62 
61809,27 64 
62143,95 123 
62685,26 125 
63194,82 65 
63699,74 144 
63701,06 144 
64046,09 144 
64191,04 101 
64193,04 100 
64193,04 53 
64231,19 2
64231,19 2
64231,19 2
64231,19 60 
64521,2 61 
65531,61 62 
65571,43 64 
65880,01 123 
66404,45 125 
66927,44 66 
67447,27 144 
67448,68 144 
67686,33 144 
67939,05 101 
67940,21 100 
67940,21 53 
67979,93 1
67979,93 2
67979,93 2
67979,93 60 
68022,42 61 
69047,37 62 
69442,61 64 
69836,97 123 
70381,1 125 
70892,37 65 
71396,78 144 
71398,61 144 
71623,38 144 
71888,37 101 
71889,55 100 
71889,55 53 
71928,8 1
71928,8 2
71928,8 2
71928,8 60 
72005,4 61 
73028,28 62 
73048,2 64 
73373,54 123 
73914,02 125 
74284,23 137 
74423,94 65 
74973,17 144 
74976,01 144 
74977,2 144 
75452,65 101 
75453,84 100 
75453,84 53 
75494,1 1
75494,1 2
75494,1 2
75494,1 60 
75607,81 61 
76627,07 62 
76900,82 64 
77222,5 123 
77749,96 125 
78256,93 65 
78812,04 144 
78814,07 144 
79026,36 144 
79285,93 101 
79287,1 100 
79287,1 53 
79326,56 1
79326,56 1
79326,56 2
79326,56 60 
79408,99 61 
80417,74 63 
80428,2 60 
81183 61 
82194,7 62 
82551,87 64 
82876,34 123 
83397,99 125 
83904,85 65 
84425,75 144 
84427,08 144 
84804,78 144 
84916,36 101 
84917,55 100 
84917,55 53 
84957,84 2
84957,84 2
84957,84 2
84957,84 60 
85280,46 61 
86292,92 62 
86644,85 64 
86927,18 123 
87461,98 125 
87971,81 66 
88491,76 144 
88493,17 144 
88507,4 144 
90028,02 101 
90029,31 100 
90029,31 53 
90072,67 1
90072,67 2
90072,67 2
90072,67 60 
103437,96 61 
104450,39 62 
104861,48 64 
105149,01 123 
105674,14 125 
106198,65 65 
106701,33 144 
106702,86 144 
106967,57 144 
107192,12 101 
107194,29 100 
107194,29 53 
107233,62 1
107233,62 2
107233,62 2
107233,62 60 
107386,66 61 
108210,02 63 
108218,04 60 
108544,59 113 
108781,52 114 
108800,56 60 
109178,55 61 
110198,65 62 
110361,14 64 
110681,81 123 
111204,01 125 
111714,01 65 
112232,4 144 
112233,69 144 
112552,94 144 
112724,06 101 
112725,31 100 
112725,31 53 
112765,26 1
112765,26 2
112765,26 2
112765,26 60 
112992,82 61 
114014,08 62 
114371,04 64 
114623,86 123 
115167,39 125 
115677,29 65 
116181,37 144 
116182,75 144 
116383,17 144 
116672,96 101 
116674,12 100 
116674,12 53 
116713,81 2
116713,81 2
116713,81 2
116713,81 60 
116888,19 61 
117899,1 62 
118216,97 64 
118495,59 123 
119034,45 125 
119542,97 66 
120063,58 144 
120064,84 144 
120171,93 144 
120554,99 101 
120556,32 100 
120556,32 53 
120597,18 1
120597,18 1
120597,18 2
120597,18 60 
120639,34 61 
121663,79 62 
123238,95 64 
123591,7 123 
124116,39 125 
124625,84 65 
125129,03 144 
125130,41 144 
125368,58 144 
125619,3 101 
125620,47 100 
125620,47 53 
125661 1
125661 2
125661 1
125661 60 
125947,87 61 
126960,98 62 
128002,81 64 
128353,56 123 
128851,02 125 
129373,59 65 
129876,93 144 
129879,46 144 
130368,45 101 
130369,57 100 
130369,57 53 
130392,87 1
130392,87 2
130392,87 2
130392,87 60 
130399,04 113 
131963,5 114 
132008,77 60 
132523,88 61 
133540,62 62 
133661,11 64 
133980,82 123 
134511,56 125 
135022,21 65 
135540,92 144 
135542,27 144 
135842,95 144 
136033,94 101 
136035,19 100 
136035,19 53 
136074,11 2
136074,11 1
136074,11 2
136074,11 60 
136333,98 61 
137356,66 62 
137399,44 64 
137685,25 123 
138226,22 125 
138460,21 137 
138736,1 66 
139293,66 144 
139296,07 144 
139298,14 144 
142004,58 101 
142006,24 100 
142006,24 53 
142055,63 1
142055,63 2
142055,63 2
142055,63 60 
143121 61 
144137,6 62 
151063,7 64 
151523,65 123 
152042,38 125 
152549,45 65 
153104,93 144 
153106,58 144 
153204,53 144 
153577 101 
153578,18 100 
153578,18 53 
153618,5 1
153618,5 2
153618,5 1
153618,5 60 
153663,17 61 
154684,79 62 
154701,38 64 
155072,23 123 
155606,33 125 
156115,4 65 
156164,85 137 
156662,86 144 
156664,76 144 
156665,87 144 
157143,78 101 
157145,08 100 
157145,08 53 
157184,03 2
157184,03 2
157184,03 1
157184,03 60 
157298,06 61 
158316,6 62 
158541,99 64 
158845,72 123 
159371,97 125 
159821,11 137 
159882,45 66 
160428 144 
160429,26 144 
160430,14 144 
162829,31 101 
162830,75 100 
162830,75 53 
162865,67 1
162865,67 2
162865,67 2
162865,67 60 
163171,28 113 
164028,57 114 
164064,95 60 
164613,59 61 
165630,99 62 
166219,08 64 
166561,3 123 
