TotalRequired,  120
t_hold_target,  450
T_Hold_Lev,  1000


62,04 8
62,04 51 
108,21 100 
108,21 51 
123,88 1
123,88 1
123,88 2
123,88 60 
29896,92 61 
29938,97 63 
29963,51 60 
30512,85 61 
31528,95 62 
38449,98 64 
41536,29 252 
41536,29 101 
41538,08 100 
41538,08 51 
41557,87 1
41557,87 1
41557,87 2
41557,87 60 
53413,22 61 
54436,53 62 
67605,52 64 
67607,28 252 
67607,28 101 
67609,94 100 
67609,94 51 
67634,17 1
67634,17 1
67634,17 2
67634,17 60 
88854,14 61 
89874,56 62 
100481,13 64 
100482,96 252 
100482,96 101 
100485,64 100 
100485,64 51 
100505,25 1
100505,25 1
100505,25 2
100505,25 60 
127031,58 61 
128047,72 62 
136289,55 64 
138053,73 252 
138053,73 101 
138055,49 100 
138055,49 51 
138076,14 1
138076,14 1
138076,14 2
138076,14 60 
168216,27 61 
169231,74 62 
174977,09 64 
179240,17 252 
179240,17 101 
179241,93 100 
179241,93 51 
179264,58 1
179264,58 1
179264,58 2
179264,58 60 
201865,63 61 
201886,8 63 
201904,71 60 
202191,32 111 
206126,35 114 
206170,76 60 
206623,47 61 
207636,67 62 
230232,27 64 
230234,14 252 
230234,14 101 
230238,77 100 
230238,77 51 
230262,26 1
230262,26 1
230262,26 2
230262,26 60 
230608,87 111 
231011,75 114 
231046,04 60 
231488,11 111 
231601,95 114 
231631,19 60 
231816,85 61 
232828,09 62 
242875,38 64 
242877,23 252 
242877,23 101 
242880,01 100 
242880,01 51 
242891,23 1
242891,23 1
242891,23 2
242891,23 60 
243216,47 61 
244226,43 62 
266561,18 64 
266562,89 252 
266562,89 101 
266565,84 100 
266565,84 51 
266583,68 1
266583,68 1
266583,68 2
266583,68 60 
288230,5 61 
289242,83 62 
295441,51 64 
299250,11 252 
299250,11 101 
299251,94 100 
299251,94 51 
299272,76 1
299272,76 1
299272,76 2
299272,76 60 
321611,89 111 
321712,39 114 
321751,51 60 
344425,56 61 
345440,59 62 
346137,65 64 
346441,42 121 
346967,35 125 
347486,21 65 
348047,24 144 
348052,51 144 
348416,53 144 
348515,21 101 
348516,62 100 
348516,62 51 
348556,53 1
348556,53 2
348556,53 2
348556,53 60 
348961,88 61 
349974,39 62 
350563,16 64 
350942,24 121 
351463,45 125 
351790,02 137 
351986,06 65 
352540,21 144 
352541,81 144 
352543,51 144 
353013,19 101 
353014,5 100 
353014,5 51 
353054,98 1
353054,98 2
353054,98 2
353054,98 60 
353309,46 61 
354322,85 62 
354382,17 64 
354773,57 121 
355281,07 125 
355801,65 65 
356359,35 144 
356365,62 144 
356579,77 144 
356829,16 101 
356830,39 100 
356830,39 51 
356870,79 2
356870,79 2
356870,79 2
356870,79 60 
357028,79 61 
358038,63 62 
358370,88 64 
358686,1 121 
359209,06 125 
359717,97 66 
360236,75 144 
360238,38 144 
360727,52 101 
360728,77 100 
360728,77 51 
360752,46 1
360752,46 2
360752,46 2
360752,46 60 
360757,88 111 
361486,83 114 
361535,65 60 
365532,41 61 
365570,86 63 
365584,92 60 
365907,09 111 
367809,43 114 
367850,13 60 
372882,13 61 
372918,61 63 
372934,98 60 
373188,68 111 
373514,08 114 
373552,69 60 
373742,77 111 
374378,33 114 
374414,24 60 
404498,91 61 
405134,79 63 
405154,39 60 
405703,36 61 
405736,47 63 
405755,32 60 
428132,59 113 
428248,52 114 
428297,14 60 
430831,6 61 
431847,28 62 
433724,36 64 
441853,94 252 
441853,94 101 
441855,77 100 
441855,77 51 
441877,1 1
441877,1 2
441877,1 2
441877,1 60 
470147,35 61 
470226,32 63 
470234,4 60 
502971,5 61 
503988,54 62 
506457,9 64 
506737,64 121 
507264,91 125 
507786,63 65 
508287,29 144 
508288,93 144 
508574,76 144 
508779,91 101 
508781,09 100 
508781,09 51 
508822,74 2
508822,74 2
508822,74 1
508822,74 60 
508868,31 61 
509889,16 62 
510424,08 64 
510733,37 121 
511249,56 125 
511765,15 66 
512269,82 144 
512271,49 144 
512497,33 144 
512761,84 101 
512762,97 100 
512762,97 51 
512802,53 1
512802,53 2
512802,53 2
512802,53 60 
512935,11 61 
513954,83 62 
514899,54 64 
515217,67 121 
515772,99 125 
516280,91 65 
516786,49 144 
516788,02 144 
517275,41 101 
517276,6 100 
517276,6 51 
517301,46 1
517301,46 1
517301,46 1
517301,46 60 
517307,95 111 
517685,68 114 
517734,14 60 
518024,99 61 
519036,06 62 
520519,15 64 
520890,36 121 
521410,73 125 
521929,01 65 
522432,59 144 
522434,2 144 
522923,72 101 
522924,91 100 
522924,91 51 
522950,57 1
522950,57 2
522950,57 2
522950,57 60 
522956,12 111 
523007,78 114 
523051,91 60 
523307,97 61 
524315,58 62 
528532,93 64 
528999,98 121 
529517,79 125 
530026,69 65 
530547,07 144 
530550,99 144 
530928,44 144 
531037,68 101 
531038,86 100 
531038,86 51 
531079,77 1
531079,77 1
531079,77 2
531079,77 60 
531206,8 61 
532229,64 62 
532937,02 64 
533283,99 121 
533814,08 125 
534324,44 65 
534829,08 144 
534830,78 144 
535151,88 144 
535319,81 101 
535320,99 100 
535320,99 51 
535361,64 1
535361,64 2
535361,64 2
535361,64 60 
535578,73 61 
536594,7 62 
537331,21 64 
537683,72 121 
538186,79 125 
538708,54 65 
539211,06 144 
539212,75 144 
539702,4 101 
539703,62 100 
539703,62 51 
539727,19 2
539727,19 2
539727,19 2
539727,19 60 
539731,6 111 
540098,78 114 
540143,44 60 
540493,28 61 
541509,05 62 
542827,92 64 
543128,63 121 
543652,84 125 
544172,9 66 
544644,69 137 
544737,94 144 
544739,56 144 
544740,76 144 
545219,64 101 
545220,82 100 
545220,82 51 
545258,77 1
545258,77 1
545258,77 2
545258,77 60 
545290,29 111 
547553,02 114 
547590,91 60 
569170,2 61 
569223,83 63 
569235,31 60 
569499,63 111 
570160,7 114 
570200,69 60 
612410,03 61 
612869,77 63 
612886,36 60 
614636,7 61 
615651,91 62 
625595,38 64 
625659,44 252 
625659,44 101 
625661,18 100 
625661,18 51 
625681,8 1
625681,8 1
625681,8 2
625681,8 60 
