TotalRequired,  300
t_hold_target,  450
T_Hold_Lev,  1000


364650,22 1
364650,22 2
364650,22 2
364650,22 60 
364883,22 113 
365198,8 114 
365233,1 60 
365733,55 61 
366749 62 
367483,59 64 
367823,94 123 
368354,07 125 
368678,03 137 
368861,8 65 
369311,15 144 
369312,71 144 
369314,1 144 
369790,07 101 
369791,45 100 
369791,45 53 
369832,83 2
369832,83 1
369832,83 2
369832,83 60 
369905,79 61 
370931,08 62 
370989,92 64 
371311,83 123 
371838,83 125 
372362,54 66 
372403,23 137 
372785,23 144 
372786,65 144 
372787,52 144 
373273,72 101 
373274,85 100 
373274,85 53 
373314,12 1
373314,12 2
373314,12 2
373314,12 60 
373583,14 113 
373768,63 114 
373797,95 60 
374120,39 61 
374564,32 63 
374580,05 60 
375220,01 61 
375370,79 63 
375381,15 60 
381692,8 111 
382181,7 114 
382227,53 60 
384785,02 61 
385795,46 62 
386287,01 64 
386667,57 121 
387201,71 125 
387572,5 137 
387723,43 66 
388173,37 144 
388175,06 144 
388176,44 144 
388652,24 101 
388653,89 100 
388653,89 53 
388693,48 1
388693,48 2
388693,48 2
388693,48 60 
423992,1 61 
425012,89 62 
426632,28 64 
426948,93 121 
427501,91 125 
427898,28 137 
428010,78 66 
428459,89 144 
428461,51 144 
428462,83 144 
429239,39 101 
429240,92 100 
429240,92 53 
429295,46 1
429295,46 2
429295,46 2
429295,46 60 
430186,12 61 
431198,97 62 
432646,1 64 
438491,9 123 
439018,65 125 
439114,35 137 
439538,79 65 
439989,48 144 
439991,24 144 
439994,15 144 
440467,21 101 
440468,48 100 
440468,48 53 
440508,47 1
440508,47 1
440508,47 2
440508,47 60 
440669,86 61 
441691,54 62 
441850,66 64 
442138,71 123 
442681,49 125 
443076,19 137 
443205,65 65 
443655,37 144 
443656,98 144 
443658,64 144 
444133,41 101 
444134,55 100 
444134,55 53 
444173,89 1
444173,89 2
444173,89 2
444173,89 60 
444321,43 61 
445340,52 62 
445487,8 64 
445755,33 123 
446296,64 125 
446728,27 137 
446806,11 65 
447253,3 144 
447255,28 144 
447256,42 144 
447730,85 101 
447732,06 100 
447732,06 53 
447772,69 2
447772,69 1
447772,69 2
447772,69 60 
448020,02 61 
449038,73 62 
449183,67 64 
449467,48 123 
449996,45 125 
450341,38 137 
450518,49 66 
450969,78 144 
450970,97 144 
450971,86 144 
451448,42 101 
451449,69 100 
451449,69 53 
451488,27 1
451488,27 2
451488,27 2
451488,27 60 
456081,41 111 
456214,8 114 
456253,08 60 
464840,62 61 
465852,11 62 
466079,41 64 
466458,55 121 
466990,61 125 
467222,9 137 
467513,57 66 
467979,44 144 
467981,46 144 
467982,84 144 
468442,12 101 
468443,42 100 
468443,42 53 
468482,53 1
468482,53 2
468482,53 1
468482,53 60 
468821,95 61 
469487,55 63 
469499,37 60 
489090,05 61 
489272,35 63 
489292,06 60 
489384,56 61 
489421,55 63 
489443,44 60 
491378,08 61 
491728,08 63 
491741,74 60 
493728,34 111 
494318,27 114 
494357,35 60 
496885,2 111 
497220,74 114 
497256,24 60 
505521,78 111 
505625,77 114 
505670,29 60 
506536,87 111 
506777,89 114 
506821,1 60 
511125,79 61 
511629,11 63 
511652,3 60 
540512,48 61 
541525,13 62 
542014,28 64 
542318,92 121 
542847,59 125 
542999,11 137 
543356,04 66 
543805,38 144 
543807,15 144 
543808,39 144 
545535,71 101 
545537,21 100 
545537,21 53 
545574,87 1
545574,87 2
545574,87 2
545574,87 60 
545840,3 113 
546802,73 114 
546840,8 60 
547086,48 61 
548106,75 62 
548761,8 64 
549103,12 122 
549674,48 125 
549786,76 137 
550185,35 66 
550634,51 144 
550636,08 144 
550637,35 144 
552083,97 101 
552085,96 100 
552085,96 53 
552121,94 2
552121,94 2
552121,94 2
552121,94 60 
552407,89 111 
552668,18 114 
552704,81 60 
565264,76 61 
565282,33 63 
565300,6 60 
565839,1 112 
565990,47 114 
566033,44 60 
567171,46 61 
567838,62 63 
567850,36 60 
572777,36 61 
573797,64 62 
575307,81 64 
578454,93 123 
579031,66 125 
579129,07 137 
579542,8 66 
579993,03 144 
579994,58 144 
579995,85 144 
580471,11 101 
580472,57 100 
580472,57 53 
580513,85 1
580513,85 2
580513,85 2
580513,85 60 
608833,29 113 
608910,29 114 
608938,64 60 
609177,93 61 
609224,48 63 
609235,86 60 
611558,1 61 
611795,01 63 
611818,47 60 
615558,96 61 
616566,07 62 
621110,24 64 
626575,89 252 
626575,89 101 
626577,77 100 
626577,77 53 
626597,4 1
626597,4 2
626597,4 2
626597,4 60 
635869,51 61 
636894 62 
640897,3 64 
646902,53 252 
646902,53 101 
646904,48 100 
646904,48 53 
646923,85 1
646923,85 2
646923,85 2
646923,85 60 
673314,46 61 
674208,69 63 
674231,04 60 
684379,98 111 
684453,56 114 
684478,46 60 
685397,06 111 
685580,81 114 
685628,56 60 
