TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


311,36 8
311,36 52 
365,3 100 
365,3 52 
389,12 1
389,12 1
389,12 2
389,12 60 
817,13 111 
1803,16 114 
1837,52 60 
2761,95 61 
3786,73 62 
4058,48 64 
4350,22 122 
4902,86 125 
5414,72 65 
5610,02 137 
5965,77 144 
5967,49 144 
5969,07 144 
6444,67 101 
6446,15 100 
6446,15 52 
6484,43 1
6484,43 2
6484,43 2
6484,43 60 
6782,26 61 
7802,35 62 
7952,26 64 
8276,29 122 
8853,27 125 
9339,26 137 
9398,68 65 
9896,85 144 
9898,41 144 
9901,14 144 
10376,44 101 
10377,63 100 
10377,63 52 
10416,42 1
10416,42 2
10416,42 1
10416,42 60 
10803,47 61 
11815,82 62 
12702,4 64 
12956,81 122 
13488,18 125 
13996,16 65 
14551,75 144 
14553,57 144 
14620,85 144 
15023,9 101 
15026,03 100 
15026,03 52 
15064,86 1
15064,86 2
15064,86 2
15064,86 60 
15175,85 61 
16197,95 62 
16531,3 64 
16862,5 122 
17387,07 125 
17896,4 65 
18414,02 144 
18415,31 144 
18643,99 144 
18906,24 101 
18907,48 100 
18907,48 52 
18947,01 1
18947,01 2
18947,01 1
18947,01 60 
19101,43 61 
20113,07 62 
20163,41 64 
20543,8 122 
21098,56 125 
21610,69 65 
22113,04 144 
22115,29 144 
22604,52 101 
22605,77 100 
22605,77 52 
22629,08 1
22629,08 2
22629,08 2
22629,08 60 
22635,37 112 
23294,12 114 
23313,12 60 
23571,47 61 
24561,09 63 
24578,22 60 
24950,84 112 
25231,9 114 
25277,95 60 
25426,15 61 
26444,85 62 
26697,16 64 
27021,44 122 
27549,54 125 
28059,83 65 
28164,74 137 
28605,92 144 
28607,4 144 
28608,53 144 
29085,94 101 
29088 100 
29088 52 
29126,95 2
29126,95 2
29126,95 2
29126,95 60 
29177,73 61 
30196,96 62 
30962,79 64 
31624,95 122 
32149,7 125 
32656,77 66 
33211,4 144 
33212,77 144 
33504,54 144 
33684,57 101 
33685,75 100 
33685,75 52 
33725,39 1
33725,39 2
33725,39 2
33725,39 60 
33831,91 61 
34843,1 62 
35208,05 64 
35502,72 122 
36031,92 125 
36537,75 65 
37041,19 144 
37042,68 144 
37432,08 144 
37533,07 101 
37535,18 100 
37535,18 52 
37573,79 2
37573,79 2
37573,79 2
37573,79 60 
37795,26 61 
38806,52 62 
39324,2 64 
39646,57 122 
40204,53 125 
40720,56 66 
41223,3 144 
41224,76 144 
41486,83 144 
41714,44 101 
41715,68 100 
41715,68 52 
41756,2 1
41756,2 1
41756,2 2
41756,2 60 
42907,12 61 
43921 62 
44838,49 64 
45211,34 122 
45772,33 125 
46286,39 65 
46789,23 144 
46790,59 144 
47280,34 101 
47281,49 100 
47281,49 52 
47305,2 2
47305,2 2
47305,2 1
47305,2 60 
47310,3 112 
47497,27 114 
47537,34 60 
47897,29 61 
48920,28 62 
49541,06 64 
49831,23 122 
50403,24 125 
50873,08 137 
50916,57 66 
51465,09 144 
51467,04 144 
51468,19 144 
51945,71 101 
51946,89 100 
51946,89 52 
51986,44 1
51986,44 2
51986,44 2
51986,44 60 
52016,9 61 
53036,34 62 
53053,33 64 
63044,33 252 
63044,33 101 
63046,23 100 
63046,23 52 
63065,72 1
63065,72 2
63065,72 2
63065,72 60 
84281,24 61 
85291,71 62 
85601,98 64 
85866,58 121 
86449,97 125 
86972,51 66 
87404,6 137 
87511,88 144 
87513,04 144 
87513,97 144 
89156,66 101 
89157,92 100 
89157,92 52 
89191,96 1
89191,96 2
89191,96 2
89191,96 60 
106002,82 61 
106153,59 63 
106169,26 60 
107445,7 61 
107597,49 63 
107617,56 60 
107965,52 111 
109637,65 114 
109683,61 60 
109835,33 61 
110850,15 62 
111404,23 64 
111732,06 123 
112269,84 125 
112602,05 137 
112779,27 66 
113330,24 144 
113331,9 144 
113333,79 144 
114915,96 101 
114917,08 100 
114917,08 52 
114965,31 1
114965,31 2
114965,31 1
114965,31 60 
114993,99 61 
115025,22 63 
115049,29 60 
115321,1 111 
115390,8 114 
115418,31 60 
115568,8 61 
116581,78 62 
117972,3 64 
118318,43 121 
118836,85 125 
119186,25 137 
119345,69 65 
119892,35 144 
119894,05 144 
119895,15 144 
120372,63 101 
120373,86 100 
120373,86 52 
120414,73 1
120414,73 1
120414,73 2
120414,73 60 
120651,6 61 
121663,7 62 
122142,21 64 
122432,51 121 
122984,73 125 
123480,31 137 
123542,25 66 
124040,27 144 
124042,41 144 
124043,51 144 
124520,58 101 
124521,8 100 
124521,8 52 
124562,2 1
124562,2 2
124562,2 2
124562,2 60 
207062,68 61 
208084,63 62 
208628,42 64 
208871,52 123 
209420,21 125 
209762,05 137 
209930,08 66 
210478,74 144 
210480,37 144 
210481,32 144 
214001,28 101 
214003,05 100 
214003,05 52 
214049,48 2
214049,48 2
214049,48 2
214049,48 60 
214308,55 113 
214539,79 114 
214582,38 60 
214777,19 61 
215800,53 62 
222597,24 64 
225807,4 252 
225807,4 101 
225809,27 100 
225809,27 52 
225829,02 2
225829,02 2
225829,02 2
225829,02 60 
272301,67 61 
273312,62 62 
274409,49 64 
274749,4 121 
275301,14 125 
275810,68 66 
276366,79 144 
276369,14 144 
276452,6 144 
276837,83 101 
276839,03 100 
276839,03 52 
276878,92 1
276878,92 1
276878,92 2
276878,92 60 
303690,86 61 
304703,33 62 
305167,95 64 
305502,17 121 
306027,32 125 
306548,54 66 
307053,61 144 
307055,18 144 
307118,27 144 
309031,47 101 
309033,06 100 
309033,06 52 
309069 1
309069 2
309069 2
309069 60 
309419,98 112 
309595,15 114 
309618,18 60 
309937,96 61 
310951 62 
311329,01 64 
311636,67 123 
312170,46 125 
312423,21 137 
312680,74 66 
313231,05 144 
313232,72 144 
313233,9 144 
315384,53 101 
315386,16 100 
315386,16 52 
315435,01 1
315435,01 2
315435,01 2
315435,01 60 
315704,02 111 
316915,53 114 
316966,4 60 
317214,55 61 
318231,65 62 
318838,43 64 
319170,5 121 
319706,43 125 
320221,64 137 
320279,8 66 
320776,24 144 
