TotalRequired,  250
t_hold_target,  450
T_Hold_Lev,  1000


55,47 8
55,47 51 
97,1 100 
97,1 51 
120,63 1
120,63 1
120,63 2
120,63 60 
7085,75 111 
7298,1 114 
7333,91 60 
8677,86 111 
8776,86 114 
8819,05 60 
36245,74 111 
36324,74 114 
36374,67 60 
74413,38 111 
74555,82 114 
74595,71 60 
132007,56 61 
133024,72 62 
137175,32 64 
143033,41 252 
143033,41 101 
143035,27 100 
143035,27 51 
143055,74 1
143055,74 1
143055,74 2
143055,74 60 
166025,67 61 
167047,66 62 
176083,72 64 
177056,71 252 
177056,71 101 
177058,49 100 
177058,49 51 
177077,82 1
177077,82 1
177077,82 2
177077,82 60 
223606,59 61 
224629,07 62 
236120,76 64 
236123,92 252 
236123,92 101 
236126,6 100 
236126,6 51 
236141,71 1
236141,71 1
236141,71 2
236141,71 60 
268992,27 61 
270013,74 62 
273734,56 64 
280022,8 252 
280022,8 101 
280024,56 100 
280024,56 51 
280045,25 1
280045,25 1
280045,25 2
280045,25 60 
306316,81 61 
307334,59 62 
314546,81 64 
317343,49 252 
317343,49 101 
317345,28 100 
317345,28 51 
317366,26 1
317366,26 1
317366,26 2
317366,26 60 
361336,9 61 
362350,02 62 
362947,1 64 
363210,64 123 
363763,75 125 
363951,35 137 
364280,8 65 
364534,69 144 
364536,49 144 
364538,14 144 
365009,33 101 
365010,8 100 
365010,8 51 
365049,59 2
365049,59 2
365049,59 2
365049,59 60 
365588,16 61 
366600,33 62 
366722,67 64 
367041,01 123 
367572,55 125 
367839,39 137 
368096,18 66 
368348,88 144 
368350,59 144 
368352,31 144 
368824,26 101 
368825,41 100 
368825,41 51 
368866,02 1
368866,02 2
368866,02 2
368866,02 60 
368905,64 61 
369932,17 62 
370050,85 64 
370390,92 123 
370930,1 125 
371260,69 137 
371443,05 66 
371698,36 144 
371700,89 144 
371702,41 144 
371992,78 143 
372086,87 144 
372088,65 144 
372089,63 144 
372183,75 101 
372185,23 100 
372185,23 51 
372213,83 1
372213,83 1
372213,83 2
372213,83 60 
372291,14 61 
373312,19 62 
374486,9 64 
374863,04 121 
375412,99 125 
375926,1 65 
376187,73 144 
376189,38 144 
376654,28 101 
376655,39 100 
376655,39 51 
376679,66 2
376679,66 2
376679,66 2
376679,66 60 
376684,56 111 
377614,43 114 
377661,58 60 
378193,3 61 
379019,36 63 
379029,17 60 
379338,43 111 
379989,28 114 
380027,6 60 
380412,98 61 
381426,48 62 
382315,11 64 
382646,72 121 
383168,58 125 
383673,34 137 
383691,21 66 
383942,52 144 
383943,94 144 
383944,85 144 
384460,18 101 
384461,81 100 
384461,81 51 
384509,34 1
384509,34 2
384509,34 2
384509,34 60 
384791,96 61 
385808,48 62 
386048,63 64 
386384,04 121 
386948,5 125 
387471,03 65 
387494,19 137 
387725,36 144 
387727,27 144 
387728,66 144 
388200,2 101 
388201,37 100 
388201,37 51 
388241,78 1
388241,78 2
388241,78 1
388241,78 60 
388718,89 61 
389740,27 62 
390234,9 64 
390508,97 121 
391031,61 125 
391443,53 137 
391553,18 65 
391805,45 144 
391807,08 144 
391808,1 144 
392282,11 101 
392283,21 100 
392283,21 51 
392324,85 1
392324,85 2
392324,85 1
392324,85 60 
392360,17 61 
392412,79 63 
392424,54 60 
392844,62 61 
393730,35 63 
393740,53 60 
394055,55 111 
395131,2 114 
395172,69 60 
396170,46 61 
397187,81 62 
397850,52 64 
398167,76 121 
398720,58 125 
399235,31 65 
399338,36 137 
399483,29 144 
399484,8 144 
399486,08 144 
399963 101 
399964,2 100 
399964,2 51 
400004,02 1
400004,02 2
400004,02 2
400004,02 60 
400385,21 61 
401405,24 62 
401446,48 64 
401782,14 121 
402312,82 125 
402781,97 137 
402856,56 65 
402862,86 131 
402916,76 137 
403087,06 144 
403088,59 144 
403089,61 144 
403562,17 101 
403563,34 100 
403563,34 51 
403603,51 1
403603,51 2
403603,51 2
403603,51 60 
404038,8 61 
405053,7 62 
405095,55 64 
405402,91 121 
405934,46 125 
406450,69 65 
406710,34 144 
406715,02 144 
406716,47 144 
407177,93 101 
407179,07 100 
407179,07 51 
407218,86 1
407218,86 1
407218,86 1
407218,86 60 
407830,09 61 
408693,27 63 
408703,02 60 
409011,24 111 
409377,69 114 
409420,79 60 
409572,79 61 
410583,93 62 
410784,73 64 
411081,8 121 
411610,29 125 
412130,34 65 
412335,63 144 
412337,2 144 
412826,19 101 
412827,41 100 
412827,41 51 
412851,36 1
412851,36 2
412851,36 2
412851,36 60 
413479,16 61 
414210,71 63 
414249,51 60 
414495,28 111 
415451,47 114 
415484,04 60 
415845,17 61 
416864,29 62 
417493 64 
417729,11 121 
418257,34 125 
418777,6 65 
418983,93 144 
418985,58 144 
419351,8 144 
419472,63 101 
419473,78 100 
419473,78 51 
419515,71 1
419515,71 2
419515,71 1
419515,71 60 
419951,9 61 
420966,55 62 
421494,74 64 
421743,4 121 
422293,23 125 
422810,2 65 
423015,59 144 
423017,49 144 
423039,79 144 
423506,63 101 
423507,73 100 
423507,73 51 
423549,43 1
423549,43 2
423549,43 2
423549,43 60 
424069,77 61 
425036,19 63 
425047,42 60 
425387,25 111 
426189,22 114 
426230,14 60 
426831,79 111 
428086,23 114 
428128,19 60 
428663,33 61 
429677,27 62 
429863,02 64 
430173,25 121 
430732,38 125 
431239,86 65 
431446,23 144 
431447,82 144 
431934,78 101 
431936,01 100 
431936,01 51 
431960,54 1
431960,54 2
431960,54 2
431960,54 60 
431965,89 111 
432249,8 114 
432293,72 60 
433544,22 61 
433595,26 63 
433609,72 60 
433932,82 111 
434263,38 114 
434311,97 60 
436470,76 61 
436516,36 63 
436543,36 60 
436825,32 111 
438831 114 
438875,02 60 
441713,8 61 
442724,76 62 
443518,38 64 
443821,9 121 
444349,45 125 
444870,66 65 
445021,1 137 
445124,41 144 
445126,02 144 
445127,48 144 
445598,26 101 
445599,36 100 
445599,36 51 
445640,37 2
445640,37 2
445640,37 2
445640,37 60 
445939,85 61 
446954,83 62 
447442,75 64 
447720,72 121 
448268,46 125 
448785,95 66 
