TotalRequired,  200
t_hold_target,  450
T_Hold_Lev,  1000


51,37 8
51,37 51 
96,74 100 
96,74 51 
122 2
122 1
122 2
122 60 
7325,53 61 
8337,26 62 
10318,89 64 
18343,8 252 
18343,8 101 
18347,36 100 
18347,36 51 
18365,17 2
18365,17 1
18365,17 2
18365,17 60 
18369,17 61 
19380,59 62 
20469,03 64 
27981,05 121 
28400,51 124 
38403,54 252 
38403,54 101 
38405,47 100 
38405,47 51 
38425,28 2
38425,28 1
38425,28 2
38425,28 60 
43425,31 61 
43741,89 63 
43757,15 60 
43771 61 
43795,26 63 
43807,42 60 
66570,24 61 
67583,44 62 
67970,23 64 
77589,81 252 
77589,81 101 
77591,58 100 
77591,58 51 
77614,57 2
77614,57 1
77614,57 2
77614,57 60 
80952,56 111 
81664,79 114 
81710,67 60 
94515,58 111 
95892,8 114 
95924,84 60 
96963,92 111 
97021,1 114 
97044,76 60 
115137,28 61 
116150,13 62 
116508,76 64 
126157,48 252 
126157,48 101 
126159,2 100 
126159,2 51 
126179,55 2
126179,55 1
126179,55 2
126179,55 60 
147906,91 61 
147921,09 63 
147939,25 60 
193735,43 61 
194756,21 62 
195833,95 64 
204765,82 252 
204765,82 101 
204769,27 100 
204769,27 51 
204787,69 2
204787,69 1
204787,69 2
204787,69 60 
244583,97 61 
245606,79 62 
251215,04 64 
255614,48 252 
255614,48 101 
255616,29 100 
255616,29 51 
255637,38 2
255637,38 1
255637,38 2
255637,38 60 
264561,74 61 
265584,98 62 
270767,58 64 
275592,04 252 
275592,04 101 
275593,89 100 
275593,89 51 
275614,13 2
275614,13 1
275614,13 2
275614,13 60 
318159,19 111 
318771,77 114 
318816,51 60 
376794,28 61 
377812,99 62 
377884,39 64 
387820,69 252 
387820,69 101 
387822,45 100 
387822,45 51 
387843,95 2
387843,95 1
387843,95 2
387843,95 60 
467609,97 61 
468304 63 
468316,94 60 
472997,79 61 
473055,28 63 
473068,94 60 
492499,66 61 
493508,72 62 
501030,49 64 
503516,89 252 
503516,89 101 
503520,38 100 
503520,38 51 
503538,75 2
503538,75 1
503538,75 2
503538,75 60 
511603,51 111 
511881,43 114 
511919,01 60 
514852,72 61 
515867,14 62 
517200,86 64 
525875,18 252 
525875,18 101 
525876,98 100 
525876,98 51 
525897,89 2
525897,89 1
525897,89 2
525897,89 60 
542811,58 111 
543904,2 114 
543942,4 60 
570226,86 111 
570928,14 114 
570966,79 60 
593250,58 111 
593884,38 114 
593925,4 60 
642859 61 
643093,28 63 
643109,43 60 
644356,16 61 
644402,52 63 
644425,57 60 
665095,78 61 
665785,55 63 
665803,84 60 
700826,7 61 
701839,95 62 
702623,89 64 
703214,8 121 
703747,05 125 
703849,92 137 
704269 66 
704518,83 144 
704520,75 144 
704522,05 144 
704997,43 101 
704998,94 100 
704998,94 51 
705039,2 1
705039,2 1
705039,2 2
705039,2 60 
705547,55 61 
706570,95 62 
707110,45 64 
707453,27 123 
707995,66 125 
708172,27 137 
708518 66 
708775,5 144 
708777,23 144 
708778,45 144 
711728,81 101 
711730,13 100 
711730,13 51 
711770,08 1
711770,08 2
711770,08 2
711770,08 60 
712093,82 111 
712905,12 114 
712937,44 60 
713588,88 61 
714601,42 62 
715927,98 64 
716256,6 121 
716778,34 125 
717297,83 65 
717560,83 144 
717563,47 144 
718028,45 101 
718029,62 100 
718029,62 51 
718051,25 1
718051,25 2
718051,25 2
718051,25 60 
718056,5 111 
718250,58 114 
718286,49 60 
718701,33 61 
719565,72 63 
719583,94 60 
719928,33 111 
720872,22 114 
720917 60 
721939,97 61 
722950,96 62 
723457,3 64 
723800,98 121 
724325,48 125 
724847,06 65 
725049,35 144 
725051,08 144 
725539,76 101 
725541,03 100 
725541,03 51 
725565,49 1
725565,49 2
725565,49 1
725565,49 60 
725573,43 111 
725673,97 114 
725715,61 60 
726242,37 61 
727264,64 62 
727321,12 64 
727709,27 121 
728241,93 125 
728761,63 65 
728895,11 137 
729011 144 
729013,37 144 
729015,43 144 
729488,84 101 
729490,07 100 
729490,07 51 
729532,64 1
729532,64 2
729532,64 2
729532,64 60 
730067,52 61 
731024,96 63 
731047 60 
731426,53 111 
732426,17 114 
732463,18 60 
732718,1 61 
733729,8 62 
734304,28 64 
734662,04 121 
735185,89 125 
735693,37 65 
735948,05 144 
735951,73 144 
736368,82 144 
736539,98 101 
736541,16 100 
736541,16 51 
736595,36 1
736595,36 2
736595,36 2
736595,36 60 
736859,42 61 
737877,68 62 
737945,86 64 
738363,64 121 
738884,12 125 
739391,76 65 
739403,07 137 
739640,39 144 
739642,13 144 
739643,12 144 
740118,69 101 
740119,94 100 
740119,94 51 
740160,92 2
740160,92 2
740160,92 2
740160,92 60 
740684,28 61 
741696,46 62 
741742,31 64 
742098,64 121 
742618,57 125 
743140,2 66 
743395,04 144 
743397,12 144 
743409,83 144 
743915,69 101 
743916,99 100 
743916,99 51 
743959,41 1
743959,41 2
743959,41 1
743959,41 60 
744241,37 61 
745243,43 63 
745258,87 60 
745601,01 111 
746701,37 114 
746741,48 60 
746936,23 61 
747958,68 62 
748370,7 64 
748676 121 
749241,57 125 
749753,98 65 
749958,68 144 
749962,42 144 
750402,3 144 
750583,34 101 
750584,57 100 
750584,57 51 
750623,91 1
750623,91 2
750623,91 2
750623,91 60 
751015,55 61 
752024,6 62 
752088,69 64 
752442,84 121 
752964,62 125 
753475,04 137 
753488,9 65 
753734,72 144 
753736,11 144 
753737,04 144 
754214,02 101 
754215,26 100 
754215,26 51 
754256,12 1
754256,12 2
754256,12 2
754256,12 60 
754777,39 61 
755623,94 63 
755641,84 60 
755988,09 111 
756195,32 114 
756238,58 60 
757960,51 111 
758426,92 114 
758470,95 60 
758705,32 61 
759721,25 62 
759977,28 64 
760308,48 121 
760828,94 125 
761351,08 65 
761455,02 137 
761600,42 144 
761602,02 144 
761603,44 144 
762078,96 101 
762080,18 100 
762080,18 51 
762120,45 1
762120,45 2
762120,45 2
762120,45 60 
762690,89 61 
763597,78 63 
763621,31 60 
763943,6 111 
764386,93 114 
764436,16 60 
