TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


255,72 8
255,72 53 
301,08 100 
301,08 53 
321,68 2
321,68 1
321,68 2
321,68 60 
1693,69 111 
3105,26 114 
3155,57 60 
3482,85 61 
4502,76 62 
4930,98 64 
5168,62 121 
5714,09 125 
6231,42 66 
6811,38 144 
6814,61 144 
7352,45 144 
7370,43 101 
7371,98 100 
7371,98 53 
7418,35 1
7418,35 1
7418,35 2
7418,35 60 
8000,87 61 
9017,96 62 
9119,16 64 
9464,48 123 
9991,3 125 
10467,44 137 
10532,34 65 
11064,68 144 
11066,41 144 
11067,42 144 
11541,7 101 
11542,86 100 
11542,86 53 
11583,31 1
11583,31 2
11583,31 2
11583,31 60 
11622,26 61 
12633,55 62 
12716,68 64 
13051,84 123 
13574,74 125 
14095,97 65 
14658,18 144 
14663,23 144 
14930,79 144 
15124,82 101 
15125,96 100 
15125,96 53 
15165,54 1
15165,54 2
15165,54 2
15165,54 60 
15345,87 61 
16188,3 63 
16198,15 60 
33607,03 61 
33639,4 63 
33660,31 60 
33903,35 113 
34342,17 114 
34376,57 60 
34597,97 61 
35609,42 62 
36230,64 64 
36542,47 121 
37065,93 125 
37549,58 137 
37630,88 66 
38139,62 144 
38141,3 144 
38145,52 144 
38617,12 101 
38618,38 100 
38618,38 53 
38658,61 1
38658,61 2
38658,61 2
38658,61 60 
38817,46 61 
39281,03 63 
39292,06 60 
46336,69 61 
46507,24 63 
46522,1 60 
47075,02 111 
48041,32 114 
48088,57 60 
48914,95 61 
49938,33 62 
50352,44 64 
50734,61 121 
51261,15 125 
51667,27 137 
51782,58 66 
52334,82 144 
52336,3 144 
52339,22 144 
52810,85 101 
52811,95 100 
52811,95 53 
52852,9 1
52852,9 2
52852,9 2
52852,9 60 
92307,87 61 
92322,08 63 
92340 60 
93386,35 61 
93422,75 63 
93440,06 60 
93737,34 111 
94626,77 114 
94673,71 60 
119963,24 61 
120980,84 62 
121103,02 64 
121372,93 121 
121938,44 125 
122299,42 137 
122460,86 66 
123013,89 144 
123015,5 144 
123019,64 144 
123488,61 101 
123489,74 100 
123489,74 53 
123530,19 1
123530,19 2
123530,19 1
123530,19 60 
130230,82 111 
130981,25 114 
131027,35 60 
131457,23 61 
132469,24 63 
132478,58 60 
132863,61 113 
132982,52 114 
133026,38 60 
133254,69 61 
134277,31 62 
137461,02 64 
137847,54 121 
138403,64 125 
138706,68 137 
138920,77 65 
139473,32 144 
139477,6 144 
139481,41 144 
139949,88 101 
139951,09 100 
139951,09 53 
139991,04 2
139991,04 2
139991,04 1
139991,04 60 
140287,25 61 
141308,7 62 
141423,93 64 
141776,87 121 
142298,41 125 
142682,82 137 
142820,12 65 
143392,68 144 
143394,07 144 
143394,96 144 
143864,22 101 
143865,36 100 
143865,36 53 
143906,31 1
143906,31 2
143906,31 2
143906,31 60 
144168,85 61 
145189,54 62 
145253,25 64 
145624,99 121 
146167,69 125 
146620,99 137 
146693,74 66 
147237,07 144 
147238,67 144 
147242,88 144 
147714,22 101 
147715,38 100 
147715,38 53 
147755,33 1
147755,33 2
147755,33 2
147755,33 60 
147891,79 61 
148906,06 62 
149673,66 64 
150030,2 121 
150562,73 125 
150948,63 137 
151084,94 66 
151636,08 144 
151639,89 144 
151641,43 144 
153080,93 101 
153082,56 100 
153082,56 53 
153120 1
153120 2
153120 2
153120 60 
153450,13 111 
154213,17 114 
154253,48 60 
154492,82 61 
155503,57 62 
156150,93 64 
156428,53 121 
156988,81 125 
157499,65 66 
157714,54 137 
158050,95 144 
158052,91 144 
158053,97 144 
158527,71 101 
158528,95 100 
158528,95 53 
158568,49 1
158568,49 2
158568,49 2
158568,49 60 
158648,9 61 
159669,89 62 
160104,54 64 
160476,45 121 
161007,62 125 
161530,01 66 
161532,51 137 
162083,64 144 
162085,58 144 
162086,88 144 
162559,2 101 
162560,38 100 
162560,38 53 
162600,37 1
162600,37 2
162600,37 2
162600,37 60 
162638,4 61 
163667,62 62 
164130,75 64 
164524,09 121 
165081,43 125 
165596,1 66 
165627,45 137 
166151,29 144 
166152,83 144 
166154,07 144 
168170,26 101 
168171,71 100 
168171,71 53 
168214,94 2
168214,94 1
168214,94 2
168214,94 60 
168503,03 113 
169053,34 114 
169098,1 60 
169397,57 61 
170415,6 62 
170686,71 64 
171706,33 122 
172031,68 124 
175856,04 121 
176396,7 125 
176909,46 66 
177489 144 
177491,46 144 
177750,97 144 
177953,5 101 
177954,7 100 
177954,7 53 
177995,4 2
177995,4 2
177995,4 2
177995,4 60 
179285,65 61 
180294,66 62 
181334,54 64 
181693,1 121 
182256,67 125 
182751,42 137 
182775,69 66 
183326,07 144 
183329,6 144 
183331,81 144 
183802,14 101 
183803,64 100 
183803,64 53 
183861,8 1
183861,8 2
183861,8 2
183861,8 60 
183896,24 112 
184759,89 114 
184795,41 60 
185622,74 61 
186642,48 62 
186762,23 64 
187101,11 123 
187653,33 125 
188172,79 65 
188731,53 144 
188737,28 144 
188925,69 144 
189199,85 101 
189201,02 100 
189201,02 53 
189241,73 1
189241,73 2
189241,73 2
189241,73 60 
189549,56 61 
190574,09 62 
191313,79 64 
191579,5 123 
192096,98 125 
192396,91 137 
192621,08 65 
193176,56 144 
193179,31 144 
193181,23 144 
193650,06 101 
193651,22 100 
193651,22 53 
193690,35 1
193690,35 1
193690,35 1
193690,35 60 
194498,7 61 
195523,23 62 
195600,86 64 
195894,91 123 
196411,12 125 
196920,22 65 
197475,89 144 
197477,63 144 
197673,77 144 
197946,94 101 
197948,21 100 
197948,21 53 
197988,92 1
197988,92 2
197988,92 2
197988,92 60 
198171,3 61 
199188,88 62 
200980,71 64 
201274,24 123 
201795,53 125 
202180,68 137 
202318,48 65 
202869,26 144 
202870,77 144 
202871,76 144 
203345,55 101 
203346,7 100 
203346,7 53 
203386,72 1
203386,72 2
203386,72 1
203386,72 60 
203417,57 61 
204422,91 63 
204436,65 60 
204709,35 113 
204822,25 114 
204869,73 60 
205168,15 61 
206186,81 62 
206444,33 64 
206735,56 123 
207257,21 125 
207764,91 65 
